dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"P | P",64,0,0.057376,0,0.03642,0.473088,0.66927,0.566884
1,double,uniform,CPU,"P | P",64,1,0.029056,0,0.021972,0.024576,0.142206,0.075604
1,double,uniform,CPU,"P | P",64,2,0.027392,0,0.019169,0.021504,0.129949,0.068065
1,double,uniform,CPU,"P | P",64,3,0.026976,0,0.019217,0.023552,0.130018,0.069745
1,double,uniform,CPU,"P | P",64,4,0.025856,0,0.019549,0.021504,0.127529,0.066909
1,double,uniform,CPU,"P | P",64,5,0.0264,0,0.019172,0.022528,0.129001,0.0681
1,double,uniform,CPU,"P | P",64,6,0.026304,0,0.019135,0.02048,0.126863,0.065919
1,double,uniform,CPU,"P | P",64,7,0.02576,0,0.018672,0.120832,0.225859,0.165264
1,double,uniform,CPU,"P | P",64,8,0.026464,0,0.020048,0.02048,0.128038,0.066992
1,double,uniform,CPU,"P | P",64,9,0.025504,0,0.019014,0.023552,0.127884,0.06807
1,double,uniform,CPU,"P | P",64,10,0.026016,0,0.019323,0.02048,0.126933,0.065819
1,double,uniform,CPU,"P | P",64,11,0.023968,0,0.020681,0.022528,0.130778,0.067177
1,double,uniform,CPU,"P | P",64,12,0.026592,0,0.018712,0.021504,0.127103,0.066808
1,double,uniform,CPU,"P | P",64,13,0.02704,0,0.019053,0.022528,0.128897,0.068621
1,double,uniform,CPU,"P | P",64,14,0.026304,0,0.018512,0.021504,0.126092,0.06632
1,double,uniform,CPU,"P | P",64,15,0.025632,0,0.019593,0.021504,0.126078,0.066729
1,double,uniform,CPU,"P | P",64,16,0.025504,0,0.018829,0.022528,0.125981,0.066861
1,double,uniform,CPU,"P | P",64,17,0.033056,0,0.019114,0.021504,0.134545,0.073674
1,double,uniform,CPU,"P | P",64,18,0.026144,0,0.018933,0.02048,0.126664,0.065557
1,double,uniform,CPU,"P | P",64,19,0.026688,0,0.019378,0.021504,0.128298,0.06757
1,double,uniform,CPU,"P | P",128,0,0.036032,0,0.025734,0.034816,0.167605,0.096582
1,double,uniform,CPU,"P | P",128,1,0.028032,0,0.021313,0.0256,0.135674,0.074945
1,double,uniform,CPU,"P | P",128,2,0.027872,0,0.020255,0.023552,0.130987,0.071679
1,double,uniform,CPU,"P | P",128,3,0.027392,0,0.019948,0.022528,0.138073,0.069868
