dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,0,1.07386,0.00391,0.130519,0.464896,1.79014,1.67318
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,1,0.980864,0.00392,0.092068,0.032768,1.18498,1.10962
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,2,0.975296,0.003724,0.077148,0.029696,1.15406,1.08586
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,3,0.967136,0.0036,0.076387,0.029696,1.1441,1.07682
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,4,0.972352,0.003798,0.07522,0.027648,1.15129,1.07902
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,5,0.958176,0.003639,0.074161,0.027648,1.13382,1.06362
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,6,0.96336,0.003606,0.074953,0.028672,1.14189,1.07059
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,7,1.02208,0.003655,0.074634,0.027648,1.19704,1.12802
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,8,0.967776,0.003659,0.074063,0.028672,1.14266,1.07417
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,9,0.971008,0.003666,0.074592,0.027648,1.14548,1.07691
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,10,0.97184,0.003535,0.074071,0.027648,1.14487,1.07709
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,11,0.968704,0.003545,0.07527,0.027648,1.14275,1.07517
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,12,0.96608,0.003646,0.076374,0.027648,1.24139,1.07375
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,13,0.965888,0.003579,0.081192,0.026624,1.14591,1.07728
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,14,0.975264,0.00358,0.075428,0.027648,1.15076,1.08192
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,15,0.98048,0.003516,0.075261,0.027648,1.15556,1.08691
