dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"D | D | D | D",64,0,0.075136,0,0.087192,0.366592,0.622217,0.52892
2,float,uniform,CPU,"D | D | D | D",64,1,0.040992,0,0.041768,0.014336,0.153453,0.097096
2,float,uniform,CPU,"D | D | D | D",64,2,0.03872,0,0.035904,0.014336,0.141362,0.08896
2,float,uniform,CPU,"D | D | D | D",64,3,0.037984,0,0.035129,0.013312,0.139336,0.086425
2,float,uniform,CPU,"D | D | D | D",64,4,0.03776,0,0.034613,0.013312,0.138605,0.085685
2,float,uniform,CPU,"D | D | D | D",64,5,0.038208,0,0.034881,0.012288,0.13872,0.085377
2,float,uniform,CPU,"D | D | D | D",64,6,0.037376,0,0.034906,0.011264,0.137456,0.083546
2,float,uniform,CPU,"D | D | D | D",64,7,0.036576,0,0.033974,0.012288,0.135846,0.082838
2,float,uniform,CPU,"D | D | D | D",64,8,0.038368,0,0.034457,0.013312,0.137699,0.086137
2,float,uniform,CPU,"D | D | D | D",64,9,0.037376,0,0.033963,0.011264,0.136834,0.082603
2,float,uniform,CPU,"D | D | D | D",64,10,0.038976,0,0.035043,0.014336,0.149306,0.088355
2,float,uniform,CPU,"D | D | D | D",64,11,0.036992,0,0.033935,0.013312,0.136669,0.084239
2,float,uniform,CPU,"D | D | D | D",64,12,0.037728,0,0.034351,0.013312,0.137114,0.085391
2,float,uniform,CPU,"D | D | D | D",64,13,0.037632,0,0.034162,0.012288,0.143589,0.084082
2,float,uniform,CPU,"D | D | D | D",64,14,0.037632,0,0.034352,0.012288,0.137599,0.084272
2,float,uniform,CPU,"D | D | D | D",64,15,0.037696,0,0.034637,0.011264,0.136399,0.083597
2,float,uniform,CPU,"D | D | D | D",64,16,0.0376,0,0.034387,0.012288,0.136698,0.084275
2,float,uniform,CPU,"D | D | D | D",64,17,0.0384,0,0.03457,0.013312,0.137497,0.086282
2,float,uniform,CPU,"D | D | D | D",64,18,0.03792,0,0.03525,0.013312,0.139282,0.086482
2,float,uniform,CPU,"D | D | D | D",64,19,0.037216,0,0.034589,0.012288,0.136554,0.084093
2,float,uniform,CPU,"D | D | D | D",128,0,0.079168,0,0.054228,0.024576,0.222115,0.157972
2,float,uniform,CPU,"D | D | D | D",128,1,0.070848,0,0.042925,0.014336,0.18458,0.128109
2,float,uniform,CPU,"D | D | D | D",128,2,0.065888,0,0.040271,0.013312,0.173571,0.119471
2,float,uniform,CPU,"D | D | D | D",128,3,0.06448,0,0.041058,0.011264,0.171107,0.116802
2,float,uniform,CPU,"D | D | D | D",128,4,0.065248,0,0.040242,0.013312,0.171278,0.118802
2,float,uniform,CPU,"D | D | D | D",128,5,0.064768,0,0.0404,0.012288,0.16985,0.117456
2,float,uniform,CPU,"D | D | D | D",128,6,0.065344,0,0.040932,0.016384,0.174336,0.12266
2,float,uniform,CPU,"D | D | D | D",128,7,0.064352,0,0.040093,0.012288,0.169906,0.116733
2,float,uniform,CPU,"D | D | D | D",128,8,0.064768,0,0.040517,0.013312,0.169435,0.118597
2,float,uniform,CPU,"D | D | D | D",128,9,0.064384,0,0.040842,0.012288,0.170309,0.117514
2,float,uniform,CPU,"D | D | D | D",128,10,0.063904,0,0.039954,0.013312,0.170038,0.11717
2,float,uniform,CPU,"D | D | D | D",128,11,0.066592,0,0.040591,0.013312,0.17193,0.120495
2,float,uniform,CPU,"D | D | D | D",128,12,0.068128,0,0.040026,0.012288,0.173218,0.120442
2,float,uniform,CPU,"D | D | D | D",128,13,0.0648,0,0.043866,0.012288,0.174064,0.120954
2,float,uniform,CPU,"D | D | D | D",128,14,0.065152,0,0.040251,0.012288,0.170013,0.117691
2,float,uniform,CPU,"D | D | D | D",128,15,0.06432,0,0.040054,0.012288,0.168874,0.116662
2,float,uniform,CPU,"D | D | D | D",128,16,0.066048,0,0.044736,0.013312,0.175152,0.124096
2,float,uniform,CPU,"D | D | D | D",128,17,0.065344,0,0.040346,0.012288,0.172948,0.117978
2,float,uniform,CPU,"D | D | D | D",128,18,0.065152,0,0.040694,0.013312,0.171062,0.119158
2,float,uniform,CPU,"D | D | D | D",128,19,0.064032,0,0.040722,0.012288,0.171093,0.117042
2,float,uniform,CPU,"D | D | D | D",192,0,0.131488,0,0.082581,0.0256,0.313619,0.239669
2,float,uniform,CPU,"D | D | D | D",192,1,0.115776,0,0.05851,0.014336,0.245472,0.188622
2,float,uniform,CPU,"D | D | D | D",192,2,0.109856,0,0.056936,0.014336,0.235331,0.181128
2,float,uniform,CPU,"D | D | D | D",192,3,0.108832,0,0.055779,0.012288,0.231149,0.176899
2,float,uniform,CPU,"D | D | D | D",192,4,0.115424,0,0.056532,0.012288,0.238577,0.184244
2,float,uniform,CPU,"D | D | D | D",192,5,0.10864,0,0.056739,0.019456,0.239839,0.184835
2,float,uniform,CPU,"D | D | D | D",192,6,0.109888,0,0.056039,0.014336,0.239593,0.180263
2,float,uniform,CPU,"D | D | D | D",192,7,0.108576,0,0.056455,0.013312,0.232399,0.178343
2,float,uniform,CPU,"D | D | D | D",192,8,0.11184,0,0.056229,0.013312,0.234003,0.181381
2,float,uniform,CPU,"D | D | D | D",192,9,0.110144,0,0.055878,0.014336,0.234601,0.180358
2,float,uniform,CPU,"D | D | D | D",192,10,0.110496,0,0.056293,0.013312,0.23286,0.180101
