dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,0,0.634528,0,0.098845,0.37376,1.20793,1.10713
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,1,0.685728,0,0.052329,0.018432,0.814867,0.756489
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,2,0.610464,0,0.047792,0.016384,0.731223,0.67464
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,3,0.606432,0,0.045827,0.016384,0.723938,0.668643
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,4,0.597824,0,0.047271,0.016384,0.71635,0.661479
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,5,0.595328,0,0.044911,0.016384,0.711428,0.656623
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,6,0.609024,0,0.046299,0.016384,0.725444,0.671707
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,7,0.607136,0,0.045605,0.016384,0.722894,0.669125
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,8,0.600224,0,0.045496,0.016384,0.715996,0.662104
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,9,0.602304,0,0.045518,0.016384,0.776526,0.664206
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,10,0.597504,0,0.046478,0.016384,0.714233,0.660366
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,11,0.595712,0,0.045541,0.01536,0.718225,0.656613
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,12,0.606464,0,0.044918,0.017408,0.720989,0.66879
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,13,0.60944,0,0.045117,0.016384,0.72552,0.670941
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,14,0.612384,0,0.046344,0.01536,0.729758,0.674088
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,15,0.597888,0,0.045303,0.01536,0.713364,0.658551
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,16,0.602336,0,0.044862,0.022528,0.724399,0.669726
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,17,0.597664,0,0.047302,0.016384,0.716097,0.66135
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,18,0.60992,0,0.045362,0.014336,0.724903,0.669618
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,19,0.605408,0,0.045772,0.01536,0.720699,0.66654
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,0,3.31894,0,0.223542,0.065536,3.68408,3.60802
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,1,3.39677,0,0.198526,0.062464,3.71848,3.65776
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,2,3.53654,0,0.197043,0.06144,3.85378,3.79503
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,3,3.43101,0,0.19568,0.06144,3.74562,3.68813
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,4,3.41078,0,0.19723,0.060416,3.72971,3.66843
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,5,3.36429,0,0.196229,0.063488,3.68208,3.624
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,6,3.47414,0,0.194564,0.063488,3.79008,3.7322
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,7,3.38413,0,0.197606,0.062464,3.70495,3.6442
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,8,3.45645,0,0.194704,0.06144,3.77615,3.71259
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,9,3.40813,0,0.197011,0.062464,3.72719,3.6676
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,10,3.3951,0,0.198482,0.063488,3.72217,3.65707
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,11,3.384,0,0.194808,0.06144,3.69804,3.64025
