dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | N | D",64,0,0.63216,0.003971,0.115936,0.381952,1.24371,1.13402
3,float,uniform,CPU,"D | D | D | D | N | D",64,1,0.747552,0.003848,0.07119,0.017408,0.903469,0.839998
3,float,uniform,CPU,"D | D | D | D | N | D",64,2,0.66736,0.003653,0.067134,0.016384,0.814613,0.754531
3,float,uniform,CPU,"D | D | D | D | N | D",64,3,0.605024,0.003612,0.065596,0.016384,0.750065,0.690616
3,float,uniform,CPU,"D | D | D | D | N | D",64,4,0.600096,0.003505,0.064972,0.014336,0.744098,0.682909
3,float,uniform,CPU,"D | D | D | D | N | D",64,5,0.596512,0.003545,0.156519,0.016384,0.831764,0.77296
3,float,uniform,CPU,"D | D | D | D | N | D",64,6,0.59856,0.003545,0.064115,0.016384,0.740591,0.682604
3,float,uniform,CPU,"D | D | D | D | N | D",64,7,0.679776,0.003581,0.065637,0.01536,0.823275,0.764354
3,float,uniform,CPU,"D | D | D | D | N | D",64,8,0.691488,0.003577,0.065141,0.01536,0.836346,0.775566
3,float,uniform,CPU,"D | D | D | D | N | D",64,9,0.60848,0.003619,0.064804,0.016384,0.751955,0.693287
3,float,uniform,CPU,"D | D | D | D | N | D",64,10,0.599424,0.00362,0.063982,0.016384,0.74137,0.68341
3,float,uniform,CPU,"D | D | D | D | N | D",64,11,0.596288,0.003557,0.065463,0.016384,0.739246,0.681692
3,float,uniform,CPU,"D | D | D | D | N | D",64,12,0.693568,0.003658,0.064084,0.017408,0.836039,0.778718
3,float,uniform,CPU,"D | D | D | D | N | D",64,13,0.607744,0.003588,0.065646,0.014336,0.75024,0.691314
3,float,uniform,CPU,"D | D | D | D | N | D",64,14,0.595648,0.003539,0.06375,0.017408,0.870845,0.680345
3,float,uniform,CPU,"D | D | D | D | N | D",64,15,0.59664,0.003608,0.065174,0.01536,0.742208,0.680782
3,float,uniform,CPU,"D | D | D | D | N | D",64,16,0.59632,0.00362,0.064508,0.016384,0.738851,0.680832
3,float,uniform,CPU,"D | D | D | D | N | D",64,17,0.594752,0.003699,0.064476,0.01536,0.737059,0.678287
3,float,uniform,CPU,"D | D | D | D | N | D",64,18,0.608896,0.003647,0.064978,0.016384,0.751132,0.693905
3,float,uniform,CPU,"D | D | D | D | N | D",64,19,0.690976,0.003717,0.064664,0.01536,0.834817,0.774717
3,float,uniform,CPU,"D | D | D | D | N | D",128,0,3.3663,0.004402,0.367132,0.067584,3.88577,3.80542
3,float,uniform,CPU,"D | D | D | D | N | D",128,1,3.3535,0.003952,0.332535,0.058368,3.81818,3.74836
3,float,uniform,CPU,"D | D | D | D | N | D",128,2,3.42035,0.003921,0.332271,0.058368,3.88342,3.81491
3,float,uniform,CPU,"D | D | D | D | N | D",128,3,3.50026,0.003811,0.329718,0.057344,3.95593,3.89113
3,float,uniform,CPU,"D | D | D | D | N | D",128,4,3.34979,0.003884,0.33004,0.05632,3.80336,3.74004
3,float,uniform,CPU,"D | D | D | D | N | D",128,5,3.42499,0.003847,0.329884,0.057344,3.87873,3.81607
3,float,uniform,CPU,"D | D | D | D | N | D",128,6,3.42243,0.003701,0.328239,0.057344,3.87407,3.81172
3,float,uniform,CPU,"D | D | D | D | N | D",128,7,3.46269,0.003779,0.329347,0.060416,3.91856,3.85623
3,float,uniform,CPU,"D | D | D | D | N | D",128,8,3.37642,0.004197,0.328934,0.05632,3.82944,3.76587
3,float,uniform,CPU,"D | D | D | D | N | D",128,9,3.34947,0.003693,0.330152,0.058368,3.80569,3.74169
3,float,uniform,CPU,"D | D | D | D | N | D",128,10,3.41491,0.003724,0.329786,0.057344,3.86987,3.80577
3,float,uniform,CPU,"D | D | D | D | N | D",128,11,3.4519,0.003665,0.335888,0.057344,3.91151,3.8488
3,float,uniform,CPU,"D | D | D | D | N | D",128,12,3.44714,0.00373,0.327964,0.05632,3.89712,3.83515
3,float,uniform,CPU,"D | D | D | D | N | D",128,13,3.4129,0.003732,0.327797,0.057344,3.87118,3.80177
3,float,uniform,CPU,"D | D | D | D | N | D",128,14,3.45939,0.003757,0.331314,0.058368,3.91665,3.85283
3,float,uniform,CPU,"D | D | D | D | N | D",128,15,3.4617,0.003792,0.32773,0.058368,3.91342,3.85159
3,float,uniform,CPU,"D | D | D | D | N | D",128,16,3.37107,0.00375,0.329176,0.058368,3.82642,3.76237
3,float,uniform,CPU,"D | D | D | D | N | D",128,17,3.35018,0.003847,0.327702,0.057344,3.8022,3.73907
3,float,uniform,CPU,"D | D | D | D | N | D",128,18,3.44157,0.003876,0.329317,0.05632,3.89508,3.83108
3,float,uniform,CPU,"D | D | D | D | N | D",128,19,3.35802,0.003809,0.329941,0.05632,3.86573,3.74809
3,float,uniform,CPU,"D | D | D | D | N | D",192,0,11.9686,0.003979,1.2293,0.22016,13.5103,13.4221
3,float,uniform,CPU,"D | D | D | D | N | D",192,1,12.0364,0.004006,1.25073,0.21504,13.5896,13.5061
3,float,uniform,CPU,"D | D | D | D | N | D",192,2,11.8881,0.004138,1.33232,0.212992,13.5215,13.4376
3,float,uniform,CPU,"D | D | D | D | N | D",192,3,11.9953,0.004096,1.2241,0.216064,13.5235,13.4396
3,float,uniform,CPU,"D | D | D | D | N | D",192,4,11.9168,0.004069,1.21652,0.21504,13.4356,13.3524
3,float,uniform,CPU,"D | D | D | D | N | D",192,5,12.0065,0.004446,1.21911,0.218112,13.5281,13.4482
3,float,uniform,CPU,"D | D | D | D | N | D",192,6,11.9329,0.004106,1.21902,0.21504,13.4546,13.371
3,float,uniform,CPU,"D | D | D | D | N | D",192,7,11.8839,0.004018,1.21855,0.214016,13.3964,13.3205
3,float,uniform,CPU,"D | D | D | D | N | D",192,8,11.8761,0.003928,1.22469,0.218112,13.4,13.3229
3,float,uniform,CPU,"D | D | D | D | N | D",192,9,11.8551,0.004243,1.22612,0.217088,13.3841,13.3026
3,float,uniform,CPU,"D | D | D | D | N | D",192,10,12.0683,0.004274,1.22034,0.211968,13.5884,13.5049
3,float,uniform,CPU,"D | D | D | D | N | D",192,11,11.9269,0.004127,1.21915,0.210944,13.444,13.3611
3,float,uniform,CPU,"D | D | D | D | N | D",192,12,11.8604,0.004041,1.23511,0.214016,13.4076,13.3135
3,float,uniform,CPU,"D | D | D | D | N | D",192,13,11.8932,0.004112,1.22257,0.214016,13.4169,13.3338
3,float,uniform,CPU,"D | D | D | D | N | D",192,14,11.8567,0.004044,1.22376,0.214016,13.3817,13.2985
3,float,uniform,CPU,"D | D | D | D | N | D",192,15,11.9055,0.004262,1.21409,0.210944,13.4181,13.3348
3,float,uniform,CPU,"D | D | D | D | N | D",192,16,11.8958,0.004486,1.22522,0.212992,13.4204,13.3385
3,float,uniform,CPU,"D | D | D | D | N | D",192,17,11.9454,0.004254,1.22333,0.214016,13.4696,13.387
3,float,uniform,CPU,"D | D | D | D | N | D",192,18,11.954,0.004054,1.22318,0.211968,13.4773,13.3932
3,float,uniform,CPU,"D | D | D | D | N | D",192,19,11.8932,0.004188,1.21842,0.214016,13.4092,13.3298
3,float,uniform,CPU,"D | D | D | D | N | D",256,0,28.1117,0.0035,2.75729,0.497664,31.4686,31.3701
3,float,uniform,CPU,"D | D | D | D | N | D",256,1,28.4941,0.003649,2.71756,0.490496,31.7895,31.7059
3,float,uniform,CPU,"D | D | D | D | N | D",256,2,28.5441,0.003703,2.72212,0.49152,31.8464,31.7614
3,float,uniform,CPU,"D | D | D | D | N | D",256,3,28.38,0.003601,2.71895,0.49664,31.682,31.5992
3,float,uniform,CPU,"D | D | D | D | N | D",256,4,28.1132,0.003536,2.72546,0.492544,31.4223,31.3347
3,float,uniform,CPU,"D | D | D | D | N | D",256,5,28.3911,0.003614,2.72297,0.488448,31.6918,31.6062
3,float,uniform,CPU,"D | D | D | D | N | D",256,6,28.1458,0.00367,2.72247,0.490496,31.4451,31.3624
3,float,uniform,CPU,"D | D | D | D | N | D",256,7,28.3392,0.003699,2.72571,0.488448,31.6381,31.5571
3,float,uniform,CPU,"D | D | D | D | N | D",256,8,28.3127,0.003674,2.72205,0.489472,31.61,31.5279
3,float,uniform,CPU,"D | D | D | D | N | D",256,9,28.1449,0.003676,2.72377,0.490496,31.4446,31.3629
3,float,uniform,CPU,"D | D | D | D | N | D",256,10,28.4081,0.003695,2.72406,0.49152,31.7151,31.6274
3,float,uniform,CPU,"D | D | D | D | N | D",256,11,28.0836,0.003651,2.72385,0.487424,31.3802,31.2985
3,float,uniform,CPU,"D | D | D | D | N | D",256,12,28.5077,0.003602,2.72318,0.488448,31.8076,31.7229
3,float,uniform,CPU,"D | D | D | D | N | D",256,13,28.545,0.003718,2.72672,0.489472,31.8476,31.7649
3,float,uniform,CPU,"D | D | D | D | N | D",256,14,27.9455,0.003471,2.72213,0.488448,31.2404,31.1595
3,float,uniform,CPU,"D | D | D | D | N | D",256,15,28.5815,0.003803,2.72262,0.49152,31.8903,31.7994
3,float,uniform,CPU,"D | D | D | D | N | D",256,16,28.4748,0.00375,2.71947,0.489472,31.776,31.6875
3,float,uniform,CPU,"D | D | D | D | N | D",256,17,28.4165,0.003661,2.72055,0.489472,31.7126,31.6302
3,float,uniform,CPU,"D | D | D | D | N | D",256,18,28.3478,0.003616,2.71865,0.493568,31.6459,31.5636
3,float,uniform,CPU,"D | D | D | D | N | D",256,19,28.4547,0.004063,2.72199,0.489472,31.7551,31.6702
3,float,uniform,CPU,"D | D | D | D | N | D",320,0,55.245,0.003052,13.1477,0.893952,69.3714,69.2897
3,float,uniform,CPU,"D | D | D | D | N | D",320,1,54.8888,0.002894,13.1275,0.896,68.9928,68.9153
3,float,uniform,CPU,"D | D | D | D | N | D",320,2,54.4581,0.002778,13.2436,0.89088,68.6732,68.5954
3,float,uniform,CPU,"D | D | D | D | N | D",320,3,54.4201,0.002765,13.1455,0.892928,68.5429,68.4613
3,float,uniform,CPU,"D | D | D | D | N | D",320,4,53.9833,0.002709,13.1327,0.893952,68.0887,68.0126
3,float,uniform,CPU,"D | D | D | D | N | D",320,5,54.3138,0.002737,13.1318,0.89088,68.4153,68.3392
3,float,uniform,CPU,"D | D | D | D | N | D",320,6,54.1807,0.002785,13.1308,0.891904,68.2843,68.2062
3,float,uniform,CPU,"D | D | D | D | N | D",320,7,54.1244,0.002748,13.1678,0.89088,68.2628,68.1858
3,float,uniform,CPU,"D | D | D | D | N | D",320,8,53.6847,0.00283,13.126,0.892928,67.7832,67.7065
3,float,uniform,CPU,"D | D | D | D | N | D",320,9,53.668,0.002788,13.1283,0.888832,67.7685,67.6879
3,float,uniform,CPU,"D | D | D | D | N | D",320,10,53.6631,0.00286,13.131,0.894976,67.7701,67.692
3,float,uniform,CPU,"D | D | D | D | N | D",320,11,53.5018,0.002824,13.1227,0.898048,67.6002,67.5254
3,float,uniform,CPU,"D | D | D | D | N | D",320,12,54.038,0.002852,13.1269,0.89088,68.1385,68.0586
3,float,uniform,CPU,"D | D | D | D | N | D",320,13,54.2236,0.002969,13.333,0.894976,68.5329,68.4545
3,float,uniform,CPU,"D | D | D | D | N | D",320,14,54.0538,0.002718,13.1248,0.889856,68.1475,68.0713
