dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,3,0.168928,0.004105,0.838216,0.44032,1.59554,1.45157
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,4,0.1608,0.004163,0.839581,0.436224,1.5887,1.44077
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,5,0.163648,0.004735,0.835957,0.437248,1.59333,1.44159
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,6,0.16608,0.004015,0.835622,0.4352,1.58864,1.44092
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,7,0.167936,0.004104,0.834784,0.44032,1.59303,1.44714
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,8,0.167296,0.004087,0.836728,0.442368,1.59664,1.45048
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,9,0.169728,0.004122,0.837208,0.4352,1.5939,1.44626
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,10,0.167424,0.004139,0.834867,0.436224,1.58886,1.44265
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,11,0.161088,0.004094,0.839722,0.437248,1.58851,1.44215
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,12,0.161792,0.004041,0.834625,0.4352,1.58373,1.43566
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,13,0.16976,0.00414,0.834745,0.439296,1.59417,1.44794
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,14,0.166048,0.004415,0.838561,0.4352,1.58977,1.44422
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,15,0.168736,0.004053,0.835284,0.441344,1.60266,1.44942
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,16,0.166112,0.004154,0.837733,0.441344,1.5962,1.44934
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,17,0.16704,0.004371,0.835432,0.436224,1.59015,1.44307
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,18,0.167872,0.004089,0.833312,0.438272,1.58946,1.44354
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,19,0.1688,0.004111,0.84062,0.437248,1.59791,1.45078
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,0,0.363616,0.004206,1.92951,0.982016,3.42759,3.27935
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,1,0.358656,0.004027,1.89787,0.974848,3.38047,3.2354
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,2,0.365792,0.003286,1.90709,0.979968,3.39516,3.25614
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,3,0.36608,0.004551,1.89552,0.978944,3.39537,3.24509
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,4,0.363104,0.004063,1.90489,0.978944,3.39537,3.251
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,5,0.360512,0.003471,1.91066,0.979968,3.39628,3.25461
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,6,0.361888,0.00395,1.90706,0.980992,3.39982,3.25389
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,7,0.362304,0.004133,1.9047,0.97792,3.39534,3.24905
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,8,0.360704,0.004077,1.90303,0.976896,3.39233,3.2447
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,9,0.359008,0.003773,1.89968,0.984064,3.3912,3.24653
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,10,0.359168,0.004074,1.90473,0.97792,3.39352,3.24589
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,11,0.3624,0.003742,1.9049,0.97792,3.3885,3.24896
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,12,0.36016,0.003925,1.90007,0.978944,3.38888,3.2431
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,13,0.35952,0.003361,1.89963,0.974848,3.37657,3.23736
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",256,14,0.361792,0.003976,1.91557,0.97792,3.40514,3.25926
