dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,17,0.960768,0.003564,0.075711,0.027648,1.13679,1.06769
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,18,0.966784,0.003572,0.073748,0.027648,1.14056,1.07175
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,19,0.95296,0.004071,0.075143,0.027648,1.13955,1.05982
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,0,6.82819,0.004269,0.547447,0.251904,7.73278,7.63181
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,1,6.87914,0.004092,0.511082,0.24576,7.72295,7.64007
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,2,6.9137,0.004053,0.510329,0.242688,7.77471,7.67077
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,3,7.07834,0.003975,0.512118,0.24064,7.91482,7.83507
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,4,7.0297,0.004145,0.510665,0.242688,7.86874,7.78719
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,5,6.91408,0.003983,0.519055,0.238592,7.75585,7.67571
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,6,7.03008,0.00393,0.515057,0.239616,7.87045,7.78868
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,7,6.89725,0.004208,0.51254,0.243712,7.7407,7.65771
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,8,6.89258,0.004115,0.510877,0.241664,7.73227,7.64923
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,9,7.00198,0.003959,0.509458,0.24064,7.83511,7.75604
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,10,6.90589,0.003944,0.512735,0.24064,7.78831,7.66321
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,11,6.90918,0.004162,0.512062,0.244736,7.75157,7.67014
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,12,6.91414,0.004124,0.50942,0.243712,7.74902,7.6714
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,13,7.00509,0.004088,0.512144,0.24064,7.84017,7.76196
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,14,6.9231,0.004096,0.509981,0.24064,7.75873,7.67782
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,15,6.89606,0.004062,0.509383,0.241664,7.73054,7.65117
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,16,6.888,0.004088,0.528094,0.241664,7.74531,7.66185
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,17,6.93706,0.004101,0.524386,0.242688,7.79215,7.70823
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,18,6.88403,0.003822,0.522844,0.241664,7.73475,7.65236
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,19,6.96032,0.004054,0.524802,0.244736,7.8148,7.73391
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,0,23.7899,0.004221,1.64965,0.751616,26.2959,26.1954
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,1,23.358,0.004009,1.61464,0.74752,25.8178,25.7242
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,2,23.6813,0.004087,1.61009,0.748544,26.1362,26.0441
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,3,23.93,0.004208,1.62932,0.75264,26.4096,26.3161
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,4,24.0334,0.004163,1.60943,0.749568,26.4929,26.3966
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,5,24.152,0.004259,1.61401,0.751616,26.6277,26.5219
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,6,23.8492,0.004207,1.61479,0.750592,26.3165,26.2188
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,7,23.6456,0.003947,1.61488,0.749568,26.1092,26.014
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,8,23.8111,0.004319,1.61618,0.753664,26.2832,26.1853
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,9,23.797,0.004272,1.61357,0.749568,26.2587,26.1644
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,10,23.8287,0.004147,1.62332,0.751616,26.3023,26.2078
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,11,24.095,0.004196,1.61213,0.749568,26.5553,26.4609
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,12,23.8057,0.004356,1.62057,0.75264,26.2808,26.1833
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,13,23.7118,0.004119,1.62,0.749568,26.1806,26.0855
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,14,24.0293,0.004229,1.62405,0.749568,26.4991,26.4072
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,15,23.8251,0.003673,1.61726,0.749568,26.298,26.1956
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,16,24.1212,0.004182,1.60991,0.75264,26.581,26.488
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,17,23.8248,0.004127,1.61255,0.749568,26.2805,26.1911
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,18,23.5774,0.004421,1.61372,0.753664,26.0431,25.9492
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",192,19,23.6924,0.004212,1.61512,0.756736,26.166,26.0685
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,0,55.9317,0.003111,3.91689,1.75923,61.7028,61.611
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,1,55.8575,0.003071,3.86276,1.75309,61.5648,61.4764
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,2,55.7839,0.003103,3.86559,1.75411,61.4999,61.4067
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,3,55.4714,0.003071,3.8702,1.75206,61.1882,61.0968
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,4,55.2984,0.003108,3.86975,1.75411,61.017,60.9254
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,5,55.8215,0.003131,3.86879,1.75514,61.5442,61.4485
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,6,55.9137,0.003919,3.86809,1.75104,61.6298,61.5367
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,7,55.5703,0.003031,3.86464,1.75104,61.2778,61.189
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,8,56.6302,0.003244,3.86835,1.75206,62.3479,62.2538
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,9,56.4945,0.002937,3.86255,1.75514,62.2061,62.1151
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,10,56.0892,0.003088,3.86704,1.75309,61.8082,61.7125
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,11,56.3328,0.003053,3.86335,1.75514,62.0453,61.9543
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,12,55.9856,0.00319,3.85893,1.75616,61.6937,61.6039
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,13,55.9828,0.003016,3.86612,1.75309,61.695,61.605
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,14,55.9334,0.003138,3.86151,1.75206,61.6413,61.5501
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,15,55.5394,0.003046,3.85884,1.75309,61.2454,61.1543
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,16,55.6495,0.003101,3.87221,1.75309,61.3705,61.2779
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,17,56.6837,0.003903,3.90087,1.76845,62.4924,62.3569
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,18,55.6994,0.003049,3.85749,1.75411,61.4007,61.314
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",256,19,55.9358,0.00325,3.86248,1.75616,61.6512,61.5577
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,0,106.698,0.003355,8.99727,3.43142,119.22,119.13
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",320,1,108.309,0.00339,8.9902,3.42733,120.821,120.73
