dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",128,17,0.064992,0.00373,0.276525,0.132096,0.62343,0.477343
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",128,18,0.066592,0.003763,0.272533,0.13312,0.620892,0.476008
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",128,19,0.067968,0.003827,0.273631,0.134144,0.624653,0.47957
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,0,0.16416,0.004625,0.845095,0.439296,1.59957,1.45318
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,1,0.166848,0.004574,0.821982,0.438272,1.57666,1.43168
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,2,0.166528,0.004249,0.826281,0.441344,1.58265,1.4384
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,3,0.164448,0.004257,0.82115,0.436224,1.57383,1.42608
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,4,0.161536,0.004171,0.823928,0.437248,1.57224,1.42688
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,5,0.163904,0.004133,0.818558,0.437248,1.57073,1.42384
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,6,0.164032,0.004124,0.820572,0.439296,1.57325,1.42802
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,7,0.169888,0.004597,0.819238,0.437248,1.57555,1.43097
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,8,0.170784,0.004284,0.818252,0.437248,1.57821,1.43057
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,9,0.162144,0.004231,0.821247,0.44032,1.58146,1.42794
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,10,0.162848,0.004193,0.822245,0.44032,1.57603,1.42961
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,11,0.162432,0.004189,0.823528,0.438272,1.57488,1.42842
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,12,0.1632,0.004146,0.82341,0.436224,1.57146,1.42698
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,13,0.166848,0.004249,0.823543,0.439296,1.58716,1.43394
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,14,0.164576,0.004483,0.820716,0.437248,1.57379,1.42702
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,15,0.163136,0.004168,0.820735,0.443392,1.57617,1.43143
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,16,0.168704,0.004163,0.819249,0.4352,1.57352,1.42732
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,17,0.16288,0.004283,0.823668,0.44032,1.57648,1.43115
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,18,0.170624,0.004049,0.81897,0.439296,1.57639,1.43294
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",192,19,0.162848,0.004397,0.822012,0.4352,1.57051,1.42446
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,0,0.364096,0.004042,2.00192,0.986112,3.50226,3.35617
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,1,0.360096,0.004004,1.9642,0.974848,3.45494,3.30315
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,2,0.365312,0.004235,1.96585,0.982016,3.52751,3.31741
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,3,0.358528,0.003502,1.96321,0.97792,3.44187,3.30316
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,4,0.359552,0.003989,1.96486,0.978944,3.45318,3.30734
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,5,0.3656,0.003984,1.962,0.974848,3.45025,3.30644
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,6,0.363488,0.003996,1.9629,0.98304,3.45949,3.31342
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,7,0.37088,0.004362,1.97302,0.97792,3.49125,3.32618
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,8,0.42272,0.004016,1.9617,0.97792,3.51686,3.36635
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,9,0.36432,0.004038,1.96514,0.976896,3.45522,3.3104
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,10,0.366624,0.004093,1.96428,0.98816,3.46714,3.32316
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,11,0.366048,0.004,1.9645,0.974848,3.45493,3.3094
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,12,0.361088,0.003647,1.96027,0.978944,3.44506,3.30395
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,13,0.358848,0.003179,1.95817,0.974848,3.43446,3.29504
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,14,0.358912,0.004269,1.96553,0.976896,3.45083,3.3056
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",256,15,0.357888,0.003707,1.96453,0.979968,3.44871,3.3061
