dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",64,0,0.643744,0.004061,0.114679,0.454656,1.33191,1.21714
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",64,1,0.767008,0.003964,0.066483,0.024576,0.935016,0.862031
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",64,2,0.623104,0.003795,0.058809,0.023552,0.785986,0.70926
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",64,3,0.61648,0.003707,0.057384,0.0256,0.771043,0.703171
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",64,4,0.621152,0.003585,0.058295,0.0256,0.776773,0.708632
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",64,5,0.618112,0.003672,0.056951,0.023552,0.772137,0.702287
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",64,6,0.619488,0.003702,0.058525,0.023552,0.777932,0.705267
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",64,7,0.627552,0.003545,0.056471,0.023552,0.780588,0.71112
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",64,8,0.626304,0.003618,0.056173,0.0256,0.77897,0.711695
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",64,9,0.618688,0.003586,0.056288,0.024576,0.772487,0.703138
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",64,10,0.618688,0.003555,0.056623,0.023552,0.771609,0.702418
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",64,11,0.619264,0.003537,0.141695,0.024576,0.858144,0.789072
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",64,12,0.61648,0.0036,0.056488,0.023552,0.77002,0.70012
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",64,13,0.618112,0.003554,0.057325,0.024576,0.77402,0.703567
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",64,14,0.617088,0.003666,0.056691,0.024576,0.769681,0.702021
