dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | N | D",64,0,1.07197,0.00398,0.140628,0.392192,1.71493,1.60877
3,double,uniform,CPU,"D | D | D | D | N | D",64,1,1.09469,0.003802,0.098207,0.019456,1.28039,1.21615
3,double,uniform,CPU,"D | D | D | D | N | D",64,2,1.01942,0.003618,0.095311,0.017408,1.20103,1.13576
3,double,uniform,CPU,"D | D | D | D | N | D",64,3,1.08701,0.003676,0.094202,0.017408,1.26187,1.20229
3,double,uniform,CPU,"D | D | D | D | N | D",64,4,0.99248,0.003702,0.093202,0.016384,1.16538,1.10577
3,double,uniform,CPU,"D | D | D | D | N | D",64,5,0.987072,0.003561,0.093631,0.016384,1.15966,1.10065
3,double,uniform,CPU,"D | D | D | D | N | D",64,6,0.98128,0.003733,0.100564,0.016384,1.16206,1.10196
3,double,uniform,CPU,"D | D | D | D | N | D",64,7,0.991744,0.003554,0.093051,0.016384,1.16222,1.10473
3,double,uniform,CPU,"D | D | D | D | N | D",64,8,1.07347,0.003621,0.092709,0.016384,1.25286,1.18619
3,double,uniform,CPU,"D | D | D | D | N | D",64,9,1.17075,0.003573,0.093505,0.016384,1.34379,1.28421
3,double,uniform,CPU,"D | D | D | D | N | D",64,10,0.980608,0.003575,0.09397,0.016384,1.15344,1.09454
3,double,uniform,CPU,"D | D | D | D | N | D",64,11,0.989088,0.003582,0.093376,0.016384,1.16112,1.10243
3,double,uniform,CPU,"D | D | D | D | N | D",64,12,0.970528,0.011658,0.091941,0.018432,1.1513,1.09256
3,double,uniform,CPU,"D | D | D | D | N | D",64,13,0.991712,0.003605,0.093031,0.017408,1.16282,1.10576
3,double,uniform,CPU,"D | D | D | D | N | D",64,14,1.04266,0.003642,0.092523,0.016384,1.21436,1.1552
3,double,uniform,CPU,"D | D | D | D | N | D",64,15,1.07978,0.003628,0.093057,0.016384,1.25414,1.19285
3,double,uniform,CPU,"D | D | D | D | N | D",64,16,0.985152,0.003564,0.092583,0.016384,1.15731,1.09768
3,double,uniform,CPU,"D | D | D | D | N | D",64,17,0.974208,0.003789,0.184845,0.016384,1.23819,1.17923
3,double,uniform,CPU,"D | D | D | D | N | D",64,18,0.982368,0.003686,0.09547,0.016384,1.15849,1.09791
3,double,uniform,CPU,"D | D | D | D | N | D",64,19,0.993728,0.003642,0.09422,0.016384,1.1669,1.10797
3,double,uniform,CPU,"D | D | D | D | N | D",128,0,6.84918,0.004175,0.696503,0.115712,7.75062,7.66557
3,double,uniform,CPU,"D | D | D | D | N | D",128,1,6.93549,0.004223,0.807117,0.106496,7.92859,7.85332
3,double,uniform,CPU,"D | D | D | D | N | D",128,2,6.91536,0.004329,0.678879,0.106496,7.78023,7.70506
