dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,0,0.643104,0.004068,0.123743,0.369664,1.24873,1.14058
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,1,0.699296,0.003766,0.067631,0.018432,0.851953,0.789125
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,2,0.628704,0.003684,0.059252,0.016384,0.769504,0.708024
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,3,0.627808,0.003648,0.056992,0.016384,0.764787,0.704832
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,4,0.641824,0.00368,0.057719,0.01536,0.778298,0.718583
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,5,0.63264,0.003618,0.056536,0.016384,0.769642,0.709178
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,6,0.633952,0.003731,0.058387,0.01536,0.772671,0.71143
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,7,0.62576,0.003617,0.057232,0.01536,0.762505,0.701969
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,8,0.6304,0.003702,0.057201,0.016384,0.76733,0.707687
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,9,0.618048,0.003617,0.057202,0.01536,0.75426,0.694227
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,10,0.617888,0.003619,0.056661,0.016384,0.754484,0.694552
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,11,0.618368,0.003593,0.142204,0.01536,0.840002,0.779525
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,12,0.618336,0.003648,0.057679,0.016384,0.755499,0.696047
