dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | P | P",64,0,0.637888,0,0.066139,0.473344,1.28869,1.17737
3,float,uniform,CPU,"P | P | P | P | P | P",64,1,0.676608,0,0.049605,0.033184,0.827369,0.759397
3,float,uniform,CPU,"P | P | P | P | P | P",64,2,0.60128,0,0.050234,0.029984,0.747966,0.681498
3,float,uniform,CPU,"P | P | P | P | P | P",64,3,0.596064,0,0.043834,0.030048,0.734159,0.669946
3,float,uniform,CPU,"P | P | P | P | P | P",64,4,0.595104,0,0.043933,0.03056,0.740488,0.669597
3,float,uniform,CPU,"P | P | P | P | P | P",64,5,0.601568,0,0.043551,0.030432,0.738731,0.675551
3,float,uniform,CPU,"P | P | P | P | P | P",64,6,0.606656,0,0.043473,0.028896,0.745644,0.679025
3,float,uniform,CPU,"P | P | P | P | P | P",64,7,0.601344,0,0.043492,0.030432,0.740172,0.675268
3,float,uniform,CPU,"P | P | P | P | P | P",64,8,0.590592,0,0.04637,0.031872,0.735207,0.668834
3,float,uniform,CPU,"P | P | P | P | P | P",64,9,0.595872,0,0.043745,0.032192,0.746986,0.671809
3,float,uniform,CPU,"P | P | P | P | P | P",64,10,0.594656,0,0.044256,0.030944,0.734588,0.669856
3,float,uniform,CPU,"P | P | P | P | P | P",64,11,0.593664,0,0.044033,0.031072,0.733641,0.668769
3,float,uniform,CPU,"P | P | P | P | P | P",64,12,0.603616,0,0.042595,0.030944,0.741364,0.677155
3,float,uniform,CPU,"P | P | P | P | P | P",64,13,0.602368,0,0.043498,0.029984,0.740069,0.67585
3,float,uniform,CPU,"P | P | P | P | P | P",64,14,0.59808,0,0.043304,0.031168,0.736014,0.672552
3,float,uniform,CPU,"P | P | P | P | P | P",64,15,0.596992,0,0.043541,0.03168,0.736541,0.672213
3,float,uniform,CPU,"P | P | P | P | P | P",64,16,0.611936,0,0.042912,0.031584,0.750574,0.686432
3,float,uniform,CPU,"P | P | P | P | P | P",64,17,0.605856,0,0.043482,0.031264,0.745791,0.680602
3,float,uniform,CPU,"P | P | P | P | P | P",64,18,0.605888,0,0.044166,0.029568,0.747457,0.679622
3,float,uniform,CPU,"P | P | P | P | P | P",64,19,0.595072,0,0.125421,0.03008,0.814321,0.750573
3,float,uniform,CPU,"P | P | P | P | P | P",128,0,3.28256,0,0.323911,0.15744,3.85171,3.76391
3,float,uniform,CPU,"P | P | P | P | P | P",128,1,3.32906,0,0.309565,0.1504,3.94385,3.78902
3,float,uniform,CPU,"P | P | P | P | P | P",128,2,3.40262,0,0.314422,0.147936,3.93566,3.86498
3,float,uniform,CPU,"P | P | P | P | P | P",128,3,3.42051,0,0.309513,0.14624,3.9464,3.87626
3,float,uniform,CPU,"P | P | P | P | P | P",128,4,3.42147,0,0.311198,0.149504,3.95056,3.88217
