dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,18,7.0081,0.00407,0.386606,0.106496,7.57526,7.50527
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,19,6.90426,0.004097,0.382036,0.106496,7.47007,7.39688
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,0,23.9827,0.004197,1.17419,0.367616,25.6456,25.5287
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,1,23.8676,0.004042,1.13878,0.360448,25.4509,25.3709
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,2,24.1996,0.004185,1.132,0.362496,25.7803,25.6983
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,3,23.8107,0.00403,1.15574,0.360448,25.4238,25.3309
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,4,23.9036,0.004192,1.14131,0.355328,25.4883,25.4045
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,5,24.2558,0.004155,1.14134,0.360448,25.8465,25.7618
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,6,23.7667,0.004311,1.13933,0.360448,25.3542,25.2708
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,7,24.1245,0.004122,1.1533,0.356352,25.7258,25.6383
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,8,23.889,0.004147,1.14439,0.362496,25.4847,25.4001
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,9,24.0923,0.004177,1.14228,0.356352,25.682,25.5951
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,10,24.1401,0.004253,1.15169,0.360448,25.7393,25.6565
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,11,24.2618,0.004097,1.14521,0.360448,25.8576,25.7716
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,12,24.0637,0.004205,1.13812,0.37376,25.6665,25.5798
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,13,24.3484,0.004138,1.14655,0.359424,25.9447,25.8585
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,14,24.4897,0.004166,1.14893,0.360448,26.0913,26.0033
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,15,24.3611,0.004272,1.16394,0.359424,25.9783,25.8887
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,16,24.3362,0.004245,1.14076,0.3584,25.9226,25.8396
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,17,24.2845,0.00417,1.14629,0.359424,25.8787,25.7944
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,18,23.8444,0.004356,1.1493,0.361472,25.4444,25.3595
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,19,24.302,0.004246,1.14957,0.360448,25.9005,25.8163
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,0,56.1771,0.003435,2.88313,0.80384,59.9654,59.8675
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,1,55.8327,0.002988,2.82948,0.797696,59.5444,59.4628
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,2,55.9652,0.003119,2.84431,0.799744,59.6958,59.6124
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,3,55.8527,0.003375,2.84415,0.797696,59.578,59.498
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,4,55.719,0.003404,2.84356,0.79568,59.4446,59.3616
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,5,56.0026,0.003099,2.85078,0.796672,59.7335,59.6531
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,6,55.7251,0.00339,2.8425,0.800768,59.4646,59.3718
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,7,55.6214,0.003154,2.8481,0.796704,59.3517,59.2693
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,8,55.5233,0.003118,2.84431,0.799744,59.2514,59.1705
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,9,55.1692,0.003164,2.84759,0.801792,58.9153,58.8217
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,10,55.415,0.003184,2.84423,0.799744,59.1452,59.0621
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,11,55.7635,0.003139,2.83658,0.796672,59.4829,59.3999
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,12,56.441,0.003148,2.83471,0.800768,60.1661,60.0796
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,13,55.9787,0.00342,2.85005,0.800768,59.7183,59.633
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,14,56.1422,0.003134,2.84879,0.802816,59.8861,59.797
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,15,56.865,0.003074,2.84898,0.797696,60.5972,60.5148
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,16,56.1681,0.003041,2.83817,0.797696,59.8888,59.807
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,17,55.8093,0.003183,2.84424,0.800768,59.5419,59.4575
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,18,56.0954,0.003886,2.84659,0.79872,59.8309,59.7446
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,19,56.0487,0.003289,2.83304,0.797696,59.7652,59.6827
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,0,108.05,0.003431,5.96244,1.53805,115.637,115.554
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,1,108.346,0.003077,5.93297,1.53907,115.904,115.821
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,2,108.079,0.003097,5.93128,1.53702,115.637,115.55
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,3,108.716,0.004401,5.98404,1.55238,116.36,116.256
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,4,108.922,0.003121,5.93326,1.54829,116.489,116.407
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,5,107.244,0.003329,5.94995,1.536,114.816,114.733
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,6,109.06,0.003155,5.93237,1.54419,116.624,116.539
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,7,108.378,0.003257,5.93174,1.53805,115.931,115.851
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,8,107.851,0.003115,5.943,1.53802,115.413,115.335
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,9,107.735,0.00315,5.93472,1.53702,115.293,115.21
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,10,107.117,0.003077,5.946,1.54112,114.691,114.607
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,11,108.308,0.003078,5.9315,1.53395,115.86,115.777
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,12,106.464,0.003062,5.9541,1.54522,114.05,113.967
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,13,106.578,0.003472,5.93522,1.54931,114.146,114.066
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,14,107.732,0.003138,5.93234,1.54112,115.293,115.208
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,15,107.719,0.003054,5.94378,1.54317,115.294,115.209
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,16,107.368,0.003455,5.94351,1.53805,114.937,114.853
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,17,107.916,0.003017,5.94925,1.54317,115.497,115.411
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,18,107.437,0.003163,5.94916,1.53805,115.009,114.927
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",320,19,108.793,0.003328,5.93559,1.5401,116.356,116.272
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,0,229.655,0.003122,10.351,2.68083,242.776,242.69
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,1,229.729,0.003388,10.3266,2.68595,242.83,242.745
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,2,229.561,0.003,10.3189,2.67366,242.642,242.557
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,3,232.423,0.002948,10.3458,2.68698,245.543,245.458
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,4,229.684,0.002755,10.35,2.68186,242.803,242.719
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,5,229.232,0.003126,10.3461,2.68595,242.361,242.267
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,6,229.845,0.006175,10.3771,2.69312,243.005,242.921
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,7,229.426,0.00282,10.3471,2.67674,242.538,242.453
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,8,231.144,0.002779,10.3381,2.68083,244.251,244.165
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,9,229.403,0.002736,10.3315,2.6839,242.505,242.421
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,10,230.439,0.002794,10.3443,2.67674,243.547,243.463
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,11,231.374,0.002808,10.3357,2.67264,244.466,244.385
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,12,230.085,0.003131,10.3318,2.67571,243.178,243.096
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",384,13,228.958,0.002946,10.3358,2.68899,242.07,241.986
