dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"N | D | N | N | N | N",64,0,0.03744,0.004021,0.11664,0.375808,0.673443,0.533909
3,double,uniform,GPU,"N | D | N | N | N | N",64,1,0.023648,0.003875,0.096449,0.019456,0.278138,0.143428
3,double,uniform,GPU,"N | D | N | N | N | N",64,2,0.02816,0.003715,0.087652,0.016384,0.27162,0.135911
3,double,uniform,GPU,"N | D | N | N | N | N",64,3,0.024032,0.003533,0.087735,0.016384,0.267507,0.131684
3,double,uniform,GPU,"N | D | N | N | N | N",64,4,0.027616,0.003632,0.08712,0.016384,0.270344,0.134752
3,double,uniform,GPU,"N | D | N | N | N | N",64,5,0.026144,0.003547,0.088064,0.01536,0.267096,0.133115
3,double,uniform,GPU,"N | D | N | N | N | N",64,6,0.026848,0.003649,0.087076,0.016384,0.268953,0.133957
3,double,uniform,GPU,"N | D | N | N | N | N",64,7,0.024512,0.003599,0.093525,0.016384,0.272454,0.13802
3,double,uniform,GPU,"N | D | N | N | N | N",64,8,0.0272,0.003679,0.086536,0.016384,0.267165,0.133799
3,double,uniform,GPU,"N | D | N | N | N | N",64,9,0.023968,0.003684,0.086951,0.01536,0.265432,0.129963
3,double,uniform,GPU,"N | D | N | N | N | N",64,10,0.029152,0.003649,0.087245,0.016384,0.270545,0.13643
3,double,uniform,GPU,"N | D | N | N | N | N",64,11,0.02432,0.003632,0.085852,0.016384,0.264368,0.130188
3,double,uniform,GPU,"N | D | N | N | N | N",64,12,0.028064,0.003582,0.088145,0.014336,0.271424,0.134127
3,double,uniform,GPU,"N | D | N | N | N | N",64,13,0.023776,0.003666,0.085532,0.016384,0.264284,0.129358
3,double,uniform,GPU,"N | D | N | N | N | N",64,14,0.026464,0.003679,0.088012,0.016384,0.27008,0.134539
3,double,uniform,GPU,"N | D | N | N | N | N",64,15,0.026432,0.003548,0.095155,0.017408,0.277171,0.142543
3,double,uniform,GPU,"N | D | N | N | N | N",64,16,0.028704,0.003623,0.084715,0.016384,0.267266,0.133426
3,double,uniform,GPU,"N | D | N | N | N | N",64,17,0.024704,0.003612,0.087311,0.016384,0.267053,0.132011
