dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,0,1.06541,0.004127,0.128751,0.45568,1.77854,1.65397
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,1,0.971744,0.003999,0.085141,0.029696,1.16237,1.09058
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,2,0.96304,0.003784,0.072872,0.028672,1.13877,1.06837
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,3,1.00147,0.003674,0.071402,0.027648,1.17324,1.1042
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,4,0.967328,0.003726,0.070773,0.028672,1.1387,1.0705
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,5,0.973824,0.003762,0.069689,0.028672,1.14362,1.07595
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,6,0.9792,0.003636,0.071147,0.026624,1.14963,1.08061
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,7,0.9696,0.003749,0.069913,0.027648,1.13967,1.07091
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,8,0.975872,0.003601,0.070259,0.028672,1.14569,1.0784
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,9,0.962464,0.003642,0.069388,0.028672,1.13077,1.06417
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,10,0.963104,0.003755,0.128543,0.027648,1.19284,1.12305
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,11,1.05229,0.003611,0.070858,0.028672,1.22312,1.15543
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,12,0.968736,0.003645,0.070518,0.028672,1.13976,1.07157
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,13,0.975872,0.003636,0.070405,0.027648,1.146,1.07756
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,14,0.968256,0.00358,0.071276,0.0256,1.13959,1.06871
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,15,0.971008,0.003606,0.071045,0.026624,1.14048,1.07228
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,16,0.962912,0.003632,0.079236,0.027648,1.14122,1.07343
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,17,0.978656,0.003723,0.072036,0.027648,1.14953,1.08206
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,18,0.979808,0.003604,0.070063,0.026624,1.15004,1.0801
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,19,1.02122,0.003532,0.074605,0.03072,1.20429,1.13007
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,0,6.8471,0.00369,0.550963,0.251904,7.74166,7.65366
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,1,6.90774,0.003644,0.512954,0.241664,7.74665,7.66601
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,2,7.09869,0.003868,0.523864,0.24064,7.94678,7.86706
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,3,6.94154,0.004116,0.509966,0.241664,7.77481,7.69728
