dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,0,0.039008,0.003911,0.106707,0.458752,0.754255,0.608378
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,1,0.032544,0.003741,0.082956,0.03072,0.294257,0.149961
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,2,0.030016,0.003603,0.073122,0.029696,0.279485,0.136437
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,3,0.029984,0.003643,0.198883,0.03072,0.406372,0.26323
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,4,0.030112,0.003704,0.072341,0.028672,0.277454,0.134829
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,5,0.028928,0.003551,0.071698,0.027648,0.276044,0.131825
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,6,0.030144,0.003493,0.072342,0.028672,0.278535,0.134651
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,7,0.029696,0.003594,0.072711,0.026624,0.276847,0.132625
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,8,0.029568,0.003538,0.078022,0.027648,0.282894,0.138776
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,9,0.030336,0.003718,0.072672,0.028672,0.27884,0.135398
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,10,0.02944,0.003693,0.07331,0.028672,0.278395,0.135115
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,11,0.029888,0.003645,0.073841,0.029696,0.279329,0.13707
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,12,0.029472,0.003551,0.072454,0.028672,0.277223,0.134149
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,13,0.029664,0.003626,0.073321,0.029696,0.282995,0.136307
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,14,0.028672,0.003773,0.072268,0.026624,0.275629,0.131337
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,15,0.02848,0.003492,0.072759,0.028672,0.277064,0.133403
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,16,0.029504,0.003675,0.08058,0.029696,0.288531,0.143455
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,17,0.029664,0.003578,0.073264,0.026624,0.275942,0.13313
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,18,0.029152,0.00363,0.072291,0.029696,0.277427,0.134769
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",64,19,0.029344,0.00362,0.07259,0.028672,0.277053,0.134226
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,0,0.106176,0.004117,0.529711,0.251904,1.04523,0.891908
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,1,0.108896,0.004004,0.499282,0.241664,1.13045,0.853846
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,2,0.106752,0.003984,0.498513,0.239616,0.995044,0.848865
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,3,0.105856,0.003931,0.496554,0.241664,0.995214,0.848005
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,4,0.10832,0.003952,0.504953,0.241664,1.00511,0.858889
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,5,0.108192,0.004791,0.502699,0.244736,1.00604,0.860418
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,6,0.106464,0.003959,0.49813,0.241664,0.995996,0.850217
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,7,0.11168,0.003954,0.50326,0.239616,1.0054,0.85851
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,8,0.105792,0.004008,0.498624,0.239616,0.994856,0.84804
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,9,0.105408,0.003919,0.500559,0.24064,0.998499,0.850526
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,10,0.106688,0.004011,0.498436,0.241664,1.02398,0.850799
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,11,0.107232,0.004003,0.504249,0.241664,1.00386,0.857148
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,12,0.106144,0.00392,0.49565,0.24064,0.991298,0.846354
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,13,0.105856,0.004262,0.496016,0.236544,0.997613,0.842678
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,14,0.104448,0.004294,0.499708,0.237568,1.00124,0.846018
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,15,0.106176,0.003961,0.499737,0.242688,0.997784,0.852562
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,16,0.10704,0.004087,0.570153,0.24064,1.06665,0.92192
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,17,0.105632,0.003976,0.49753,0.241664,0.995975,0.848802
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,18,0.105024,0.00377,0.500947,0.238592,0.995201,0.848333
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,19,0.106432,0.00402,0.509004,0.242688,1.00885,0.862144
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,0,0.311136,0.004024,1.60111,0.756736,2.822,2.67301
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,1,0.312608,0.00396,1.57062,0.760832,2.80071,2.64802
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,2,0.311616,0.004483,1.56934,0.754688,2.78378,2.64012
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,3,0.307648,0.00453,1.57377,0.753664,2.79056,2.63961
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,4,0.307392,0.004037,1.56998,0.754688,2.78065,2.6361
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,5,0.314688,0.004386,1.56953,0.75776,2.79514,2.64636
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,6,0.312384,0.003912,1.57006,0.75776,2.78888,2.64411
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,7,0.308128,0.00423,1.56887,0.753664,2.78005,2.6349
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,8,0.313952,0.004067,1.56932,0.753664,2.79024,2.64101
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,9,0.313504,0.003971,1.57106,0.755712,2.78865,2.64424
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,10,0.309248,0.004043,1.57406,0.753664,2.78975,2.64102
