dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,0,0.631616,0.004278,0.118507,0.442368,1.31174,1.19677
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,1,0.666048,0.003999,0.062273,0.026624,0.831322,0.758944
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,2,0.600416,0.003836,0.057417,0.024576,0.756547,0.686245
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,3,0.593952,0.003807,0.056554,0.023552,0.748253,0.677865
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,4,0.595136,0.003759,0.055312,0.024576,0.756374,0.678783
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,5,0.59568,0.003729,0.055103,0.024576,0.747036,0.679088
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,6,0.6,0.003698,0.055425,0.024576,0.753083,0.683699
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,7,0.69808,0.004096,0.054641,0.0256,0.850408,0.782417
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,8,0.60448,0.003663,0.05504,0.024576,0.756786,0.687759
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,9,0.604768,0.003704,0.05508,0.024576,0.756014,0.688128
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,10,0.596192,0.003645,0.055285,0.022528,0.749765,0.67765
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,11,0.593248,0.003708,0.054601,0.022528,0.752332,0.674085
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,12,0.60128,0.003573,0.055067,0.023552,0.753367,0.683472
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,13,0.603008,0.003715,0.054644,0.024576,0.754484,0.685943
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,14,0.6072,0.003625,0.054845,0.022528,0.758525,0.688198
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,15,0.685152,0.003668,0.054658,0.024576,0.836921,0.768054
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,16,0.591008,0.003605,0.054323,0.024576,0.785331,0.673512
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,17,0.593856,0.003751,0.054612,0.024576,0.745559,0.676795
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,18,0.5976,0.003667,0.059747,0.024576,0.846384,0.68559
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,19,0.593024,0.003754,0.054816,0.022528,0.742959,0.674122
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,0,3.30851,0.004296,0.337382,0.144384,3.89409,3.79457
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,1,3.42806,0.003856,0.299827,0.136192,3.94582,3.86794
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,2,3.46714,0.003948,0.296222,0.136192,3.98028,3.9035
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,3,3.4287,0.003883,0.295686,0.132096,3.93489,3.86037
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,4,3.43709,0.003864,0.300588,0.132096,3.94932,3.87364
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,5,3.32451,0.003745,0.292369,0.137216,3.89878,3.75784
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,6,3.38499,0.003865,0.293203,0.134144,3.89965,3.8162
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,7,3.36032,0.003837,0.294809,0.13312,3.86828,3.79209
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,8,3.45005,0.003756,0.295807,0.134144,3.96018,3.88375
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,9,3.39373,0.003699,0.29057,0.136192,3.91173,3.82419
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,10,3.43414,0.00373,0.293926,0.132096,3.93904,3.8639
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,11,3.43674,0.003802,0.298261,0.134144,3.94859,3.87294
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,12,3.4415,0.003706,0.296711,0.134144,3.94971,3.87607
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,13,3.44278,0.003688,0.297711,0.135168,3.95813,3.87935
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,14,3.39264,0.003801,0.294549,0.135168,3.90042,3.82616
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,15,3.34822,0.003833,0.29243,0.134144,3.91272,3.77863
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,16,3.45053,0.003786,0.295658,0.131072,3.95708,3.88104
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,17,3.33546,0.003867,0.29712,0.136192,3.87521,3.77263
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,18,3.34653,0.003727,0.297542,0.132096,3.86369,3.77989
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",128,19,3.39334,0.003813,0.298227,0.137216,3.90703,3.8326
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",192,0,11.8796,0.004299,0.869436,0.438272,13.2905,13.1916
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",192,1,11.9453,0.004508,0.844658,0.437248,13.3254,13.2317
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",192,2,11.9804,0.004332,0.845585,0.44032,13.3629,13.2707
