dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,0,0.069632,0,0.063353,0.357376,0.577845,0.490361
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,1,0.022528,0,0.036285,0.014336,0.122759,0.073149
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,2,0.019456,0,0.031026,0.012288,0.111557,0.06277
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,3,0.019456,0,0.030984,0.011264,0.109144,0.061704
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,4,0.019456,0,0.03097,0.013312,0.109624,0.063738
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,5,0.026624,0,0.031286,0.011264,0.116363,0.069174
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,6,0.018432,0,0.03131,0.011264,0.107913,0.061006
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,7,0.019456,0,0.030461,0.011264,0.107763,0.061181
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,8,0.019456,0,0.030868,0.013312,0.108826,0.063636
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,9,0.019456,0,0.030885,0.011264,0.108426,0.061605
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,10,0.019456,0,0.031195,0.011264,0.109251,0.061915
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,11,0.019456,0,0.031454,0.011264,0.115787,0.062174
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,12,0.019456,0,0.031136,0.012288,0.108678,0.06288
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,13,0.02048,0,0.030836,0.011264,0.109016,0.06258
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,14,0.018432,0,0.030338,0.012288,0.108292,0.061058
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,15,0.019456,0,0.030729,0.011264,0.108555,0.061449
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,16,0.018432,0,0.030483,0.012288,0.109327,0.061203
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,17,0.018432,0,0.030873,0.013312,0.108679,0.062617
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,18,0.024576,0,0.037715,0.055296,0.173631,0.117587
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,19,0.018432,0,0.030591,0.011264,0.108413,0.060287
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,0,0.027328,0,0.044215,0.016384,0.14542,0.087927
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,1,0.017216,0,0.038554,0.014336,0.123576,0.070106
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,2,0.014624,0,0.032974,0.012288,0.113081,0.059886
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,3,0.013664,0,0.033298,0.011264,0.112187,0.058226
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,4,0.013728,0,0.033125,0.011264,0.111216,0.058117
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,5,0.013344,0,0.033338,0.013312,0.111687,0.059994
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,6,0.014528,0,0.032934,0.011264,0.113201,0.058726
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,7,0.013984,0,0.032826,0.012288,0.111935,0.059098
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,8,0.012896,0,0.033539,0.012288,0.110297,0.058723
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,9,0.020064,0,0.03268,0.012288,0.116625,0.065032
