dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"D | D",64,0,0.075776,0,0.049784,0.36352,0.576054,0.48908
1,double,uniform,GPU,"D | D",64,1,0.0512,0,0.027043,0.014336,0.142125,0.092579
1,double,uniform,GPU,"D | D",64,2,0.02048,0,0.023373,0.013312,0.103039,0.057165
1,double,uniform,GPU,"D | D",64,3,0.019456,0,0.023061,0.012288,0.100703,0.054805
1,double,uniform,GPU,"D | D",64,4,0.017408,0,0.022682,0.012288,0.101835,0.052378
1,double,uniform,GPU,"D | D",64,5,0.018432,0,0.02324,0.017408,0.106717,0.05908
1,double,uniform,GPU,"D | D",64,6,0.02048,0,0.022648,0.013312,0.104297,0.05644
1,double,uniform,GPU,"D | D",64,7,0.019456,0,0.022202,0.013312,0.101203,0.05497
1,double,uniform,GPU,"D | D",64,8,0.021504,0,0.024887,0.014336,0.114424,0.060727
1,double,uniform,GPU,"D | D",64,9,0.017408,0,0.022245,0.013312,0.099563,0.052965
1,double,uniform,GPU,"D | D",64,10,0.018432,0,0.022467,0.012288,0.100375,0.053187
1,double,uniform,GPU,"D | D",64,11,0.018432,0,0.022102,0.012288,0.099736,0.052822
1,double,uniform,GPU,"D | D",64,12,0.018432,0,0.022075,0.011264,0.100571,0.051771
1,double,uniform,GPU,"D | D",64,13,0.018432,0,0.022286,0.012288,0.099277,0.053006
1,double,uniform,GPU,"D | D",64,14,0.019456,0,0.022033,0.012288,0.100036,0.053777
1,double,uniform,GPU,"D | D",64,15,0.019456,0,0.021922,0.012288,0.104929,0.053666
1,double,uniform,GPU,"D | D",64,16,0.019456,0,0.022062,0.011264,0.100166,0.052782
1,double,uniform,GPU,"D | D",64,17,0.017408,0,0.022263,0.011264,0.099193,0.050935
1,double,uniform,GPU,"D | D",64,18,0.018432,0,0.022485,0.012288,0.100512,0.053205
1,double,uniform,GPU,"D | D",64,19,0.019456,0,0.022738,0.012288,0.100128,0.054482
1,double,uniform,GPU,"D | D",128,0,0.029696,0,0.03162,0.017408,0.134913,0.078724
1,double,uniform,GPU,"D | D",128,1,0.02048,0,0.025761,0.012288,0.109524,0.058529
1,double,uniform,GPU,"D | D",128,2,0.021504,0,0.026241,0.012288,0.107702,0.060033
1,double,uniform,GPU,"D | D",128,3,0.02048,0,0.024941,0.013312,0.105944,0.058733
1,double,uniform,GPU,"D | D",128,4,0.02048,0,0.024594,0.014336,0.107803,0.05941
1,double,uniform,GPU,"D | D",128,5,0.019456,0,0.024558,0.012288,0.103157,0.056302
1,double,uniform,GPU,"D | D",128,6,0.018432,0,0.025223,0.012288,0.101715,0.055943
1,double,uniform,GPU,"D | D",128,7,0.019456,0,0.024959,0.011264,0.103417,0.055679
1,double,uniform,GPU,"D | D",128,8,0.019456,0,0.024687,0.011264,0.101575,0.055407
1,double,uniform,GPU,"D | D",128,9,0.019456,0,0.024548,0.01536,0.105575,0.059364
