dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,0,0.038848,0.003814,0.107483,0.467968,0.765036,0.618113
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,1,0.024128,0.003486,0.085406,0.029696,0.286746,0.142716
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,2,0.0296,0.003437,0.072925,0.029696,0.278895,0.135658
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,3,0.029056,0.00337,0.071983,0.027648,0.275748,0.132057
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,4,0.028864,0.003406,0.072406,0.028672,0.276716,0.133348
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,5,0.029024,0.003333,0.073216,0.026624,0.275637,0.132197
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,6,0.02528,0.003514,0.073239,0.029696,0.27457,0.131729
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,7,0.031008,0.003477,0.073187,0.029696,0.282029,0.137368
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,8,0.02928,0.003461,0.072938,0.028672,0.27609,0.134351
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,9,0.028416,0.003403,0.072367,0.026624,0.275167,0.13081
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,10,0.028768,0.003358,0.072257,0.031744,0.276955,0.136127
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,11,0.029344,0.003452,0.072651,0.027648,0.275826,0.133095
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,12,0.031456,0.003412,0.072188,0.027648,0.345252,0.134704
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,13,0.0296,0.003344,0.072318,0.028672,0.276075,0.133934
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,14,0.028896,0.003399,0.07179,0.028672,0.27963,0.132757
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,15,0.029056,0.003423,0.072127,0.028672,0.276828,0.133278
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,16,0.028864,0.00334,0.071806,0.028672,0.275134,0.132682
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,17,0.02944,0.00335,0.073025,0.027648,0.27539,0.133463
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,18,0.028,0.003427,0.071212,0.029696,0.273813,0.132335
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,19,0.030464,0.003372,0.300114,0.027648,0.506194,0.361598
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,0,0.103936,0.003962,0.519094,0.248832,1.02216,0.875824
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,1,0.108096,0.004074,0.49231,0.238592,1.12849,0.843072
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,2,0.106848,0.003631,0.493389,0.238592,0.988666,0.84246
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,3,0.107008,0.003586,0.49247,0.242688,0.988706,0.845752
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,4,0.107264,0.003904,0.493186,0.241664,0.990368,0.846018
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,5,0.11072,0.004472,0.493967,0.24576,1.0063,0.854919
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,6,0.107744,0.003654,0.489354,0.241664,0.98838,0.842416
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,7,0.109568,0.003921,0.492422,0.24064,0.992084,0.846551
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,8,0.105248,0.003589,0.489318,0.239616,0.988283,0.837771
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,9,0.108416,0.003817,0.493257,0.241664,0.993988,0.847154
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,10,0.108608,0.003946,0.560697,0.239616,1.05936,0.912867
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,11,0.102752,0.003685,0.493902,0.241664,1.00105,0.842003
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,12,0.106528,0.003621,0.488615,0.239616,0.983603,0.83838
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,13,0.107936,0.003447,0.495587,0.242688,0.993702,0.849658
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,14,0.107968,0.003555,0.491335,0.239616,0.994423,0.842474
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,15,0.10448,0.003598,0.494705,0.249856,0.997839,0.852639
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,16,0.110336,0.003677,0.496905,0.241664,0.997371,0.852582
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,17,0.1064,0.003886,0.489381,0.241664,0.98494,0.841331
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,18,0.10288,0.003941,0.489952,0.24064,0.981883,0.837413
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,19,0.106368,0.003783,0.490854,0.24064,0.989424,0.841645
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,0,0.315456,0.00408,1.56503,0.760832,2.79182,2.6454
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,1,0.307968,0.003838,1.51825,0.76288,2.73749,2.59293
