dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | N | D",64,0,1.14134,0.004143,0.125487,0.451584,1.83564,1.72256
3,double,uniform,CPU,"P | P | P | P | N | D",64,1,1.02848,0.003722,0.082834,0.03072,1.21775,1.14576
3,double,uniform,CPU,"P | P | P | P | N | D",64,2,1.02496,0.003662,0.074521,0.027648,1.19973,1.13079
3,double,uniform,CPU,"P | P | P | P | N | D",64,3,1.00893,0.003662,0.074499,0.029696,1.18331,1.11678
3,double,uniform,CPU,"P | P | P | P | N | D",64,4,1.01181,0.003626,0.074635,0.032768,1.19057,1.12284
3,double,uniform,CPU,"P | P | P | P | N | D",64,5,1.0657,0.003594,0.073561,0.027648,1.23911,1.1705
3,double,uniform,CPU,"P | P | P | P | N | D",64,6,1.02285,0.003671,0.072722,0.026624,1.19505,1.12586
3,double,uniform,CPU,"P | P | P | P | N | D",64,7,1.02035,0.003545,0.073547,0.026624,1.19826,1.12407
3,double,uniform,CPU,"P | P | P | P | N | D",64,8,1.10899,0.0035,0.073559,0.0256,1.28087,1.21165
3,double,uniform,CPU,"P | P | P | P | N | D",64,9,1.01763,0.003562,0.073462,0.027648,1.19054,1.1223
3,double,uniform,CPU,"P | P | P | P | N | D",64,10,1.01994,0.003602,0.072922,0.027648,1.19137,1.12411
3,double,uniform,CPU,"P | P | P | P | N | D",64,11,1.01245,0.003598,0.073035,0.0256,1.18368,1.11468
3,double,uniform,CPU,"P | P | P | P | N | D",64,12,1.01107,0.003744,0.073846,0.027648,1.18365,1.11631
3,double,uniform,CPU,"P | P | P | P | N | D",64,13,1.01517,0.003513,0.073738,0.026624,1.19515,1.11904
3,double,uniform,CPU,"P | P | P | P | N | D",64,14,1.01728,0.003673,0.07453,0.027648,1.19535,1.12313
3,double,uniform,CPU,"P | P | P | P | N | D",64,15,1.01482,0.003603,0.073637,0.026624,1.18799,1.11868
3,double,uniform,CPU,"P | P | P | P | N | D",64,16,1.092,0.003563,0.073599,0.027648,1.26518,1.19681
3,double,uniform,CPU,"P | P | P | P | N | D",64,17,1.06182,0.0036,0.073949,0.027648,1.23495,1.16702
3,double,uniform,CPU,"P | P | P | P | N | D",64,18,1.01638,0.003637,0.073247,0.026624,1.18847,1.11989
3,double,uniform,CPU,"P | P | P | P | N | D",64,19,1.02125,0.003614,0.072643,0.026624,1.19247,1.12413
3,double,uniform,CPU,"P | P | P | P | N | D",128,0,6.82582,0.00421,0.573338,0.251904,7.75576,7.65528
3,double,uniform,CPU,"P | P | P | P | N | D",128,1,7.06467,0.003931,0.533823,0.243712,7.92793,7.84614
3,double,uniform,CPU,"P | P | P | P | N | D",128,2,7.13555,0.003758,0.530669,0.24064,7.99475,7.91062
3,double,uniform,CPU,"P | P | P | P | N | D",128,3,6.92314,0.004035,0.520281,0.241664,7.77538,7.68912
3,double,uniform,CPU,"P | P | P | P | N | D",128,4,6.99802,0.00412,0.526287,0.24064,7.85875,7.76906
3,double,uniform,CPU,"P | P | P | P | N | D",128,5,6.97949,0.00395,0.533102,0.242688,7.8451,7.75923
3,double,uniform,CPU,"P | P | P | P | N | D",128,6,6.96429,0.004248,0.535282,0.237568,7.82188,7.74139
3,double,uniform,CPU,"P | P | P | P | N | D",128,7,6.91488,0.004056,0.533586,0.242688,7.77424,7.69521
3,double,uniform,CPU,"P | P | P | P | N | D",128,8,6.88048,0.004048,0.532055,0.242688,7.73846,7.65927
3,double,uniform,CPU,"P | P | P | P | N | D",128,9,6.95699,0.003994,0.52897,0.244736,7.81398,7.73469
3,double,uniform,CPU,"P | P | P | P | N | D",128,10,6.9993,0.004011,0.527815,0.239616,7.85036,7.77074
3,double,uniform,CPU,"P | P | P | P | N | D",128,11,6.98326,0.004019,0.532698,0.242688,7.84145,7.76267
3,double,uniform,CPU,"P | P | P | P | N | D",128,12,6.92861,0.003957,0.523427,0.24064,7.77732,7.69663
3,double,uniform,CPU,"P | P | P | P | N | D",128,13,6.96483,0.004301,0.530493,0.242688,7.82401,7.74231
3,double,uniform,CPU,"P | P | P | P | N | D",128,14,6.97837,0.004013,0.658756,0.241664,7.96361,7.8828
3,double,uniform,CPU,"P | P | P | P | N | D",128,15,6.99904,0.004155,0.528115,0.24576,7.8607,7.77707
3,double,uniform,CPU,"P | P | P | P | N | D",128,16,6.96867,0.004533,0.527675,0.24064,7.82346,7.74152
3,double,uniform,CPU,"P | P | P | P | N | D",128,17,6.94003,0.004121,0.618122,0.243712,7.88951,7.80599
3,double,uniform,CPU,"P | P | P | P | N | D",128,18,7.1033,0.004039,0.536544,0.243712,7.96932,7.88759
3,double,uniform,CPU,"P | P | P | P | N | D",128,19,6.99955,0.004077,0.5294,0.241664,7.85611,7.77469
3,double,uniform,CPU,"P | P | P | P | N | D",192,0,23.7825,0.004282,1.63323,0.755712,26.274,26.1758
