dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"Ds | Ns",192,12,0.018432,0,0.027493,0.012288,0.104079,0.058213
1,double,uniform,GPU,"Ds | Ns",192,13,0.019456,0,0.027436,0.012288,0.105308,0.05918
1,double,uniform,GPU,"Ds | Ns",192,14,0.019456,0,0.027254,0.012288,0.105267,0.058998
1,double,uniform,GPU,"Ds | Ns",192,15,0.019456,0,0.027917,0.013312,0.106203,0.060685
1,double,uniform,GPU,"Ds | Ns",192,16,0.019456,0,0.029956,0.01536,0.11432,0.064772
1,double,uniform,GPU,"Ds | Ns",192,17,0.024576,0,0.028091,0.011264,0.110121,0.063931
1,double,uniform,GPU,"Ds | Ns",192,18,0.019456,0,0.027321,0.012288,0.104982,0.059065
1,double,uniform,GPU,"Ds | Ns",192,19,0.09216,0,0.028121,0.011264,0.180732,0.131545
1,double,uniform,GPU,"Ds | Ns",256,0,0.04096,0,0.036039,0.026624,0.168249,0.103623
1,double,uniform,GPU,"Ds | Ns",256,1,0.022528,0,0.027059,0.014336,0.11283,0.063923
1,double,uniform,GPU,"Ds | Ns",256,2,0.021504,0,0.025412,0.016384,0.110492,0.0633
1,double,uniform,GPU,"Ds | Ns",256,3,0.019456,0,0.026352,0.012288,0.110497,0.058096
1,double,uniform,GPU,"Ds | Ns",256,4,0.019456,0,0.02578,0.012288,0.103513,0.057524
1,double,uniform,GPU,"Ds | Ns",256,5,0.019456,0,0.025131,0.013312,0.104252,0.057899
1,double,uniform,GPU,"Ds | Ns",256,6,0.019456,0,0.025413,0.011264,0.102803,0.056133
1,double,uniform,GPU,"Ds | Ns",256,7,0.019456,0,0.025802,0.011264,0.106649,0.056522
1,double,uniform,GPU,"Ds | Ns",256,8,0.018432,0,0.025196,0.013312,0.103707,0.05694
1,double,uniform,GPU,"Ds | Ns",256,9,0.02048,0,0.02541,0.012288,0.104611,0.058178
1,double,uniform,GPU,"Ds | Ns",256,10,0.024576,0,0.025595,0.060416,0.162586,0.110587
1,double,uniform,GPU,"Ds | Ns",256,11,0.019456,0,0.025055,0.013312,0.104033,0.057823
1,double,uniform,GPU,"Ds | Ns",256,12,0.018432,0,0.025402,0.01536,0.107409,0.059194
1,double,uniform,GPU,"Ds | Ns",256,13,0.019456,0,0.025874,0.012288,0.103511,0.057618
1,double,uniform,GPU,"Ds | Ns",256,14,0.019456,0,0.025146,0.013312,0.103955,0.057914
1,double,uniform,GPU,"Ds | Ns",256,15,0.018432,0,0.024952,0.013312,0.103712,0.056696
1,double,uniform,GPU,"Ds | Ns",256,16,0.019456,0,0.02507,0.012288,0.104428,0.056814
1,double,uniform,GPU,"Ds | Ns",256,17,0.018432,0,0.027393,0.012288,0.10874,0.058113
1,double,uniform,GPU,"Ds | Ns",256,18,0.018432,0,0.025171,0.013312,0.103417,0.056915
1,double,uniform,GPU,"Ds | Ns",256,19,0.017408,0,0.025346,0.012288,0.103346,0.055042
1,double,uniform,GPU,"Ds | Ns",320,0,0.032768,0,0.036023,0.018432,0.141144,0.087223
1,double,uniform,GPU,"Ds | Ns",320,1,0.022528,0,0.028661,0.017408,0.116976,0.068597
1,double,uniform,GPU,"Ds | Ns",320,2,0.02048,0,0.026246,0.012288,0.107035,0.059014
1,double,uniform,GPU,"Ds | Ns",320,3,0.021504,0,0.031041,0.013312,0.111866,0.065857
1,double,uniform,GPU,"Ds | Ns",320,4,0.02048,0,0.026268,0.011264,0.105871,0.058012
1,double,uniform,GPU,"Ds | Ns",320,5,0.02048,0,0.026048,0.013312,0.105168,0.05984
1,double,uniform,GPU,"Ds | Ns",320,6,0.019456,0,0.02949,0.012288,0.108098,0.061234
1,double,uniform,GPU,"Ds | Ns",320,7,0.018432,0,0.026024,0.011264,0.104904,0.05572
1,double,uniform,GPU,"Ds | Ns",320,8,0.019456,0,0.02631,0.012288,0.104913,0.058054
1,double,uniform,GPU,"Ds | Ns",320,9,0.019456,0,0.0261,0.012288,0.10428,0.057844
1,double,uniform,GPU,"Ds | Ns",320,10,0.018432,0,0.026103,0.011264,0.104208,0.055799
1,double,uniform,GPU,"Ds | Ns",320,11,0.022528,0,0.026152,0.012288,0.107468,0.060968
1,double,uniform,GPU,"Ds | Ns",320,12,0.019456,0,0.025661,0.012288,0.103764,0.057405
1,double,uniform,GPU,"Ds | Ns",320,13,0.02048,0,0.026562,0.012288,0.106808,0.05933
1,double,uniform,GPU,"Ds | Ns",320,14,0.019456,0,0.034168,0.013312,0.114188,0.066936
1,double,uniform,GPU,"Ds | Ns",320,15,0.019456,0,0.025316,0.013312,0.104194,0.058084
1,double,uniform,GPU,"Ds | Ns",320,16,0.019456,0,0.025336,0.011264,0.103861,0.056056
1,double,uniform,GPU,"Ds | Ns",320,17,0.018432,0,0.025559,0.013312,0.104022,0.057303
1,double,uniform,GPU,"Ds | Ns",320,18,0.017408,0,0.025462,0.013312,0.103285,0.056182
1,double,uniform,GPU,"Ds | Ns",320,19,0.019456,0,0.025353,0.012288,0.102982,0.057097
1,double,uniform,GPU,"Ds | Ns",384,0,0.03072,0,0.040688,0.018432,0.152954,0.08984
1,double,uniform,GPU,"Ds | Ns",384,1,0.021504,0,0.030381,0.014336,0.114583,0.066221
1,double,uniform,GPU,"Ds | Ns",384,2,0.02048,0,0.030237,0.013312,0.111037,0.064029
1,double,uniform,GPU,"Ds | Ns",384,3,0.019456,0,0.028663,0.012288,0.108755,0.060407
1,double,uniform,GPU,"Ds | Ns",384,4,0.022528,0,0.028733,0.013312,0.110762,0.064573
1,double,uniform,GPU,"Ds | Ns",384,5,0.019456,0,0.028409,0.013312,0.11413,0.061177
1,double,uniform,GPU,"Ds | Ns",384,6,0.019456,0,0.028348,0.012288,0.106951,0.060092
1,double,uniform,GPU,"Ds | Ns",384,7,0.021504,0,0.028231,0.011264,0.108026,0.060999
1,double,uniform,GPU,"Ds | Ns",384,8,0.018432,0,0.027789,0.012288,0.106363,0.058509
1,double,uniform,GPU,"Ds | Ns",384,9,0.019456,0,0.027666,0.01536,0.109893,0.062482
1,double,uniform,GPU,"Ds | Ns",384,10,0.019456,0,0.027743,0.013312,0.106661,0.060511
1,double,uniform,GPU,"Ds | Ns",384,11,0.019456,0,0.028481,0.012288,0.10649,0.060225
1,double,uniform,GPU,"Ds | Ns",384,12,0.018432,0,0.028096,0.013312,0.10593,0.05984
1,double,uniform,GPU,"Ds | Ns",384,13,0.019456,0,0.027594,0.013312,0.106366,0.060362
1,double,uniform,GPU,"Ds | Ns",384,14,0.019456,0,0.028412,0.016384,0.11138,0.064252
1,double,uniform,GPU,"Ds | Ns",384,15,0.019456,0,0.028419,0.011264,0.107264,0.059139
1,double,uniform,GPU,"Ds | Ns",384,16,0.018432,0,0.028348,0.011264,0.106496,0.058044
1,double,uniform,GPU,"Ds | Ns",384,17,0.019456,0,0.02779,0.012288,0.106397,0.059534
1,double,uniform,GPU,"Ds | Ns",384,18,0.019456,0,0.027767,0.012288,0.105244,0.059511
1,double,uniform,GPU,"Ds | Ns",384,19,0.018432,0,0.028273,0.012288,0.106454,0.058993
1,double,uniform,GPU,"Ds | Ns",448,0,0.029696,0,0.03566,0.018432,0.139658,0.083788
1,double,uniform,GPU,"Ds | Ns",448,1,0.022528,0,0.028138,0.014336,0.112621,0.065002
1,double,uniform,GPU,"Ds | Ns",448,2,0.02048,0,0.027247,0.018432,0.112809,0.066159
1,double,uniform,GPU,"Ds | Ns",448,3,0.019456,0,0.026473,0.013312,0.105433,0.059241
1,double,uniform,GPU,"Ds | Ns",448,4,0.019456,0,0.02688,0.011264,0.105035,0.0576
1,double,uniform,GPU,"Ds | Ns",448,5,0.019456,0,0.026396,0.013312,0.106588,0.059164
1,double,uniform,GPU,"Ds | Ns",448,6,0.018432,0,0.026565,0.011264,0.104262,0.056261
1,double,uniform,GPU,"Ds | Ns",448,7,0.019456,0,0.026781,0.012288,0.105202,0.058525
1,double,uniform,GPU,"Ds | Ns",448,8,0.018432,0,0.026285,0.012288,0.104008,0.057005
1,double,uniform,GPU,"Ds | Ns",448,9,0.02048,0,0.026949,0.012288,0.105767,0.059717
1,double,uniform,GPU,"Ds | Ns",448,10,0.019456,0,0.025868,0.012288,0.103914,0.057612
1,double,uniform,GPU,"Ds | Ns",448,11,0.018432,0,0.026475,0.013312,0.104151,0.058219
1,double,uniform,GPU,"Ds | Ns",448,12,0.019456,0,0.026082,0.012288,0.10485,0.057826
1,double,uniform,GPU,"Ds | Ns",448,13,0.019456,0,0.026732,0.013312,0.104469,0.0595
1,double,uniform,GPU,"Ds | Ns",448,14,0.018432,0,0.026018,0.012288,0.104444,0.056738
1,double,uniform,GPU,"Ds | Ns",448,15,0.018432,0,0.026507,0.012288,0.103618,0.057227
1,double,uniform,GPU,"Ds | Ns",448,16,0.019456,0,0.026099,0.012288,0.103787,0.057843
1,double,uniform,GPU,"Ds | Ns",448,17,0.018432,0,0.026488,0.011264,0.10251,0.056184
1,double,uniform,GPU,"Ds | Ns",448,18,0.019456,0,0.026478,0.012288,0.104153,0.058222
1,double,uniform,GPU,"Ds | Ns",448,19,0.018432,0,0.026324,0.012288,0.10829,0.057044
1,double,uniform,GPU,"Ds | Ns",512,0,0.031744,0,0.036156,0.018432,0.13936,0.086332
1,double,uniform,GPU,"Ds | Ns",512,1,0.021504,0,0.028169,0.013312,0.113661,0.062985
1,double,uniform,GPU,"Ds | Ns",512,2,0.021504,0,0.026411,0.013312,0.108203,0.061227
1,double,uniform,GPU,"Ds | Ns",512,3,0.019456,0,0.027118,0.013312,0.106115,0.059886
1,double,uniform,GPU,"Ds | Ns",512,4,0.019456,0,0.026339,0.012288,0.104312,0.058083
1,double,uniform,GPU,"Ds | Ns",512,5,0.019456,0,0.026702,0.013312,0.112593,0.05947
1,double,uniform,GPU,"Ds | Ns",512,6,0.019456,0,0.026449,0.012288,0.105663,0.058193
1,double,uniform,GPU,"Ds | Ns",512,7,0.02048,0,0.02657,0.012288,0.105289,0.059338
1,double,uniform,GPU,"Ds | Ns",512,8,0.019456,0,0.025642,0.013312,0.103876,0.05841
1,double,uniform,GPU,"Ds | Ns",512,9,0.018432,0,0.025738,0.012288,0.103957,0.056458
1,double,uniform,GPU,"Ds | Ns",512,10,0.019456,0,0.026187,0.012288,0.104492,0.057931
1,double,uniform,GPU,"Ds | Ns",512,11,0.019456,0,0.02593,0.013312,0.104134,0.058698
1,double,uniform,GPU,"Ds | Ns",512,12,0.019456,0,0.026121,0.012288,0.103495,0.057865
1,double,uniform,GPU,"Ds | Ns",512,13,0.02048,0,0.025583,0.013312,0.104414,0.059375
1,double,uniform,GPU,"Ds | Ns",512,14,0.018432,0,0.026716,0.013312,0.104256,0.05846
1,double,uniform,GPU,"Ds | Ns",512,15,0.018432,0,0.02589,0.012288,0.104213,0.05661
1,double,uniform,GPU,"Ds | Ns",512,16,0.019456,0,0.025797,0.011264,0.104012,0.056517
1,double,uniform,GPU,"Ds | Ns",512,17,0.017408,0,0.026254,0.011264,0.103407,0.054926
1,double,uniform,GPU,"Ds | Ns",512,18,0.018432,0,0.025806,0.011264,0.102651,0.055502
1,double,uniform,GPU,"Ds | Ns",512,19,0.019456,0,0.025602,0.012288,0.1041,0.057346
