dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"D | D",128,10,0.019456,0,0.023173,0.013312,0.100582,0.055941
1,float,uniform,GPU,"D | D",128,11,0.017408,0,0.023024,0.012288,0.099981,0.05272
1,float,uniform,GPU,"D | D",128,12,0.019456,0,0.023253,0.012288,0.100819,0.054997
1,float,uniform,GPU,"D | D",128,13,0.019456,0,0.022053,0.011264,0.107121,0.052773
1,float,uniform,GPU,"D | D",128,14,0.021504,0,0.023042,0.011264,0.103377,0.05581
1,float,uniform,GPU,"D | D",128,15,0.018432,0,0.021958,0.012288,0.098692,0.052678
1,float,uniform,GPU,"D | D",128,16,0.018432,0,0.022227,0.012288,0.099944,0.052947
1,float,uniform,GPU,"D | D",128,17,0.018432,0,0.022356,0.011264,0.099893,0.052052
1,float,uniform,GPU,"D | D",128,18,0.018432,0,0.022377,0.012288,0.10079,0.053097
1,float,uniform,GPU,"D | D",128,19,0.02048,0,0.022118,0.013312,0.102858,0.05591
1,float,uniform,GPU,"D | D",192,0,0.033792,0,0.042142,0.019456,0.147579,0.09539
1,float,uniform,GPU,"D | D",192,1,0.0256,0,0.030089,0.01536,0.117397,0.071049
1,float,uniform,GPU,"D | D",192,2,0.02048,0,0.029687,0.013312,0.11145,0.063479
1,float,uniform,GPU,"D | D",192,3,0.02048,0,0.028698,0.013312,0.108437,0.06249
1,float,uniform,GPU,"D | D",192,4,0.018432,0,0.028508,0.012288,0.10743,0.059228
1,float,uniform,GPU,"D | D",192,5,0.019456,0,0.02875,0.012288,0.106959,0.060494
1,float,uniform,GPU,"D | D",192,6,0.021504,0,0.028568,0.013312,0.109142,0.063384
1,float,uniform,GPU,"D | D",192,7,0.018432,0,0.02873,0.012288,0.105296,0.05945
1,float,uniform,GPU,"D | D",192,8,0.019456,0,0.029368,0.012288,0.105977,0.061112
1,float,uniform,GPU,"D | D",192,9,0.019456,0,0.028887,0.011264,0.106747,0.059607
1,float,uniform,GPU,"D | D",192,10,0.018432,0,0.028852,0.011264,0.105259,0.058548
1,float,uniform,GPU,"D | D",192,11,0.019456,0,0.029443,0.011264,0.106704,0.060163
1,float,uniform,GPU,"D | D",192,12,0.018432,0,0.029023,0.012288,0.10664,0.059743
1,float,uniform,GPU,"D | D",192,13,0.019456,0,0.028604,0.012288,0.106657,0.060348
1,float,uniform,GPU,"D | D",192,14,0.018432,0,0.02877,0.012288,0.106089,0.05949
1,float,uniform,GPU,"D | D",192,15,0.023552,0,0.028273,0.012288,0.111319,0.064113
1,float,uniform,GPU,"D | D",192,16,0.019456,0,0.028333,0.012288,0.105555,0.060077
1,float,uniform,GPU,"D | D",192,17,0.019456,0,0.028364,0.013312,0.106404,0.061132
1,float,uniform,GPU,"D | D",192,18,0.019456,0,0.029119,0.013312,0.107255,0.061887
1,float,uniform,GPU,"D | D",192,19,0.019456,0,0.028434,0.013312,0.106121,0.061202
1,float,uniform,GPU,"D | D",256,0,0.043008,0,0.04588,0.022528,0.174404,0.111416
1,float,uniform,GPU,"D | D",256,1,0.02048,0,0.032194,0.014336,0.11529,0.06701
1,float,uniform,GPU,"D | D",256,2,0.02048,0,0.030919,0.013312,0.110558,0.064711
1,float,uniform,GPU,"D | D",256,3,0.018432,0,0.030423,0.013312,0.108985,0.062167
1,float,uniform,GPU,"D | D",256,4,0.019456,0,0.030234,0.013312,0.111708,0.063002
1,float,uniform,GPU,"D | D",256,5,0.019456,0,0.031127,0.013312,0.108627,0.063895
1,float,uniform,GPU,"D | D",256,6,0.018432,0,0.030639,0.013312,0.107993,0.062383
1,float,uniform,GPU,"D | D",256,7,0.019456,0,0.030281,0.012288,0.114815,0.062025
