dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,0,0.047744,0,0.086606,0.379904,0.647059,0.514254
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,1,0.028832,0,0.074405,0.018432,0.249943,0.121669
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,2,0.0296,0,0.060683,0.016384,0.243732,0.106667
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,3,0.029664,0,0.061416,0.016384,0.236048,0.107464
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,4,0.029664,0,0.060065,0.017408,0.236151,0.107137
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,5,0.031648,0,0.059954,0.017408,0.244978,0.10901
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,6,0.029248,0,0.061515,0.016384,0.239343,0.107147
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,7,0.028896,0,0.05989,0.01536,0.234393,0.104146
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,8,0.028608,0,0.060879,0.017408,0.243202,0.106895
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,9,0.030784,0,0.060196,0.016384,0.235425,0.107364
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,10,0.028672,0,0.060897,0.017408,0.236588,0.106977
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,11,0.036736,0,0.059503,0.016384,0.240709,0.112623
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,12,0.028896,0,0.060315,0.016384,0.233936,0.105595
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,13,0.029408,0,0.061062,0.016384,0.235673,0.106854
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,14,0.029504,0,0.061053,0.01536,0.237235,0.105917
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,15,0.029632,0,0.06102,0.016384,0.253975,0.107036
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,16,0.029536,0,0.059666,0.016384,0.235293,0.105586
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,17,0.028448,0,0.061177,0.014336,0.235316,0.103961
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,18,0.029696,0,0.060626,0.016384,0.23634,0.106706
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,19,0.02992,0,0.06004,0.016384,0.234944,0.106344
