dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"N | D | N | N | N | N",64,0,0.637024,0.004252,0.123976,0.364544,1.23591,1.1298
3,float,uniform,CPU,"N | D | N | N | N | N",64,1,0.67984,0.003897,0.075653,0.018432,0.84062,0.777822
3,float,uniform,CPU,"N | D | N | N | N | N",64,2,0.598816,0.003671,0.068873,0.016384,0.74747,0.687744
3,float,uniform,CPU,"N | D | N | N | N | N",64,3,0.591552,0.003565,0.066631,0.01536,0.737193,0.677108
3,float,uniform,CPU,"N | D | N | N | N | N",64,4,0.59456,0.003642,0.066238,0.01536,0.74124,0.6798
3,float,uniform,CPU,"N | D | N | N | N | N",64,5,0.59376,0.003621,0.065773,0.016384,0.737088,0.679538
3,float,uniform,CPU,"N | D | N | N | N | N",64,6,0.593472,0.003625,0.066324,0.01536,0.737576,0.678781
3,float,uniform,CPU,"N | D | N | N | N | N",64,7,0.602112,0.003586,0.066062,0.016384,0.745731,0.688144
3,float,uniform,CPU,"N | D | N | N | N | N",64,8,0.59424,0.003592,0.066955,0.01536,0.739821,0.680147
3,float,uniform,CPU,"N | D | N | N | N | N",64,9,0.595808,0.003539,0.067941,0.016384,0.832893,0.683672
3,float,uniform,CPU,"N | D | N | N | N | N",64,10,0.594496,0.003579,0.065937,0.01536,0.744739,0.679372
3,float,uniform,CPU,"N | D | N | N | N | N",64,11,0.600736,0.003561,0.066204,0.01536,0.745352,0.685861
3,float,uniform,CPU,"N | D | N | N | N | N",64,12,0.605184,0.003548,0.064909,0.01536,0.748312,0.689001
3,float,uniform,CPU,"N | D | N | N | N | N",64,13,0.600768,0.00354,0.065721,0.014336,0.745369,0.684365
3,float,uniform,CPU,"N | D | N | N | N | N",64,14,0.593472,0.003522,0.065685,0.016384,0.737635,0.679063
3,float,uniform,CPU,"N | D | N | N | N | N",64,15,0.59296,0.003636,0.065509,0.01536,0.735679,0.677465
3,float,uniform,CPU,"N | D | N | N | N | N",64,16,0.597792,0.003637,0.065277,0.01536,0.740824,0.682066
3,float,uniform,CPU,"N | D | N | N | N | N",64,17,0.601312,0.003603,0.065891,0.01536,0.744276,0.686166
3,float,uniform,CPU,"N | D | N | N | N | N",64,18,0.593504,0.00357,0.065625,0.014336,0.735917,0.677035
3,float,uniform,CPU,"N | D | N | N | N | N",64,19,0.594464,0.096364,0.066239,0.01536,0.832559,0.772427
3,float,uniform,CPU,"N | D | N | N | N | N",128,0,3.31926,0.004031,0.462734,0.07168,3.93892,3.85771
3,float,uniform,CPU,"N | D | N | N | N | N",128,1,3.32806,0.003802,0.433085,0.068608,3.89901,3.83356
3,float,uniform,CPU,"N | D | N | N | N | N",128,2,3.49187,0.003664,0.43718,0.065536,4.0624,3.99825
3,float,uniform,CPU,"N | D | N | N | N | N",128,3,3.3512,0.003786,0.440828,0.065536,3.92528,3.86135
3,float,uniform,CPU,"N | D | N | N | N | N",128,4,3.38592,0.003779,0.439359,0.067584,3.96043,3.89664
3,float,uniform,CPU,"N | D | N | N | N | N",128,5,3.40029,0.003757,0.44058,0.063488,3.97279,3.90811
3,float,uniform,CPU,"N | D | N | N | N | N",128,6,3.3392,0.003813,0.439717,0.064512,3.90975,3.84724
3,float,uniform,CPU,"N | D | N | N | N | N",128,7,3.34678,0.0041,0.43879,0.067584,3.93102,3.85726
3,float,uniform,CPU,"N | D | N | N | N | N",128,8,3.44336,0.003798,0.442031,0.06656,4.01909,3.95575
3,float,uniform,CPU,"N | D | N | N | N | N",128,9,3.36035,0.003761,0.444674,0.06656,4.04077,3.87535
3,float,uniform,CPU,"N | D | N | N | N | N",128,10,3.43581,0.003815,0.441791,0.064512,4.00868,3.94593
3,float,uniform,CPU,"N | D | N | N | N | N",128,11,3.42058,0.00366,0.442197,0.06656,3.99405,3.93299
3,float,uniform,CPU,"N | D | N | N | N | N",128,12,3.41501,0.003708,0.443732,0.06656,3.99727,3.92901
3,float,uniform,CPU,"N | D | N | N | N | N",128,13,3.4119,0.003645,0.439694,0.065536,3.98694,3.92078
3,float,uniform,CPU,"N | D | N | N | N | N",128,14,3.32666,0.003781,0.442497,0.064512,3.90127,3.83745
3,float,uniform,CPU,"N | D | N | N | N | N",128,15,3.36678,0.003657,0.441655,0.064512,3.93984,3.87661
3,float,uniform,CPU,"N | D | N | N | N | N",128,16,3.3487,0.003846,0.439558,0.06656,3.92095,3.85867
3,float,uniform,CPU,"N | D | N | N | N | N",128,17,3.36467,0.003662,0.435583,0.065536,3.93171,3.86945
3,float,uniform,CPU,"N | D | N | N | N | N",128,18,3.47021,0.003818,0.439871,0.064512,4.04742,3.97841
3,float,uniform,CPU,"N | D | N | N | N | N",128,19,3.36797,0.003705,0.440302,0.064512,3.94087,3.87649
3,float,uniform,CPU,"N | D | N | N | N | N",192,0,11.8591,0.004087,2.61524,0.22528,14.7909,14.7037
3,float,uniform,CPU,"N | D | N | N | N | N",192,1,12.0617,0.004322,2.59425,0.22016,14.9637,14.8804
