dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"P | P",64,0,0.706272,0,0.064211,8.12749,11.5902,8.89797
1,float,uniform,CPU,"P | P",64,1,0.027904,0,0.021954,0.026624,0.139968,0.076482
1,float,uniform,CPU,"P | P",64,2,0.027296,0,0.019049,0.023552,0.141529,0.069897
1,float,uniform,CPU,"P | P",64,3,0.026496,0,0.019091,0.021504,0.129101,0.067091
1,float,uniform,CPU,"P | P",64,4,0.026784,0,0.0187,0.023552,0.129095,0.069036
1,float,uniform,CPU,"P | P",64,5,0.026624,0,0.018863,0.022528,0.128936,0.068015
1,float,uniform,CPU,"P | P",64,6,0.026208,0,0.018933,0.021504,0.128754,0.066645
1,float,uniform,CPU,"P | P",64,7,0.025792,0,0.018521,0.022528,0.128367,0.066841
1,float,uniform,CPU,"P | P",64,8,0.025952,0,0.018966,0.022528,0.128327,0.067446
1,float,uniform,CPU,"P | P",64,9,0.025248,0,0.018522,0.023552,0.128852,0.067322
1,float,uniform,CPU,"P | P",64,10,0.026464,0,0.018908,0.02048,0.129175,0.065852
1,float,uniform,CPU,"P | P",64,11,0.025504,0,0.018673,0.022528,0.127392,0.066705
1,float,uniform,CPU,"P | P",64,12,0.026272,0,0.018858,0.02048,0.127597,0.06561
1,float,uniform,CPU,"P | P",64,13,0.026656,0,0.019271,0.021504,0.129371,0.067431
1,float,uniform,CPU,"P | P",64,14,0.02608,0,0.01856,0.022528,0.13508,0.067168
1,float,uniform,CPU,"P | P",64,15,0.0264,0,0.019107,0.021504,0.128719,0.067011
1,float,uniform,CPU,"P | P",64,16,0.025664,0,0.01842,0.021504,0.127904,0.065588
1,float,uniform,CPU,"P | P",64,17,0.025472,0,0.018894,0.022496,0.127646,0.066862
1,float,uniform,CPU,"P | P",64,18,0.032608,0,0.018435,0.021504,0.133905,0.072547
1,float,uniform,CPU,"P | P",64,19,0.026496,0,0.018088,0.022528,0.127959,0.067112
1,float,uniform,CPU,"P | P",128,0,0.035552,0,0.024591,0.036864,0.168063,0.097007
1,float,uniform,CPU,"P | P",128,1,0.030528,0,0.021034,0.024576,0.139381,0.076138
1,float,uniform,CPU,"P | P",128,2,0.027712,0,0.019379,0.023552,0.133128,0.070643
1,float,uniform,CPU,"P | P",128,3,0.028064,0,0.020359,0.024576,0.134722,0.072999
1,float,uniform,CPU,"P | P",128,4,0.02752,0,0.019041,0.021504,0.130261,0.068065
