dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"P | P | P | P",128,2,0.065696,0,0.028968,0.02512,0.182555,0.119784
2,float,uniform,CPU,"P | P | P | P",128,3,0.06432,0,0.028576,0.02352,0.185562,0.116416
2,float,uniform,CPU,"P | P | P | P",128,4,0.064192,0,0.031992,0.023776,0.182133,0.11996
2,float,uniform,CPU,"P | P | P | P",128,5,0.063456,0,0.028226,0.024224,0.17761,0.115906
2,float,uniform,CPU,"P | P | P | P",128,6,0.062496,0,0.028106,0.023264,0.176385,0.113866
2,float,uniform,CPU,"P | P | P | P",128,7,0.069344,0,0.028226,0.02432,0.183881,0.12189
2,float,uniform,CPU,"P | P | P | P",128,8,0.064416,0,0.028523,0.02352,0.17785,0.116459
2,float,uniform,CPU,"P | P | P | P",128,9,0.06384,0,0.02817,0.021888,0.176265,0.113898
2,float,uniform,CPU,"P | P | P | P",128,10,0.062752,0,0.031719,0.022432,0.179111,0.116903
2,float,uniform,CPU,"P | P | P | P",128,11,0.063488,0,0.027936,0.027392,0.181741,0.118816
2,float,uniform,CPU,"P | P | P | P",128,12,0.06368,0,0.028486,0.022432,0.175579,0.114598
2,float,uniform,CPU,"P | P | P | P",128,13,0.063392,0,0.029181,0.022624,0.177487,0.115197
2,float,uniform,CPU,"P | P | P | P",128,14,0.063136,0,0.028524,0.022496,0.176197,0.114156
2,float,uniform,CPU,"P | P | P | P",128,15,0.063616,0,0.028184,0.025632,0.180103,0.117432
2,float,uniform,CPU,"P | P | P | P",128,16,0.062784,0,0.02824,0.023712,0.17505,0.114736
2,float,uniform,CPU,"P | P | P | P",128,17,0.06448,0,0.028466,0.021824,0.177209,0.11477
2,float,uniform,CPU,"P | P | P | P",128,18,0.063712,0,0.027667,0.024448,0.175973,0.115827
2,float,uniform,CPU,"P | P | P | P",128,19,0.062944,0,0.027896,0.024096,0.177262,0.114936
2,float,uniform,CPU,"P | P | P | P",192,0,0.132096,0,0.046116,0.047552,0.308072,0.225764
2,float,uniform,CPU,"P | P | P | P",192,1,0.113696,0,0.031132,0.025472,0.23394,0.1703
2,float,uniform,CPU,"P | P | P | P",192,2,0.114624,0,0.031405,0.022944,0.233412,0.168973
2,float,uniform,CPU,"P | P | P | P",192,3,0.111392,0,0.031013,0.021952,0.228013,0.164357
2,float,uniform,CPU,"P | P | P | P",192,4,0.11104,0,0.037182,0.022048,0.234767,0.17027
2,float,uniform,CPU,"P | P | P | P",192,5,0.111552,0,0.033292,0.023744,0.23156,0.168588
2,float,uniform,CPU,"P | P | P | P",192,6,0.110752,0,0.03079,0.023008,0.228421,0.16455
2,float,uniform,CPU,"P | P | P | P",192,7,0.110656,0,0.030734,0.023072,0.226791,0.164462
2,float,uniform,CPU,"P | P | P | P",192,8,0.111232,0,0.029986,0.022496,0.22698,0.163714
2,float,uniform,CPU,"P | P | P | P",192,9,0.110528,0,0.03069,0.02432,0.225769,0.165538
2,float,uniform,CPU,"P | P | P | P",192,10,0.109312,0,0.029909,0.02336,0.226079,0.162581
2,float,uniform,CPU,"P | P | P | P",192,11,0.112288,0,0.03328,0.023392,0.231473,0.16896
2,float,uniform,CPU,"P | P | P | P",192,12,0.109856,0,0.030703,0.021888,0.227112,0.162447
2,float,uniform,CPU,"P | P | P | P",192,13,0.117984,0,0.029944,0.023232,0.234352,0.17116
2,float,uniform,CPU,"P | P | P | P",192,14,0.1104,0,0.030232,0.02288,0.226583,0.163512
2,float,uniform,CPU,"P | P | P | P",192,15,0.1096,0,0.030121,0.024224,0.224783,0.163945
2,float,uniform,CPU,"P | P | P | P",192,16,0.200448,0,0.030109,0.027648,0.322171,0.258205
2,float,uniform,CPU,"P | P | P | P",192,17,0.111104,0,0.030422,0.022944,0.226006,0.16447
2,float,uniform,CPU,"P | P | P | P",192,18,0.110912,0,0.031092,0.022848,0.226797,0.164852
2,float,uniform,CPU,"P | P | P | P",192,19,0.11088,0,0.030022,0.021984,0.227021,0.162886
2,float,uniform,CPU,"P | P | P | P",256,0,0.188896,0,0.037278,0.03872,0.335496,0.264894
2,float,uniform,CPU,"P | P | P | P",256,1,0.183616,0,0.030386,0.028096,0.304347,0.242098
2,float,uniform,CPU,"P | P | P | P",256,2,0.182464,0,0.028909,0.027264,0.300617,0.238637
2,float,uniform,CPU,"P | P | P | P",256,3,0.174624,0,0.031309,0.034976,0.303449,0.240909
2,float,uniform,CPU,"P | P | P | P",256,4,0.174976,0,0.028215,0.023136,0.288599,0.226327
2,float,uniform,CPU,"P | P | P | P",256,5,0.174208,0,0.029398,0.025632,0.289375,0.229238
2,float,uniform,CPU,"P | P | P | P",256,6,0.175776,0,0.028263,0.022496,0.288015,0.226535
2,float,uniform,CPU,"P | P | P | P",256,7,0.174176,0,0.028572,0.025568,0.28821,0.228316
2,float,uniform,CPU,"P | P | P | P",256,8,0.173056,0,0.028185,0.024384,0.287105,0.225625
2,float,uniform,CPU,"P | P | P | P",256,9,0.173728,0,0.028761,0.02384,0.286957,0.226329
2,float,uniform,CPU,"P | P | P | P",256,10,0.182688,0,0.028518,0.023712,0.297255,0.234918
2,float,uniform,CPU,"P | P | P | P",256,11,0.17248,0,0.028297,0.028928,0.291816,0.229705
2,float,uniform,CPU,"P | P | P | P",256,12,0.17264,0,0.028483,0.024,0.287346,0.225123
2,float,uniform,CPU,"P | P | P | P",256,13,0.172,0,0.028222,0.024992,0.285492,0.225214
2,float,uniform,CPU,"P | P | P | P",256,14,0.173728,0,0.028661,0.022624,0.286547,0.225013
2,float,uniform,CPU,"P | P | P | P",256,15,0.172832,0,0.028204,0.023008,0.285674,0.224044
2,float,uniform,CPU,"P | P | P | P",256,16,0.174048,0,0.028233,0.02416,0.287665,0.226441
2,float,uniform,CPU,"P | P | P | P",256,17,0.180096,0,0.028218,0.024288,0.292714,0.232602
2,float,uniform,CPU,"P | P | P | P",256,18,0.174016,0,0.028413,0.025024,0.288267,0.227453
