dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,0,0.038016,0.003777,0.107958,0.37376,0.660302,0.523511
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,1,0.026784,0.003661,0.086108,0.018432,0.269362,0.134985
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,2,0.028672,0.003694,0.07281,0.017408,0.256485,0.122584
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,3,0.029312,0.003568,0.072359,0.01536,0.255051,0.120599
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,4,0.02752,0.003473,0.071568,0.018432,0.254812,0.120993
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,5,0.030016,0.003612,0.071707,0.016384,0.255316,0.121719
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,6,0.030304,0.003606,0.070269,0.016384,0.273249,0.120563
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,7,0.0272,0.003495,0.071512,0.01536,0.251912,0.117567
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,8,0.030272,0.003507,0.071097,0.01536,0.254962,0.120236
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,9,0.024448,0.00353,0.072832,0.017408,0.353171,0.118218
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,10,0.023712,0.003647,0.072976,0.016384,0.253955,0.116719
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,11,0.025504,0.003551,0.071273,0.017408,0.25045,0.117736
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,12,0.029472,0.003528,0.071657,0.01536,0.254812,0.120017
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,13,0.025152,0.003551,0.071549,0.016384,0.2502,0.116636
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,14,0.024128,0.003527,0.071704,0.017408,0.250593,0.116767
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,15,0.027424,0.003505,0.073074,0.016384,0.252993,0.120387
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,16,0.030304,0.003593,0.071316,0.017408,0.256107,0.122621
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,17,0.025824,0.003593,0.07257,0.104448,0.340364,0.206435
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,18,0.025248,0.003499,0.071833,0.016384,0.249087,0.116964
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,19,0.025888,0.00358,0.071409,0.02048,0.254923,0.121357
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,0,0.109568,0.003955,0.411046,0.115712,0.785333,0.640281
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,1,0.1048,0.003873,0.378816,0.105472,0.729072,0.592961
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,2,0.109504,0.003791,0.372496,0.106496,0.727486,0.592287
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,3,0.10672,0.003942,0.408381,0.113664,0.773847,0.632707
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,4,0.107328,0.00396,0.374395,0.104448,0.728532,0.590131
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,5,0.108288,0.004052,0.379327,0.10752,0.736663,0.599187
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,6,0.108224,0.004445,0.38,0.105472,0.734246,0.598141
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,7,0.110976,0.004034,0.373607,0.106496,0.73122,0.595113
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,8,0.105696,0.003946,0.378054,0.10752,0.735862,0.595216
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,9,0.108352,0.003822,0.374082,0.108544,0.760019,0.5948
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,10,0.107232,0.003977,0.370185,0.106496,0.723993,0.58789
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,11,0.108352,0.003905,0.373458,0.106496,0.72989,0.592211
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,12,0.109184,0.003773,0.373648,0.106496,0.730265,0.593101
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,13,0.105984,0.003884,0.371113,0.10752,0.72628,0.588501
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,14,0.1096,0.003848,0.371728,0.106496,0.729412,0.591672
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,15,0.10848,0.003916,0.369952,0.106496,0.725495,0.588844
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,16,0.108704,0.003951,0.387069,0.106496,0.74225,0.60622
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,17,0.108608,0.004033,0.410294,0.106496,0.769695,0.629431
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,18,0.105856,0.003845,0.373393,0.108544,0.72902,0.591638
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,19,0.108224,0.004164,0.371766,0.105472,0.724944,0.589626
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,0,0.316416,0.004076,1.16058,0.365568,1.98571,1.84664
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,1,0.313888,0.003992,1.11872,0.362496,1.93429,1.79909
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,2,0.311296,0.003992,1.12332,0.361472,1.9377,1.80008
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,3,0.313024,0.004093,1.13286,0.357376,1.9446,1.80735
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,4,0.31392,0.004039,1.13284,0.359424,1.94806,1.81023
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,5,0.313792,0.004004,1.13506,0.359424,1.94922,1.81228
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,6,0.31504,0.004197,1.12727,0.366592,1.94989,1.8131
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,7,0.316384,0.004238,1.12879,0.3584,1.97785,1.80781
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,8,0.31328,0.004258,1.13279,0.362496,1.95045,1.81282
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,9,0.316224,0.00407,1.13266,0.3584,1.95214,1.81136
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,10,0.31312,0.004029,1.12334,0.3584,1.94045,1.79889
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,11,0.310336,0.003944,1.13094,0.359424,1.94224,1.80465
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,12,0.312736,0.003961,1.12879,0.357376,1.95729,1.80286
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,13,0.315072,0.004211,1.13822,0.361472,1.95941,1.81897
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,14,0.317344,0.004017,1.12615,0.359424,1.94263,1.80693
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,15,0.312672,0.003987,1.13108,0.359424,1.94549,1.80716
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,16,0.316544,0.004405,1.13617,0.359424,1.95678,1.81654
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,17,0.315296,0.004329,1.1294,0.360448,1.94731,1.80947
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,18,0.315712,0.004061,1.13021,0.359424,1.94607,1.80941
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,19,0.318048,0.003993,1.13342,0.361472,1.95397,1.81693
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,0,0.707872,0.002981,2.87722,0.802816,4.52755,4.39088
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,1,0.707392,0.00301,2.81364,0.797696,4.45057,4.32174
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,2,0.7072,0.003004,2.8277,0.799744,4.46922,4.33765
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",256,3,0.706272,0.002981,2.83087,0.796672,4.46595,4.3368
