dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,0,1.0831,0.004346,0.12531,0.39424,1.71856,1.607
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,1,1.08118,0.003949,0.08034,0.018432,1.24891,1.18391
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,2,1.01706,0.003739,0.076072,0.017408,1.17532,1.11427
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,3,0.992992,0.003744,0.074394,0.017408,1.27584,1.08854
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,4,0.993344,0.003624,0.074252,0.017408,1.14988,1.08863
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,5,0.994496,0.003618,0.074058,0.01536,1.1503,1.08753
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,6,0.99632,0.003633,0.07391,0.017408,1.15162,1.09127
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,7,0.979872,0.003626,0.073912,0.016384,1.13487,1.07379
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,8,1.07984,0.003676,0.073934,0.017408,1.23493,1.17486
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,9,0.99168,0.003668,0.075408,0.016384,1.14823,1.08714
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,10,0.991872,0.003638,0.073687,0.017408,1.14743,1.0866
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,11,0.998432,0.003685,0.073648,0.016384,1.15314,1.09215
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,12,1.11565,0.003617,0.078162,0.016384,1.27548,1.21381
