dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,0,0.035072,0.003869,0.090742,0.456704,0.736618,0.586387
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,1,0.024672,0.003731,0.065252,0.023552,0.261344,0.117207
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,2,0.026784,0.003537,0.054884,0.03072,0.258059,0.115925
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,3,0.026496,0.003398,0.054391,0.024576,0.249028,0.108861
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,4,0.027328,0.003442,0.055294,0.022528,0.250233,0.108592
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,5,0.026976,0.003324,0.053532,0.023552,0.247541,0.107384
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,6,0.026944,0.003409,0.053501,0.022528,0.24925,0.106382
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,7,0.027136,0.003381,0.054012,0.022528,0.249794,0.107057
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,8,0.027136,0.00335,0.054215,0.021504,0.248263,0.106205
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,9,0.02672,0.003431,0.05382,0.024576,0.24933,0.108547
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,10,0.026496,0.00349,0.055869,0.023552,0.253119,0.109407
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,11,0.027296,0.003419,0.054891,0.022528,0.251851,0.108134
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,12,0.028992,0.003466,0.054791,0.022528,0.250778,0.109777
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,13,0.028288,0.003495,0.057818,0.021504,0.254432,0.111105
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,14,0.028,0.003457,0.054191,0.022528,0.249884,0.108176
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,15,0.027104,0.003473,0.054354,0.021504,0.24929,0.106435
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,16,0.027296,0.003322,0.057227,0.023552,0.254593,0.111397
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,17,0.026368,0.003388,0.053085,0.026624,0.252162,0.109465
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,18,0.02656,0.003421,0.054049,0.023552,0.248007,0.107582
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",64,19,0.028512,0.003424,0.053862,0.021504,0.250284,0.107302
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,0,0.070048,0.003922,0.302244,0.141312,0.661295,0.517526
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,1,0.067168,0.00387,0.265133,0.13312,0.614507,0.469291
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,2,0.068128,0.003624,0.263761,0.130048,0.608883,0.465561
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,3,0.069024,0.003649,0.373505,0.130048,0.723995,0.576226
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,4,0.067072,0.00375,0.26434,0.13312,0.612505,0.468282
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,5,0.068896,0.003488,0.269543,0.132096,0.617984,0.474023
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,6,0.06704,0.00359,0.265156,0.131072,0.610732,0.466858
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,7,0.065088,0.003628,0.261777,0.134144,0.608834,0.464637
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,8,0.065792,0.003566,0.26258,0.128,0.603217,0.459938
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,9,0.065472,0.003582,0.36577,0.139264,0.718428,0.574088
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,10,0.065792,0.003665,0.264141,0.132096,0.609892,0.465694
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,11,0.064064,0.003534,0.261681,0.130048,0.604025,0.459327
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,12,0.065184,0.003578,0.26213,0.129024,0.607464,0.459916
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,13,0.067872,0.003831,0.263384,0.134144,0.621124,0.469231
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,14,0.063552,0.003752,0.262354,0.131072,0.604457,0.46073
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,15,0.067168,0.003646,0.263645,0.132096,0.610913,0.466555
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,16,0.066016,0.003785,0.262673,0.132096,0.61516,0.46457
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,17,0.066016,0.003512,0.260734,0.130048,0.604262,0.46031
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,18,0.0656,0.003617,0.266098,0.131072,0.68993,0.466387
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",128,19,0.06608,0.003675,0.281802,0.131072,0.626092,0.482629
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",192,0,0.164512,0.003885,0.835441,0.442368,1.59203,1.44621
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",192,1,0.16512,0.004057,0.795657,0.438272,1.54751,1.40311
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",192,2,0.16544,0.003984,0.795517,0.44032,1.54869,1.40526
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",192,3,0.162784,0.003918,0.796509,0.434176,1.54259,1.39739
