dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,CPU,"P | P | P | P",256,2,0.317856,0,0.041597,0.025728,0.450617,0.385181
2,double,uniform,CPU,"P | P | P | P",256,3,0.31504,0,0.037798,0.02688,0.443194,0.379718
2,double,uniform,CPU,"P | P | P | P",256,4,0.31408,0,0.038744,0.025152,0.440412,0.377976
2,double,uniform,CPU,"P | P | P | P",256,5,0.310656,0,0.038709,0.024032,0.437827,0.373397
2,double,uniform,CPU,"P | P | P | P",256,6,0.31104,0,0.037922,0.024992,0.436986,0.373954
2,double,uniform,CPU,"P | P | P | P",256,7,0.313824,0,0.038276,0.02416,0.439817,0.37626
2,double,uniform,CPU,"P | P | P | P",256,8,0.311744,0,0.037781,0.02416,0.436817,0.373685
2,double,uniform,CPU,"P | P | P | P",256,9,0.323776,0,0.037873,0.024992,0.449803,0.386641
2,double,uniform,CPU,"P | P | P | P",256,10,0.312928,0,0.038059,0.024352,0.438891,0.375339
2,double,uniform,CPU,"P | P | P | P",256,11,0.384448,0,0.037821,0.024672,0.5102,0.446941
2,double,uniform,CPU,"P | P | P | P",256,12,0.312768,0,0.038106,0.030016,0.443616,0.38089
2,double,uniform,CPU,"P | P | P | P",256,13,0.320544,0,0.038553,0.024064,0.447871,0.383161
2,double,uniform,CPU,"P | P | P | P",256,14,0.310816,0,0.037653,0.024736,0.436497,0.373205
2,double,uniform,CPU,"P | P | P | P",256,15,0.314208,0,0.038771,0.025952,0.439475,0.378931
2,double,uniform,CPU,"P | P | P | P",256,16,0.312256,0,0.038729,0.024928,0.43945,0.375913
2,double,uniform,CPU,"P | P | P | P",256,17,0.316032,0,0.038086,0.024704,0.441219,0.378822
2,double,uniform,CPU,"P | P | P | P",256,18,0.31504,0,0.038583,0.024352,0.440543,0.377975
2,double,uniform,CPU,"P | P | P | P",256,19,0.3128,0,0.037845,0.02608,0.439713,0.376725
2,double,uniform,CPU,"P | P | P | P",320,0,0.471552,0,0.056009,0.053632,0.663116,0.581193
2,double,uniform,CPU,"P | P | P | P",320,1,0.49568,0,0.044246,0.030848,0.635844,0.570774
2,double,uniform,CPU,"P | P | P | P",320,2,0.459776,0,0.043367,0.027584,0.596827,0.530727
2,double,uniform,CPU,"P | P | P | P",320,3,0.463488,0,0.043069,0.027264,0.59735,0.533821
2,double,uniform,CPU,"P | P | P | P",320,4,0.456576,0,0.043113,0.025504,0.589138,0.525193
2,double,uniform,CPU,"P | P | P | P",320,5,0.457536,0,0.042864,0.029056,0.593243,0.529456
2,double,uniform,CPU,"P | P | P | P",320,6,0.51888,0,0.044081,0.02704,0.652344,0.590001
2,double,uniform,CPU,"P | P | P | P",320,7,0.460384,0,0.054491,0.028512,0.678689,0.543387
2,double,uniform,CPU,"P | P | P | P",320,8,0.462976,0,0.042831,0.02832,0.599746,0.534127
2,double,uniform,CPU,"P | P | P | P",320,9,0.457888,0,0.04347,0.02752,0.592682,0.528878
2,double,uniform,CPU,"P | P | P | P",320,10,0.476416,0,0.042983,0.025408,0.608247,0.544807
2,double,uniform,CPU,"P | P | P | P",320,11,0.457376,0,0.042588,0.029984,0.592685,0.529948
2,double,uniform,CPU,"P | P | P | P",320,12,0.457408,0,0.043284,0.025024,0.593682,0.525716
2,double,uniform,CPU,"P | P | P | P",320,13,0.45968,0,0.043017,0.026592,0.592278,0.529289
2,double,uniform,CPU,"P | P | P | P",320,14,0.51728,0,0.042314,0.02512,0.648699,0.584714
2,double,uniform,CPU,"P | P | P | P",320,15,0.460288,0,0.04327,0.02816,0.593704,0.531718
2,double,uniform,CPU,"P | P | P | P",320,16,0.463104,0,0.043913,0.024928,0.597276,0.531945
2,double,uniform,CPU,"P | P | P | P",320,17,0.463264,0,0.042159,0.025152,0.594538,0.530575
2,double,uniform,CPU,"P | P | P | P",320,18,0.459456,0,0.043542,0.026912,0.598274,0.52991
2,double,uniform,CPU,"P | P | P | P",320,19,0.461696,0,0.044688,0.030176,0.640221,0.53656
2,double,uniform,CPU,"P | P | P | P",384,0,0.643488,0,0.05536,0.044384,0.816958,0.743232
2,double,uniform,CPU,"P | P | P | P",384,1,0.648,0,0.053269,0.03056,0.798743,0.731829
2,double,uniform,CPU,"P | P | P | P",384,2,0.65104,0,0.0483,0.030048,0.793761,0.729388
2,double,uniform,CPU,"P | P | P | P",384,3,0.641728,0,0.048581,0.028032,0.783612,0.718341
2,double,uniform,CPU,"P | P | P | P",384,4,0.649504,0,0.048162,0.02912,0.790544,0.726786
2,double,uniform,CPU,"P | P | P | P",384,5,0.641344,0,0.048571,0.027872,0.78259,0.717787
2,double,uniform,CPU,"P | P | P | P",384,6,0.643424,0,0.047558,0.032544,0.78712,0.723526
2,double,uniform,CPU,"P | P | P | P",384,7,0.646784,0,0.0488,0.028416,0.875414,0.724
2,double,uniform,CPU,"P | P | P | P",384,8,0.65168,0,0.048244,0.027872,0.79315,0.727796
2,double,uniform,CPU,"P | P | P | P",384,9,0.643104,0,0.047676,0.028512,0.790584,0.719292
2,double,uniform,CPU,"P | P | P | P",384,10,0.643232,0,0.048001,0.027584,0.782874,0.718817
2,double,uniform,CPU,"P | P | P | P",384,11,0.650464,0,0.047007,0.02832,0.790301,0.725791
2,double,uniform,CPU,"P | P | P | P",384,12,0.645152,0,0.047667,0.0272,0.786077,0.720019
2,double,uniform,CPU,"P | P | P | P",384,13,0.653184,0,0.047576,0.027648,0.792307,0.728408
2,double,uniform,CPU,"P | P | P | P",384,14,0.650272,0,0.04829,0.028608,0.790773,0.72717
2,double,uniform,CPU,"P | P | P | P",384,15,0.74256,0,0.047319,0.028896,0.882789,0.818775
2,double,uniform,CPU,"P | P | P | P",384,16,0.738784,0,0.0488,0.028032,0.879972,0.815616
2,double,uniform,CPU,"P | P | P | P",384,17,0.65712,0,0.04771,0.027904,0.801696,0.732734
2,double,uniform,CPU,"P | P | P | P",384,18,0.652608,0,0.047392,0.028192,0.793498,0.728192
2,double,uniform,CPU,"P | P | P | P",384,19,0.656768,0,0.048881,0.028032,0.798554,0.733681
2,double,uniform,CPU,"P | P | P | P",448,0,0.751648,0,0.059249,0.0448,0.931563,0.855697
2,double,uniform,CPU,"P | P | P | P",448,1,0.743136,0,0.053092,0.037728,0.900212,0.833956
2,double,uniform,CPU,"P | P | P | P",448,2,0.739104,0,0.121717,0.030144,0.958685,0.890965
2,double,uniform,CPU,"P | P | P | P",448,3,0.736896,0,0.051773,0.02976,0.884608,0.818429
2,double,uniform,CPU,"P | P | P | P",448,4,0.733536,0,0.051801,0.030848,0.880884,0.816185
2,double,uniform,CPU,"P | P | P | P",448,5,0.74672,0,0.051626,0.029056,0.892454,0.827402
2,double,uniform,CPU,"P | P | P | P",448,6,0.73792,0,0.051641,0.028672,0.892221,0.818233
2,double,uniform,CPU,"P | P | P | P",448,7,0.738144,0,0.051828,0.031136,0.884907,0.821108
2,double,uniform,CPU,"P | P | P | P",448,8,0.733408,0,0.052674,0.02912,0.888173,0.815202
2,double,uniform,CPU,"P | P | P | P",448,9,0.737728,0,0.052047,0.028928,0.882904,0.818703
