dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"D | N",64,0,0.078848,0,0.048757,0.356352,0.56895,0.483957
1,double,uniform,GPU,"D | N",64,1,0.021504,0,0.025864,0.01536,0.11301,0.062728
1,double,uniform,GPU,"D | N",64,2,0.018432,0,0.022904,0.012288,0.101712,0.053624
1,double,uniform,GPU,"D | N",64,3,0.018432,0,0.021829,0.012288,0.10094,0.052549
1,double,uniform,GPU,"D | N",64,4,0.017408,0,0.022104,0.012288,0.099382,0.0518
1,double,uniform,GPU,"D | N",64,5,0.018432,0,0.021796,0.012288,0.099157,0.052516
1,double,uniform,GPU,"D | N",64,6,0.017408,0,0.021596,0.012288,0.099378,0.051292
1,double,uniform,GPU,"D | N",64,7,0.017408,0,0.02169,0.012288,0.098793,0.051386
1,double,uniform,GPU,"D | N",64,8,0.024576,0,0.023717,0.013312,0.110828,0.061605
1,double,uniform,GPU,"D | N",64,9,0.02048,0,0.021802,0.013312,0.101787,0.055594
1,double,uniform,GPU,"D | N",64,10,0.017408,0,0.021791,0.013312,0.099685,0.052511
1,double,uniform,GPU,"D | N",64,11,0.019456,0,0.021656,0.011264,0.099438,0.052376
1,double,uniform,GPU,"D | N",64,12,0.019456,0,0.022412,0.012288,0.100258,0.054156
1,double,uniform,GPU,"D | N",64,13,0.019456,0,0.021856,0.011264,0.099504,0.052576
1,double,uniform,GPU,"D | N",64,14,0.018432,0,0.022627,0.012288,0.100032,0.053347
1,double,uniform,GPU,"D | N",64,15,0.018432,0,0.021534,0.011264,0.098962,0.05123
1,double,uniform,GPU,"D | N",64,16,0.019456,0,0.022295,0.012288,0.098853,0.054039
1,double,uniform,GPU,"D | N",64,17,0.02048,0,0.022925,0.012288,0.101961,0.055693
1,double,uniform,GPU,"D | N",64,18,0.017408,0,0.022156,0.011264,0.09832,0.050828
1,double,uniform,GPU,"D | N",64,19,0.019456,0,0.022111,0.011264,0.098957,0.052831
1,double,uniform,GPU,"D | N",128,0,0.029696,0,0.030597,0.021504,0.136348,0.081797
1,double,uniform,GPU,"D | N",128,1,0.027648,0,0.023202,0.013312,0.112679,0.064162
1,double,uniform,GPU,"D | N",128,2,0.02048,0,0.023613,0.013312,0.103499,0.057405
1,double,uniform,GPU,"D | N",128,3,0.018432,0,0.023591,0.012288,0.101224,0.054311
1,double,uniform,GPU,"D | N",128,4,0.018432,0,0.022424,0.013312,0.101426,0.054168
1,double,uniform,GPU,"D | N",128,5,0.019456,0,0.022423,0.012288,0.103508,0.054167
1,double,uniform,GPU,"D | N",128,6,0.017408,0,0.022309,0.012288,0.098713,0.052005
1,double,uniform,GPU,"D | N",128,7,0.018432,0,0.022837,0.011264,0.099207,0.052533
1,double,uniform,GPU,"D | N",128,8,0.018432,0,0.022548,0.011264,0.099544,0.052244
1,double,uniform,GPU,"D | N",128,9,0.019456,0,0.022327,0.012288,0.100817,0.054071
1,double,uniform,GPU,"D | N",128,10,0.018432,0,0.022541,0.01536,0.102853,0.056333
1,double,uniform,GPU,"D | N",128,11,0.019456,0,0.023123,0.012288,0.099409,0.054867
1,double,uniform,GPU,"D | N",128,12,0.017408,0,0.025556,0.011264,0.103762,0.054228
1,double,uniform,GPU,"D | N",128,13,0.019456,0,0.022124,0.011264,0.098426,0.052844
1,double,uniform,GPU,"D | N",128,14,0.019456,0,0.022525,0.012288,0.100616,0.054269
1,double,uniform,GPU,"D | N",128,15,0.017408,0,0.022823,0.012288,0.102327,0.052519
1,double,uniform,GPU,"D | N",128,16,0.017408,0,0.022965,0.011264,0.098999,0.051637
1,double,uniform,GPU,"D | N",128,17,0.018432,0,0.022901,0.012288,0.099555,0.053621
1,double,uniform,GPU,"D | N",128,18,0.019456,0,0.022973,0.012288,0.100888,0.054717
1,double,uniform,GPU,"D | N",128,19,0.018432,0,0.022317,0.011264,0.101427,0.052013
1,double,uniform,GPU,"D | N",192,0,0.029696,0,0.032433,0.017408,0.134917,0.079537
1,double,uniform,GPU,"D | N",192,1,0.021504,0,0.02582,0.012288,0.107125,0.059612
1,double,uniform,GPU,"D | N",192,2,0.019456,0,0.024424,0.012288,0.102738,0.056168
1,double,uniform,GPU,"D | N",192,3,0.019456,0,0.024997,0.012288,0.102342,0.056741
1,double,uniform,GPU,"D | N",192,4,0.019456,0,0.02663,0.012288,0.103616,0.058374
1,double,uniform,GPU,"D | N",192,5,0.017408,0,0.024677,0.011264,0.100172,0.053349
1,double,uniform,GPU,"D | N",192,6,0.019456,0,0.024052,0.012288,0.102075,0.055796
1,double,uniform,GPU,"D | N",192,7,0.019456,0,0.024681,0.011264,0.100391,0.055401
1,double,uniform,GPU,"D | N",192,8,0.023552,0,0.0237,0.011264,0.105914,0.058516
1,double,uniform,GPU,"D | N",192,9,0.021504,0,0.02417,0.012288,0.104185,0.057962
1,double,uniform,GPU,"D | N",192,10,0.018432,0,0.023365,0.012288,0.098868,0.054085
1,double,uniform,GPU,"D | N",192,11,0.017408,0,0.024141,0.011264,0.100327,0.052813
1,double,uniform,GPU,"D | N",192,12,0.018432,0,0.024169,0.011264,0.099731,0.053865
1,double,uniform,GPU,"D | N",192,13,0.017408,0,0.023926,0.011264,0.100522,0.052598
1,double,uniform,GPU,"D | N",192,14,0.018432,0,0.024151,0.011264,0.100701,0.053847
1,double,uniform,GPU,"D | N",192,15,0.017408,0,0.023704,0.013312,0.100264,0.054424
1,double,uniform,GPU,"D | N",192,16,0.019456,0,0.026167,0.012288,0.101904,0.057911
1,double,uniform,GPU,"D | N",192,17,0.023552,0,0.023425,0.012288,0.104097,0.059265
1,double,uniform,GPU,"D | N",192,18,0.018432,0,0.024647,0.011264,0.100876,0.054343
1,double,uniform,GPU,"D | N",192,19,0.018432,0,0.02403,0.012288,0.099794,0.05475
1,double,uniform,GPU,"D | N",256,0,0.031744,0,0.031409,0.018432,0.134127,0.081585
1,double,uniform,GPU,"D | N",256,1,0.019456,0,0.02469,0.012288,0.107027,0.056434
1,double,uniform,GPU,"D | N",256,2,0.019456,0,0.023402,0.013312,0.102242,0.05617
1,double,uniform,GPU,"D | N",256,3,0.018432,0,0.022842,0.013312,0.100568,0.054586
1,double,uniform,GPU,"D | N",256,4,0.018432,0,0.023103,0.012288,0.100702,0.053823
1,double,uniform,GPU,"D | N",256,5,0.018432,0,0.022797,0.012288,0.101414,0.053517
1,double,uniform,GPU,"D | N",256,6,0.106496,0,0.022667,0.012288,0.187715,0.141451
1,double,uniform,GPU,"D | N",256,7,0.019456,0,0.022677,0.011264,0.099475,0.053397
1,double,uniform,GPU,"D | N",256,8,0.018432,0,0.0229,0.011264,0.098745,0.052596
1,double,uniform,GPU,"D | N",256,9,0.017408,0,0.023006,0.012288,0.102963,0.052702
1,double,uniform,GPU,"D | N",256,10,0.017408,0,0.023315,0.011264,0.100221,0.051987
1,double,uniform,GPU,"D | N",256,11,0.018432,0,0.023595,0.011264,0.099239,0.053291
1,double,uniform,GPU,"D | N",256,12,0.017408,0,0.022311,0.013312,0.105235,0.053031
1,double,uniform,GPU,"D | N",256,13,0.018432,0,0.022636,0.012288,0.099813,0.053356
1,double,uniform,GPU,"D | N",256,14,0.018432,0,0.023261,0.011264,0.099522,0.052957
1,double,uniform,GPU,"D | N",256,15,0.017408,0,0.022729,0.012288,0.098749,0.052425
1,double,uniform,GPU,"D | N",256,16,0.018432,0,0.022484,0.012288,0.100018,0.053204
1,double,uniform,GPU,"D | N",256,17,0.018432,0,0.023581,0.011264,0.100134,0.053277
1,double,uniform,GPU,"D | N",256,18,0.018432,0,0.022866,0.011264,0.100013,0.052562
1,double,uniform,GPU,"D | N",256,19,0.017408,0,0.022686,0.012288,0.099537,0.052382
1,double,uniform,GPU,"D | N",320,0,0.03072,0,0.030995,0.024576,0.139851,0.086291
1,double,uniform,GPU,"D | N",320,1,0.022528,0,0.024316,0.014336,0.107595,0.06118
1,double,uniform,GPU,"D | N",320,2,0.02048,0,0.023704,0.013312,0.104298,0.057496
1,double,uniform,GPU,"D | N",320,3,0.019456,0,0.024405,0.012288,0.103154,0.056149
1,double,uniform,GPU,"D | N",320,4,0.019456,0,0.024021,0.012288,0.100826,0.055765
1,double,uniform,GPU,"D | N",320,5,0.018432,0,0.023903,0.012288,0.099838,0.054623
1,double,uniform,GPU,"D | N",320,6,0.018432,0,0.023704,0.012288,0.100635,0.054424
1,double,uniform,GPU,"D | N",320,7,0.018432,0,0.024039,0.012288,0.107684,0.054759
1,double,uniform,GPU,"D | N",320,8,0.018432,0,0.023804,0.012288,0.099417,0.054524
1,double,uniform,GPU,"D | N",320,9,0.018432,0,0.023259,0.011264,0.099052,0.052955
1,double,uniform,GPU,"D | N",320,10,0.019456,0,0.023986,0.011264,0.100592,0.054706
