dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | N | D",64,0,0.03552,0.004189,0.093635,0.436224,0.718589,0.569568
3,float,uniform,GPU,"P | P | P | P | N | D",64,1,0.02512,0.003852,0.057712,0.026624,0.257084,0.113308
3,float,uniform,GPU,"P | P | P | P | N | D",64,2,0.027008,0.003616,0.053036,0.024576,0.251709,0.108236
3,float,uniform,GPU,"P | P | P | P | N | D",64,3,0.025792,0.003631,0.053022,0.023552,0.248583,0.105997
3,float,uniform,GPU,"P | P | P | P | N | D",64,4,0.026752,0.003635,0.053032,0.022528,0.250016,0.105947
3,float,uniform,GPU,"P | P | P | P | N | D",64,5,0.024224,0.003582,0.052847,0.023552,0.248049,0.104205
3,float,uniform,GPU,"P | P | P | P | N | D",64,6,0.02608,0.003517,0.052726,0.022528,0.253474,0.104851
3,float,uniform,GPU,"P | P | P | P | N | D",64,7,0.025472,0.003588,0.052559,0.023552,0.248631,0.105171
3,float,uniform,GPU,"P | P | P | P | N | D",64,8,0.02432,0.003576,0.053517,0.021504,0.247923,0.102917
3,float,uniform,GPU,"P | P | P | P | N | D",64,9,0.026272,0.003517,0.052916,0.022528,0.249015,0.105233
3,float,uniform,GPU,"P | P | P | P | N | D",64,10,0.02512,0.00359,0.052594,0.023552,0.247785,0.104856
3,float,uniform,GPU,"P | P | P | P | N | D",64,11,0.02528,0.0036,0.053242,0.022528,0.247704,0.10465
3,float,uniform,GPU,"P | P | P | P | N | D",64,12,0.025088,0.00359,0.052941,0.022528,0.247393,0.104147
3,float,uniform,GPU,"P | P | P | P | N | D",64,13,0.02976,0.003573,0.051867,0.022528,0.25119,0.107728
3,float,uniform,GPU,"P | P | P | P | N | D",64,14,0.025728,0.00362,0.052708,0.022528,0.248112,0.104584
3,float,uniform,GPU,"P | P | P | P | N | D",64,15,0.025952,0.003537,0.051873,0.023552,0.246141,0.104914
3,float,uniform,GPU,"P | P | P | P | N | D",64,16,0.025728,0.003656,0.053533,0.023552,0.330747,0.106469
3,float,uniform,GPU,"P | P | P | P | N | D",64,17,0.025216,0.003703,0.058215,0.023552,0.301464,0.110686
3,float,uniform,GPU,"P | P | P | P | N | D",64,18,0.02528,0.003555,0.05263,0.023552,0.24925,0.105017
3,float,uniform,GPU,"P | P | P | P | N | D",64,19,0.027008,0.003621,0.052431,0.023552,0.247151,0.106612
3,float,uniform,GPU,"P | P | P | P | N | D",128,0,0.069344,0.004132,0.315694,0.142336,0.682795,0.531506
3,float,uniform,GPU,"P | P | P | P | N | D",128,1,0.068128,0.004094,0.278304,0.132096,0.629299,0.482622
3,float,uniform,GPU,"P | P | P | P | N | D",128,2,0.06752,0.003826,0.278592,0.131072,0.625596,0.48101
3,float,uniform,GPU,"P | P | P | P | N | D",128,3,0.063552,0.003631,0.27394,0.131072,0.616929,0.472195
3,float,uniform,GPU,"P | P | P | P | N | D",128,4,0.062656,0.003745,0.275497,0.137216,0.623642,0.479114
3,float,uniform,GPU,"P | P | P | P | N | D",128,5,0.070304,0.003804,0.277495,0.132096,0.629313,0.483699
3,float,uniform,GPU,"P | P | P | P | N | D",128,6,0.063552,0.003821,0.272549,0.131072,0.615101,0.470994
3,float,uniform,GPU,"P | P | P | P | N | D",128,7,0.06496,0.003744,0.272991,0.131072,0.616917,0.472767
3,float,uniform,GPU,"P | P | P | P | N | D",128,8,0.062624,0.003683,0.273277,0.132096,0.614122,0.47168
3,float,uniform,GPU,"P | P | P | P | N | D",128,9,0.072096,0.003631,0.274533,0.131072,0.625592,0.481332
3,float,uniform,GPU,"P | P | P | P | N | D",128,10,0.061952,0.003723,0.27545,0.130048,0.614565,0.471173
3,float,uniform,GPU,"P | P | P | P | N | D",128,11,0.063776,0.003794,0.276293,0.132096,0.618232,0.475959
3,float,uniform,GPU,"P | P | P | P | N | D",128,12,0.063872,0.003765,0.274943,0.13312,0.619499,0.4757
3,float,uniform,GPU,"P | P | P | P | N | D",128,13,0.069056,0.003697,0.277099,0.130048,0.62425,0.4799
3,float,uniform,GPU,"P | P | P | P | N | D",128,14,0.070656,0.003706,0.275044,0.132096,0.623311,0.481502
3,float,uniform,GPU,"P | P | P | P | N | D",128,15,0.070592,0.003821,0.272486,0.129024,0.619075,0.475923
3,float,uniform,GPU,"P | P | P | P | N | D",128,16,0.061952,0.003665,0.273148,0.130048,0.612855,0.468813
3,float,uniform,GPU,"P | P | P | P | N | D",128,17,0.071488,0.003674,0.274656,0.132096,0.626368,0.481914
3,float,uniform,GPU,"P | P | P | P | N | D",128,18,0.0688,0.003592,0.273209,0.131072,0.620339,0.476673
3,float,uniform,GPU,"P | P | P | P | N | D",128,19,0.064128,0.004071,0.276638,0.130048,0.621095,0.474885
