dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,0,0.075936,0,0.087135,0.371712,0.62931,0.534783
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,1,0.041376,0,0.041129,0.014336,0.15322,0.096841
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,2,0.04032,0,0.032326,0.012288,0.138581,0.084934
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,3,0.037536,0,0.031251,0.013312,0.138707,0.082099
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,4,0.036608,0,0.032449,0.013312,0.134164,0.082369
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,5,0.0368,0,0.031921,0.012288,0.132897,0.081009
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,6,0.137216,0,0.031511,0.012288,0.235009,0.181015
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,7,0.037344,0,0.032212,0.013312,0.134564,0.082868
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,8,0.036576,0,0.03166,0.012288,0.133829,0.080524
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,9,0.03664,0,0.031981,0.012288,0.133607,0.080909
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,10,0.036864,0,0.031875,0.012288,0.13406,0.081027
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,11,0.03664,0,0.031452,0.012288,0.133192,0.08038
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,12,0.036832,0,0.032115,0.012288,0.133318,0.081235
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,13,0.037056,0,0.031534,0.013312,0.132804,0.081902
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,14,0.03728,0,0.032272,0.011264,0.138655,0.080816
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,15,0.036448,0,0.032067,0.011264,0.133145,0.079779
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,16,0.03648,0,0.031633,0.013312,0.132387,0.081425
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,17,0.036736,0,0.032071,0.013312,0.139947,0.082119
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,18,0.0368,0,0.031747,0.011264,0.1326,0.079811
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,19,0.03648,0,0.031665,0.012288,0.13337,0.080433
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,0,0.076576,0,0.050675,0.019456,0.215302,0.146707
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,1,0.074848,0,0.037211,0.014336,0.181658,0.126395
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,2,0.06352,0,0.036485,0.012288,0.166599,0.112293
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,3,0.062624,0,0.034899,0.013312,0.163274,0.110835
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,4,0.063488,0,0.035257,0.014336,0.164439,0.113081
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,5,0.063008,0,0.137768,0.013312,0.267363,0.214088
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,6,0.063808,0,0.035583,0.012288,0.166023,0.111679
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,7,0.064128,0,0.035281,0.012288,0.165845,0.111697
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,8,0.063616,0,0.03512,0.013312,0.163196,0.112048
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,9,0.063168,0,0.036746,0.012288,0.165122,0.112202
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,10,0.061888,0,0.034373,0.012288,0.161649,0.108549
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,11,0.061568,0,0.034759,0.012288,0.161439,0.108615
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,12,0.063904,0,0.034774,0.014336,0.166451,0.113014
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,13,0.062752,0,0.034314,0.012288,0.161631,0.109354
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,14,0.061824,0,0.034815,0.013312,0.160786,0.109951
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,15,0.06304,0,0.035025,0.01536,0.165417,0.113425
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,16,0.069376,0,0.034622,0.012288,0.168005,0.116286
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,17,0.06432,0,0.034543,0.012288,0.162632,0.111151
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,18,0.062784,0,0.03561,0.012288,0.163332,0.110682
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,19,0.06336,0,0.147913,0.014336,0.277387,0.225609
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,0,0.116928,0,0.056193,0.02048,0.256529,0.193601
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,1,0.110816,0,0.040993,0.014336,0.220732,0.166145
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,2,0.107904,0,0.038864,0.012288,0.212804,0.159056
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,3,0.10816,0,0.037779,0.012288,0.213312,0.158227
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,4,0.105888,0,0.037983,0.013312,0.209512,0.157183
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,5,0.112928,0,0.038161,0.013312,0.215841,0.164401
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,6,0.107008,0,0.03945,0.013312,0.216287,0.15977
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,7,0.10592,0,0.037969,0.016384,0.213123,0.160273
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,8,0.105312,0,0.03771,0.011296,0.207762,0.154318
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,9,0.10576,0,0.03782,0.019456,0.21631,0.163036
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,10,0.106976,0,0.037368,0.012288,0.208716,0.156632
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,11,0.105984,0,0.037585,0.012288,0.208246,0.155857
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,12,0.105792,0,0.038934,0.012288,0.212965,0.157014
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,13,0.106816,0,0.037708,0.012288,0.300705,0.156812
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,14,0.105824,0,0.040903,0.011264,0.211871,0.157991
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,15,0.106112,0,0.03803,0.011264,0.209179,0.155406
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,16,0.106432,0,0.038237,0.013312,0.21037,0.157981
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,17,0.105504,0,0.038067,0.012288,0.208826,0.155859
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,18,0.106688,0,0.038355,0.013312,0.209259,0.158355
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,19,0.105472,0,0.037286,0.013312,0.208367,0.15607
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",256,0,0.184256,0,0.05673,0.0256,0.33979,0.266586
