dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",192,6,0.181728,0,0.046268,0.013312,0.294173,0.241308
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",192,7,0.182176,0,0.045418,0.013312,0.293578,0.240906
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",192,8,0.184256,0,0.046025,0.014336,0.297751,0.244617
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",192,9,0.182752,0,0.045754,0.013312,0.295559,0.241818
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",192,10,0.183296,0,0.045768,0.013312,0.295145,0.242376
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",192,11,0.183008,0,0.048795,0.013312,0.2982,0.245115
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",192,12,0.182528,0,0.046009,0.012288,0.29482,0.240825
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",192,13,0.18976,0,0.045576,0.011264,0.300983,0.2466
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",192,14,0.190496,0,0.0457,0.014336,0.303387,0.250532
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",192,15,0.1848,0,0.045995,0.013312,0.302257,0.244107
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",192,16,0.19296,0,0.046937,0.013312,0.306419,0.253209
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",192,17,0.18432,0,0.045738,0.012288,0.29563,0.242346
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",192,18,0.1832,0,0.045765,0.013312,0.294157,0.242277
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",192,19,0.183584,0,0.046264,0.012288,0.295762,0.242136
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,0,0.31488,0,0.059973,0.017408,0.458718,0.392261
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,1,0.33232,0,0.049654,0.016384,0.453517,0.398358
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,2,0.319776,0,0.047815,0.017408,0.439123,0.384999
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,3,0.311552,0,0.052409,0.014336,0.432152,0.378297
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,4,0.31632,0,0.046768,0.013312,0.428491,0.3764
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,5,0.312384,0,0.047265,0.01536,0.426265,0.375009
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,6,0.307488,0,0.047957,0.013312,0.421556,0.368757
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,7,0.306432,0,0.04701,0.013312,0.420147,0.366754
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,8,0.307072,0,0.047569,0.013312,0.422634,0.367953
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,9,0.307776,0,0.047088,0.013312,0.421197,0.368176
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,10,0.30864,0,0.04753,0.012288,0.423061,0.368458
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,11,0.412448,0,0.046996,0.013312,0.527954,0.472756
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,12,0.308,0,0.128681,0.029696,0.519738,0.466377
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,13,0.394784,0,0.049174,0.013312,0.513157,0.45727
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,14,0.307552,0,0.046831,0.012288,0.421861,0.366671
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,15,0.310912,0,0.046987,0.013312,0.424665,0.371211
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,16,0.308064,0,0.046849,0.012288,0.421898,0.367201
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,17,0.307648,0,0.046313,0.014336,0.42186,0.368297
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,18,0.30848,0,0.047427,0.014336,0.423311,0.370243
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",256,19,0.314848,0,0.04677,0.014336,0.428332,0.375954
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,0,0.478528,0,0.062826,0.018432,0.625757,0.559786
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,1,0.516832,0,0.054307,0.01536,0.642516,0.586499
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,2,0.486848,0,0.050356,0.014336,0.605108,0.55154
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,3,0.475872,0,0.050167,0.014336,0.594269,0.540375
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,4,0.475072,0,0.050354,0.013312,0.591946,0.538738
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,5,0.604224,0,0.049807,0.01536,0.721237,0.669391
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,6,0.477088,0,0.15759,0.013312,0.703326,0.64799
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,7,0.473792,0,0.050058,0.013312,0.589751,0.537162
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,8,0.472864,0,0.049502,0.01536,0.590661,0.537726
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,9,0.572576,0,0.050201,0.01536,0.691783,0.638137
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,10,0.478432,0,0.050245,0.014336,0.667156,0.543013
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,11,0.567264,0,0.049303,0.014336,0.683636,0.630903
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,12,0.47632,0,0.050107,0.014336,0.593545,0.540763
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,13,0.475584,0,0.050097,0.013312,0.592776,0.538993
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,14,0.483648,0,0.050049,0.014336,0.600758,0.548033
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,15,0.474464,0,0.04953,0.014336,0.591232,0.53833
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,16,0.482272,0,0.049653,0.014336,0.599628,0.546261
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,17,0.47648,0,0.049331,0.014336,0.593727,0.540147
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,18,0.476736,0,0.04915,0.01536,0.592978,0.541246
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",320,19,0.571168,0,0.049164,0.014336,0.688203,0.634668
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,0,0.64432,0,0.072849,0.019456,0.802472,0.736625
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,1,0.622848,0,0.05876,0.017408,0.771098,0.699016
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,2,0.623776,0,0.056962,0.022528,0.757579,0.703266
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,3,0.62016,0,0.056081,0.01536,0.746378,0.691601
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,4,0.62416,0,0.055743,0.016384,0.749452,0.696287
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,5,0.628384,0,0.05601,0.01536,0.753639,0.699754
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",384,6,0.63184,0,0.055499,0.01536,0.756809,0.702699
