dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | D | D",192,8,0.167392,0,1.62043,0.216064,2.13409,2.00389
3,float,uniform,GPU,"D | D | D | D | D | D",192,9,0.165664,0,1.61703,0.22016,2.12957,2.00286
3,float,uniform,GPU,"D | D | D | D | D | D",192,10,0.161664,0,1.61983,0.219136,2.13061,2.00063
3,float,uniform,GPU,"D | D | D | D | D | D",192,11,0.166272,0,1.61857,0.217088,2.12986,2.00193
3,float,uniform,GPU,"D | D | D | D | D | D",192,12,0.164736,0,1.62352,0.217088,2.13479,2.00534
3,float,uniform,GPU,"D | D | D | D | D | D",192,13,0.166368,0,1.61509,0.212992,2.12549,1.99445
3,float,uniform,GPU,"D | D | D | D | D | D",192,14,0.166624,0,1.6192,0.217088,2.13208,2.00291
3,float,uniform,GPU,"D | D | D | D | D | D",192,15,0.167136,0,1.61898,0.217088,2.13368,2.00321
3,float,uniform,GPU,"D | D | D | D | D | D",192,16,0.167616,0,1.61757,0.217088,2.12933,2.00227
3,float,uniform,GPU,"D | D | D | D | D | D",192,17,0.213568,0,1.64213,0.232448,2.21923,2.08815
3,float,uniform,GPU,"D | D | D | D | D | D",192,18,0.168128,0,1.61746,0.217088,2.13142,2.00268
3,float,uniform,GPU,"D | D | D | D | D | D",192,19,0.16448,0,1.62059,0.219136,2.13728,2.0042
3,float,uniform,GPU,"D | D | D | D | D | D",256,0,0.36624,0,3.55656,0.488448,4.54015,4.41125
3,float,uniform,GPU,"D | D | D | D | D | D",256,1,0.36608,0,3.5504,0.495616,4.5405,4.4121
3,float,uniform,GPU,"D | D | D | D | D | D",256,2,0.368864,0,3.56267,0.49152,4.55333,4.42306
3,float,uniform,GPU,"D | D | D | D | D | D",256,3,0.363072,0,3.55424,0.49152,4.53441,4.40884
3,float,uniform,GPU,"D | D | D | D | D | D",256,4,0.363968,0,3.56103,0.495616,4.54563,4.42061
