dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | D | D",64,0,0.037184,0,0.117426,0.390144,0.676534,0.544754
3,double,uniform,GPU,"D | D | D | D | D | D",64,1,0.029728,0,0.100199,0.017408,0.276429,0.147335
3,double,uniform,GPU,"D | D | D | D | D | D",64,2,0.028256,0,0.092393,0.017408,0.265987,0.138057
3,double,uniform,GPU,"D | D | D | D | D | D",64,3,0.024576,0,0.092446,0.017408,0.261995,0.13443
3,double,uniform,GPU,"D | D | D | D | D | D",64,4,0.028064,0,0.093097,0.016384,0.268576,0.137545
3,double,uniform,GPU,"D | D | D | D | D | D",64,5,0.024,0,0.093169,0.016384,0.261218,0.133553
3,double,uniform,GPU,"D | D | D | D | D | D",64,6,0.028544,0,0.093154,0.01536,0.264896,0.137058
3,double,uniform,GPU,"D | D | D | D | D | D",64,7,0.02608,0,0.091641,0.016384,0.26163,0.134105
3,double,uniform,GPU,"D | D | D | D | D | D",64,8,0.031232,0,0.091101,0.017408,0.26726,0.139741
3,double,uniform,GPU,"D | D | D | D | D | D",64,9,0.025824,0,0.091997,0.016384,0.261214,0.134205
3,double,uniform,GPU,"D | D | D | D | D | D",64,10,0.023488,0,0.092715,0.01536,0.260458,0.131563
3,double,uniform,GPU,"D | D | D | D | D | D",64,11,0.025216,0,0.092315,0.016384,0.262522,0.133915
3,double,uniform,GPU,"D | D | D | D | D | D",64,12,0.023872,0,0.09119,0.016384,0.260129,0.131446
3,double,uniform,GPU,"D | D | D | D | D | D",64,13,0.024416,0,0.091852,0.01536,0.260001,0.131628
3,double,uniform,GPU,"D | D | D | D | D | D",64,14,0.030944,0,0.099838,0.017408,0.275025,0.14819
3,double,uniform,GPU,"D | D | D | D | D | D",64,15,0.024032,0,0.092692,0.016384,0.261102,0.133108
3,double,uniform,GPU,"D | D | D | D | D | D",64,16,0.024736,0,0.091866,0.016384,0.266866,0.132986
3,double,uniform,GPU,"D | D | D | D | D | D",64,17,0.024512,0,0.095191,0.016384,0.265776,0.136087
3,double,uniform,GPU,"D | D | D | D | D | D",64,18,0.028224,0,0.091096,0.016384,0.265048,0.135704
3,double,uniform,GPU,"D | D | D | D | D | D",64,19,0.024576,0,0.091464,0.016384,0.261094,0.132424
3,double,uniform,GPU,"D | D | D | D | D | D",128,0,0.110336,0,0.766011,0.10752,1.11267,0.983867
3,double,uniform,GPU,"D | D | D | D | D | D",128,1,0.1088,0,0.759419,0.10752,1.10617,0.975739
3,double,uniform,GPU,"D | D | D | D | D | D",128,2,0.108512,0,0.757439,0.10752,1.10757,0.973471
3,double,uniform,GPU,"D | D | D | D | D | D",128,3,0.103008,0,0.759387,0.105472,1.09975,0.967867
3,double,uniform,GPU,"D | D | D | D | D | D",128,4,0.108384,0,0.75627,0.105472,1.10221,0.970126
3,double,uniform,GPU,"D | D | D | D | D | D",128,5,0.109664,0,0.759327,0.106496,1.10509,0.975487
3,double,uniform,GPU,"D | D | D | D | D | D",128,6,0.10272,0,0.762124,0.106496,1.10177,0.97134
3,double,uniform,GPU,"D | D | D | D | D | D",128,7,0.108384,0,0.757314,0.105472,1.10273,0.97117
3,double,uniform,GPU,"D | D | D | D | D | D",128,8,0.102976,0,0.760613,0.106496,1.09907,0.970085
3,double,uniform,GPU,"D | D | D | D | D | D",128,9,0.100192,0,0.757268,0.10752,1.09766,0.96498
3,double,uniform,GPU,"D | D | D | D | D | D",128,10,0.109536,0,0.75979,0.105472,1.10534,0.974798
3,double,uniform,GPU,"D | D | D | D | D | D",128,11,0.102976,0,0.789844,0.120832,1.15294,1.01365
