dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,0,0.03744,0.004105,0.095171,0.441344,0.728462,0.57806
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,1,0.024672,0.003697,0.062802,0.0256,0.263103,0.116771
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,2,0.02832,0.003486,0.054423,0.024576,0.255272,0.110805
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,3,0.025248,0.003515,0.054341,0.022528,0.250021,0.105632
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,4,0.026496,0.003517,0.054484,0.022528,0.251538,0.107025
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,5,0.025568,0.003448,0.053875,0.021504,0.250344,0.104395
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,6,0.0256,0.003597,0.053303,0.023552,0.249581,0.106052
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,7,0.023136,0.003693,0.054948,0.024576,0.251123,0.106353
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,8,0.02592,0.003668,0.053257,0.023552,0.251131,0.106397
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,9,0.025376,0.003571,0.053823,0.024576,0.257184,0.107346
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,10,0.025888,0.00354,0.054055,0.024576,0.301457,0.108059
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,11,0.025152,0.003513,0.054101,0.024576,0.249739,0.107342
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,12,0.024096,0.003489,0.053403,0.024576,0.249215,0.105564
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,13,0.024544,0.003443,0.05232,0.024576,0.247583,0.104883
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,14,0.023904,0.003488,0.056641,0.024576,0.251087,0.108609
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,15,0.025152,0.003445,0.052944,0.024576,0.248407,0.106117
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,16,0.024768,0.003538,0.052673,0.024576,0.254951,0.105555
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,17,0.024736,0.003446,0.063162,0.023552,0.259441,0.114896
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,18,0.024064,0.003451,0.055148,0.024576,0.311462,0.107239
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,19,0.025568,0.003453,0.053012,0.024576,0.247951,0.106609
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,0,0.067296,0.003966,0.275598,0.146432,0.640919,0.493292
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,1,0.067232,0.003679,0.236393,0.135168,0.585724,0.442472
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,2,0.068096,0.00364,0.236814,0.136192,0.58872,0.444742
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,3,0.066496,0.00358,0.232382,0.134144,0.581898,0.436602
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,4,0.065152,0.003478,0.233303,0.134144,0.579811,0.436077
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,5,0.068544,0.003423,0.234874,0.135168,0.708056,0.442009
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,6,0.067232,0.003491,0.233926,0.136192,0.584383,0.440841
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,7,0.068544,0.003511,0.230488,0.13312,0.578315,0.435663
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,8,0.06752,0.003487,0.234529,0.134144,0.586718,0.43968
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,9,0.06752,0.003493,0.235839,0.135168,0.586073,0.44202
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,10,0.066144,0.003481,0.233296,0.135168,0.582619,0.438089
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,11,0.066784,0.003446,0.233705,0.13312,0.582058,0.437055
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,12,0.06592,0.003608,0.231612,0.140288,0.58627,0.441428
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,13,0.066144,0.003575,0.230865,0.140288,0.586504,0.440872
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,14,0.067072,0.00348,0.234105,0.134144,0.583236,0.438801
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,15,0.06752,0.003445,0.234266,0.135168,0.591314,0.440399
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,16,0.066496,0.003497,0.234804,0.134144,0.585343,0.438941
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,17,0.067072,0.003417,0.236007,0.134144,0.584169,0.44064
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,18,0.068448,0.07675,0.235344,0.134144,0.65917,0.514686
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,19,0.067744,0.003495,0.231779,0.132096,0.579404,0.435114
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,0,0.167584,0.003975,0.762983,0.448512,1.53126,1.38305
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,1,0.16896,0.00404,0.737903,0.453632,1.51008,1.36453
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,2,0.163872,0.003941,0.735627,0.444416,1.49419,1.34786
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,3,0.16512,0.004053,0.735259,0.447488,1.49818,1.35192
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,4,0.169856,0.004138,0.736888,0.45056,1.50846,1.36144
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,5,0.165248,0.004063,0.73976,0.448512,1.50597,1.35758
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,6,0.171008,0.003993,0.73744,0.449536,1.50889,1.36198
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,7,0.167456,0.004019,0.739675,0.44544,1.50208,1.35659
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,8,0.169536,0.004022,0.742751,0.447488,1.50759,1.3638
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,9,0.169664,0.003981,0.739539,0.446464,1.50591,1.35965
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,10,0.166112,0.004035,0.737827,0.448512,1.56372,1.35649
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,11,0.166656,0.004497,0.748194,0.448512,1.51631,1.36786
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,12,0.169024,0.003996,0.735394,0.446464,1.50013,1.35488
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,13,0.169056,0.004065,0.736236,0.449536,1.50876,1.35889
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,14,0.166656,0.004041,0.734608,0.446464,1.49666,1.35177
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,15,0.1696,0.004373,0.736488,0.45056,1.5065,1.36102
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,16,0.165792,0.004259,0.735806,0.447488,1.49948,1.35334
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,17,0.168512,0.004034,0.738678,0.447488,1.50511,1.35871
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,18,0.1704,0.004043,0.734897,0.449536,1.50599,1.35888
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,19,0.164544,0.004052,0.739145,0.44544,1.50117,1.35318
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,0,0.366304,0.0041,1.86962,1.00045,3.38812,3.24047
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,1,0.365024,0.004429,1.83027,0.991232,3.34054,3.19095
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,2,0.359136,0.003413,1.82511,0.986112,3.31384,3.17378
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,3,0.360384,0.004265,1.82763,0.990208,3.32906,3.18249
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,4,0.359456,0.004065,1.82661,0.995328,3.33022,3.18546
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,5,0.368224,0.00399,1.83484,0.985088,3.33941,3.19214
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,6,0.363296,0.004004,1.82663,0.989184,3.33182,3.18311
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,7,0.362784,0.003443,1.82823,0.992256,3.32847,3.18671
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,8,0.363904,0.003323,1.82425,0.984064,3.31673,3.17554
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,9,0.366272,0.004061,1.83759,0.9984,3.35357,3.20633
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,10,0.365632,0.003484,1.83044,0.99328,3.33527,3.19284
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,11,0.364672,0.004331,1.8312,0.991232,3.33779,3.19144
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,12,0.36688,0.004061,1.82799,0.99328,3.34187,3.19221
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,13,0.405248,0.004368,1.83097,0.98816,3.37464,3.22875
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,14,0.368192,0.00357,1.83226,0.989184,3.33643,3.1932
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,15,0.366816,0.003486,1.82761,0.984064,3.32421,3.18198
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,16,0.366848,0.003849,1.94009,0.987136,3.44443,3.29792
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,17,0.368192,0.003699,1.82995,0.98816,3.33529,3.19
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,18,0.360128,0.004011,1.83045,0.996352,3.33808,3.19094
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",256,19,0.363904,0.003382,1.82504,0.99328,3.32648,3.18561
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",320,0,0.69264,0.003079,5.27205,1.91283,8.02132,7.8806
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",320,1,0.698848,0.003077,5.25732,1.90976,8.00847,7.86901
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",320,2,0.690912,0.003468,5.24906,1.91488,7.9973,7.85832
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",320,3,0.690688,0.003073,5.26456,1.91386,8.01084,7.87218
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",320,4,0.690912,0.003455,5.25401,1.91075,7.99913,7.85913
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",320,5,0.692352,0.003034,5.26139,1.9159,8.01093,7.87268
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",320,6,0.69024,0.003093,5.24581,1.91283,7.99147,7.85197
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",320,7,0.692704,0.003058,5.25326,1.92,8.00795,7.86902
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",320,8,0.691136,0.003076,5.25267,1.9159,8.00343,7.86279
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",320,9,0.697984,0.00307,5.26413,1.91795,8.02197,7.88314
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",320,10,0.69024,0.003405,5.24474,1.91181,7.99076,7.85019
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",320,11,0.690112,0.003104,5.25249,1.91181,7.99749,7.85752
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",320,12,0.691936,0.003679,5.24482,1.90259,7.98449,7.84303
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",320,13,0.69152,0.00308,5.24841,1.92,8.0022,7.86302
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",320,14,0.688896,0.003052,5.25516,1.91283,7.99838,7.85994
