dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,1,0.106432,0.004065,0.357224,0.103424,0.70767,0.571145
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,2,0.108128,0.004031,0.356646,0.105472,0.709141,0.574277
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,3,0.107296,0.003921,0.356527,0.105472,0.713372,0.573216
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,4,0.107488,0.004024,0.355272,0.100352,0.702928,0.567136
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,5,0.107872,0.004089,0.354774,0.104448,0.707024,0.571183
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,6,0.10672,0.003901,0.35698,0.11264,0.714776,0.580241
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,7,0.108576,0.004002,0.353022,0.104448,0.704865,0.570048
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,8,0.107168,0.003973,0.357361,0.101376,0.704902,0.569878
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,9,0.105952,0.004013,0.358386,0.103424,0.707719,0.571775
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,10,0.10688,0.004214,0.352242,0.105472,0.703543,0.568808
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,11,0.10656,0.004025,0.355294,0.101376,0.703214,0.567255
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,12,0.1064,0.004033,0.355007,0.104448,0.703831,0.569888
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,13,0.1072,0.003959,0.353995,0.103424,0.703431,0.568578
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,14,0.108512,0.003996,0.364637,0.103424,0.714975,0.580569
