dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,0,0.065792,0.003965,0.301534,0.141312,0.659467,0.512603
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,1,0.065472,0.003933,0.273718,0.144384,0.635424,0.487507
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,2,0.066368,0.003752,0.277785,0.134144,0.628573,0.482049
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,3,0.065216,0.003753,0.267315,0.132096,0.616252,0.46838
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,4,0.071232,0.003674,0.26272,0.134144,0.616854,0.47177
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,5,0.06944,0.00347,0.265328,0.132096,0.616363,0.470334
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,6,0.070816,0.003589,0.364385,0.134144,0.718935,0.572934
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,7,0.069856,0.003421,0.264795,0.132096,0.622818,0.470168
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,8,0.067712,0.003502,0.262897,0.129024,0.607192,0.463135
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,9,0.064576,0.003528,0.264904,0.13312,0.60875,0.466128
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,10,0.068544,0.003616,0.258916,0.13312,0.609254,0.464196
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,11,0.065696,0.003609,0.324858,0.132096,0.671745,0.526259
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,12,0.064736,0.003397,0.263668,0.131072,0.616109,0.462873
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,13,0.064544,0.003432,0.261215,0.129024,0.602221,0.458215
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,14,0.065504,0.003523,0.265492,0.132096,0.610393,0.466615
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,15,0.066048,0.003461,0.263681,0.13312,0.608427,0.46631
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,16,0.066016,0.003516,0.26069,0.13312,0.60671,0.463342
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,17,0.063904,0.003457,0.262105,0.134144,0.607719,0.46361
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,18,0.062624,0.003413,0.263279,0.132096,0.603784,0.461412
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",128,19,0.0712,0.003537,0.276887,0.130048,0.625417,0.481672
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,0,0.169536,0.004242,0.833806,0.442368,1.60286,1.44995
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,1,0.169056,0.003975,0.789391,0.432128,1.53999,1.39455
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,2,0.168928,0.003923,0.78774,0.4352,1.54263,1.39579
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,3,0.166016,0.004036,0.792828,0.439296,1.54702,1.40218
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,4,0.165824,0.003857,0.788135,0.438272,1.54251,1.39609
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,5,0.168832,0.003909,0.794026,0.436224,1.54879,1.40299
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,6,0.169568,0.003914,0.789805,0.434176,1.54284,1.39746
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,7,0.168512,0.003918,0.791945,0.438272,1.55059,1.40265
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,8,0.165824,0.00387,0.792036,0.433152,1.5418,1.39488
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,9,0.162432,0.003935,0.795684,0.436224,1.54378,1.39827
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,10,0.162304,0.003909,0.78966,0.437248,1.54092,1.39312
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,11,0.169632,0.00396,0.789461,0.437248,1.54631,1.4003
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,12,0.162048,0.003918,0.792295,0.434176,1.54001,1.39244
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,13,0.168704,0.003868,0.792793,0.432128,1.54755,1.39749
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,14,0.167296,0.003897,0.792945,0.441344,1.55244,1.40548
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,15,0.16608,0.003982,0.793454,0.4352,1.54441,1.39872
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,16,0.169504,0.004095,0.794361,0.432128,1.5478,1.40009
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,17,0.16688,0.003912,0.791165,0.439296,1.54828,1.40125
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,18,0.166848,0.003794,0.787558,0.431104,1.53413,1.3893
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",192,19,0.166848,0.003941,0.788928,0.442368,1.54653,1.40208
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,0,0.369632,0.00393,2.49342,0.978944,3.99402,3.84593
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,1,0.36128,0.003974,2.47586,0.973824,3.96398,3.81494
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,2,0.359936,0.003664,2.4663,0.974848,3.95042,3.80474
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,3,0.359232,0.003422,2.4514,0.968704,3.92712,3.78276
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,4,0.359552,0.003411,2.44812,0.969728,3.9256,3.78081
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,5,0.359168,0.00403,2.43903,0.974848,3.92617,3.77708
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,6,0.363168,0.003951,2.44833,0.973824,3.93765,3.78928
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,7,0.35888,0.003287,2.47451,0.96768,3.94454,3.80436
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,8,0.35984,0.003933,2.4771,0.971776,3.96059,3.81265
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,9,0.360736,0.003395,2.48464,0.974848,3.96662,3.82362
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,10,0.362336,0.004527,2.47894,0.970752,3.96681,3.81656
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,11,0.3608,0.003879,2.47745,0.968704,3.96192,3.81083
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,12,0.359776,0.004008,2.46889,0.971776,3.95392,3.80445
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,13,0.358016,0.003449,2.48237,0.975872,3.96381,3.8197
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,14,0.357952,0.004054,2.49313,0.976896,3.9835,3.83204
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,15,0.362976,0.003958,2.46973,0.975872,3.95874,3.81254
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,16,0.359328,0.003966,2.47876,0.979968,3.97239,3.82202
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,17,0.357344,0.003944,2.4801,0.969728,3.96068,3.81112
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,18,0.361888,0.003477,2.47918,0.966656,3.95399,3.8112
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",256,19,0.35808,0.003245,2.46211,0.966656,3.92865,3.79009
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,0,0.692576,0.002967,4.39689,1.88109,7.11269,6.97352
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,1,0.691168,0.0032,4.36341,1.87597,7.07201,6.93374
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,2,0.69168,0.00319,4.37352,1.87802,7.08273,6.94641
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,3,0.692192,0.002959,4.366,1.88211,7.07958,6.94327
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,4,0.691104,0.002981,4.35381,1.87699,7.06217,6.92489
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,5,0.689664,0.002953,4.35941,1.87597,7.06621,6.928
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,6,0.695104,0.003031,4.37019,1.87904,7.08676,6.94736
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,7,0.689696,0.003034,4.35534,1.87904,7.0638,6.92711
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,8,0.693408,0.003026,4.36117,1.87904,7.07305,6.93664
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,9,0.69216,0.003085,4.35993,1.8729,7.06865,6.92807
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,10,0.68896,0.003131,4.36047,1.87802,7.06864,6.93057
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,11,0.689856,0.003071,4.36019,1.87494,7.06593,6.92806
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,12,0.689088,0.0029,4.35922,1.88109,7.0714,6.9323
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,13,0.691552,0.002881,4.36214,1.87802,7.07202,6.93459
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,14,0.688512,0.002873,4.35423,1.87392,7.05782,6.91954
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,15,0.690592,0.003051,4.36492,1.87494,7.07133,6.93351
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,16,0.690272,0.002909,4.36019,1.88621,7.07645,6.93958
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,17,0.69056,0.003128,4.36953,1.8729,7.07513,6.93611
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,18,0.690688,0.002827,4.36472,1.87494,7.06957,6.93318
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",320,19,0.688864,0.003017,4.36726,1.87699,7.07421,6.93613
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,0,1.17894,0.003059,7.77971,3.24813,12.3512,12.2098
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,1,1.17866,0.002763,7.74606,3.25325,12.3204,12.1807
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,2,1.17904,0.002916,7.76264,3.2512,12.3362,12.1958
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,3,1.18003,0.003173,7.72938,3.24403,12.2955,12.1566
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,4,1.17846,0.002838,7.71219,3.24915,12.2829,12.1426
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,5,1.17843,0.002902,7.72424,3.25837,12.3045,12.1639
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,6,1.17744,0.002822,7.71113,3.24915,12.2803,12.1405
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,7,1.17741,0.003187,7.68927,3.2553,12.2658,12.1252
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,8,1.17872,0.002909,7.73155,3.24506,12.2987,12.1582
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,9,1.1807,0.00282,7.75257,3.24813,12.3196,12.1842
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,10,1.17888,0.002881,7.77326,3.25018,12.3429,12.2052
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,11,1.17619,0.002845,7.79339,3.24506,12.3593,12.2175
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,12,1.17917,0.00319,7.84288,3.26042,12.427,12.2857
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,13,1.1793,0.003145,7.80302,3.25325,12.3786,12.2387
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,14,1.17578,0.002911,7.78784,3.24915,12.3573,12.2157
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,15,1.17869,0.002815,7.77919,3.25837,12.3595,12.2191
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,16,1.17821,0.002894,7.77038,3.25427,12.3572,12.2058
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,17,1.18016,0.002787,7.73707,3.25632,12.3144,12.1763
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,18,1.17917,0.002901,7.71744,3.25018,12.2889,12.1497
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",384,19,1.17926,0.002829,7.80282,3.25018,12.3743,12.2351
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,0,1.87939,0.002829,15.8416,5.34323,23.2042,23.0671
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",448,1,1.87709,0.002705,15.7159,5.34938,23.0868,22.9451
