dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,GPU,"P | P | P | P",192,12,0.013664,0,0.02999,0.019456,0.128633,0.06311
2,float,uniform,GPU,"P | P | P | P",192,13,0.01296,0,0.029894,0.02048,0.128847,0.063334
2,float,uniform,GPU,"P | P | P | P",192,14,0.01296,0,0.029662,0.02048,0.129067,0.063102
2,float,uniform,GPU,"P | P | P | P",192,15,0.013856,0,0.029829,0.02048,0.129226,0.064165
2,float,uniform,GPU,"P | P | P | P",192,16,0.013728,0,0.029749,0.019456,0.128981,0.062933
2,float,uniform,GPU,"P | P | P | P",192,17,0.014016,0,0.029682,0.018432,0.128468,0.06213
2,float,uniform,GPU,"P | P | P | P",192,18,0.014688,0,0.029255,0.018432,0.129117,0.062375
2,float,uniform,GPU,"P | P | P | P",192,19,0.015072,0,0.029718,0.02048,0.130254,0.06527
2,float,uniform,GPU,"P | P | P | P",256,0,0.017056,0,0.034989,0.027648,0.158973,0.079693
2,float,uniform,GPU,"P | P | P | P",256,1,0.020384,0,0.029245,0.022528,0.146685,0.072157
2,float,uniform,GPU,"P | P | P | P",256,2,0.015328,0,0.028403,0.02048,0.140762,0.064211
2,float,uniform,GPU,"P | P | P | P",256,3,0.016672,0,0.02811,0.019456,0.1392,0.064238
2,float,uniform,GPU,"P | P | P | P",256,4,0.014272,0,0.027813,0.019456,0.130566,0.061541
2,float,uniform,GPU,"P | P | P | P",256,5,0.014592,0,0.028042,0.019456,0.137616,0.06209
2,float,uniform,GPU,"P | P | P | P",256,6,0.01472,0,0.028048,0.02048,0.137049,0.063248
2,float,uniform,GPU,"P | P | P | P",256,7,0.015008,0,0.027715,0.02048,0.137766,0.063203
2,float,uniform,GPU,"P | P | P | P",256,8,0.01472,0,0.02797,0.021472,0.138528,0.064162
2,float,uniform,GPU,"P | P | P | P",256,9,0.015264,0,0.030004,0.018432,0.143492,0.0637
2,float,uniform,GPU,"P | P | P | P",256,10,0.112768,0,0.027796,0.019456,0.23539,0.16002
2,float,uniform,GPU,"P | P | P | P",256,11,0.015104,0,0.028074,0.018432,0.137941,0.06161
2,float,uniform,GPU,"P | P | P | P",256,12,0.014496,0,0.027905,0.021504,0.137542,0.063905
2,float,uniform,GPU,"P | P | P | P",256,13,0.014016,0,0.027763,0.019456,0.137152,0.061235
2,float,uniform,GPU,"P | P | P | P",256,14,0.01408,0,0.027833,0.019456,0.136489,0.061369
2,float,uniform,GPU,"P | P | P | P",256,15,0.013984,0,0.027825,0.019456,0.136771,0.061265
2,float,uniform,GPU,"P | P | P | P",256,16,0.013824,0,0.027439,0.019456,0.139618,0.060719
2,float,uniform,GPU,"P | P | P | P",256,17,0.013408,0,0.027652,0.02048,0.136459,0.06154
2,float,uniform,GPU,"P | P | P | P",256,18,0.014624,0,0.028,0.019456,0.136833,0.06208
2,float,uniform,GPU,"P | P | P | P",256,19,0.01472,0,0.027953,0.02048,0.137861,0.063153
2,float,uniform,GPU,"P | P | P | P",320,0,0.021088,0,0.047878,0.034816,0.201207,0.103782
2,float,uniform,GPU,"P | P | P | P",320,1,0.021472,0,0.032203,0.023552,0.164621,0.077227
2,float,uniform,GPU,"P | P | P | P",320,2,0.023424,0,0.034499,0.021504,0.167407,0.079427
2,float,uniform,GPU,"P | P | P | P",320,3,0.023168,0,0.031399,0.019456,0.162025,0.074023
2,float,uniform,GPU,"P | P | P | P",320,4,0.024768,0,0.03168,0.021504,0.162597,0.077952
2,float,uniform,GPU,"P | P | P | P",320,5,0.024672,0,0.031563,0.02048,0.164551,0.076715
2,float,uniform,GPU,"P | P | P | P",320,6,0.02352,0,0.033121,0.02048,0.164115,0.077121
2,float,uniform,GPU,"P | P | P | P",320,7,0.014816,0,0.031457,0.02048,0.154553,0.066753
2,float,uniform,GPU,"P | P | P | P",320,8,0.023264,0,0.031719,0.02048,0.161854,0.075463
2,float,uniform,GPU,"P | P | P | P",320,9,0.024096,0,0.031665,0.02048,0.163966,0.076241
2,float,uniform,GPU,"P | P | P | P",320,10,0.02384,0,0.031182,0.02048,0.255733,0.075502
2,float,uniform,GPU,"P | P | P | P",320,11,0.023744,0,0.031365,0.019456,0.16186,0.074565
2,float,uniform,GPU,"P | P | P | P",320,12,0.023616,0,0.031386,0.021504,0.162282,0.076506
2,float,uniform,GPU,"P | P | P | P",320,13,0.023232,0,0.031735,0.02048,0.162732,0.075447
2,float,uniform,GPU,"P | P | P | P",320,14,0.01584,0,0.031465,0.022528,0.155922,0.069833
2,float,uniform,GPU,"P | P | P | P",320,15,0.023648,0,0.031767,0.022528,0.239232,0.077943
2,float,uniform,GPU,"P | P | P | P",320,16,0.025056,0,0.030867,0.019456,0.250172,0.075379
2,float,uniform,GPU,"P | P | P | P",320,17,0.02272,0,0.046083,0.02048,0.176397,0.089283
2,float,uniform,GPU,"P | P | P | P",320,18,0.023904,0,0.031295,0.019456,0.161924,0.074655
2,float,uniform,GPU,"P | P | P | P",320,19,0.022656,0,0.030913,0.02048,0.162437,0.074049
2,float,uniform,GPU,"P | P | P | P",384,0,0.02432,0,0.04438,0.028672,0.202789,0.097372
2,float,uniform,GPU,"P | P | P | P",384,1,0.022944,0,0.036095,0.024576,0.184733,0.083615
2,float,uniform,GPU,"P | P | P | P",384,2,0.018464,0,0.034635,0.022528,0.177926,0.075627
2,float,uniform,GPU,"P | P | P | P",384,3,0.01792,0,0.03478,0.022528,0.17675,0.075228
2,float,uniform,GPU,"P | P | P | P",384,4,0.019232,0,0.03494,0.022528,0.177502,0.0767
2,float,uniform,GPU,"P | P | P | P",384,5,0.018816,0,0.034492,0.021504,0.178408,0.074812
2,float,uniform,GPU,"P | P | P | P",384,6,0.018272,0,0.034826,0.022528,0.178011,0.075626
2,float,uniform,GPU,"P | P | P | P",384,7,0.018784,0,0.034986,0.02048,0.183427,0.07425
2,float,uniform,GPU,"P | P | P | P",384,8,0.020224,0,0.03498,0.021504,0.18122,0.076708
2,float,uniform,GPU,"P | P | P | P",384,9,0.01808,0,0.034986,0.022528,0.176634,0.075594
2,float,uniform,GPU,"P | P | P | P",384,10,0.01872,0,0.034658,0.021504,0.177488,0.074882
2,float,uniform,GPU,"P | P | P | P",384,11,0.01856,0,0.03525,0.021504,0.178067,0.075314
2,float,uniform,GPU,"P | P | P | P",384,12,0.019424,0,0.034918,0.022528,0.177869,0.07687
2,float,uniform,GPU,"P | P | P | P",384,13,0.017536,0,0.034395,0.021504,0.176578,0.073435
2,float,uniform,GPU,"P | P | P | P",384,14,0.018208,0,0.03451,0.021504,0.176507,0.074222
