dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | N | D",64,0,0.643744,0.004159,0.107728,0.439296,1.30931,1.19493
3,float,uniform,CPU,"P | P | P | P | N | D",64,1,0.667616,0.004045,0.06267,0.0256,0.830903,0.759931
3,float,uniform,CPU,"P | P | P | P | N | D",64,2,0.603488,0.003756,0.05662,0.022528,0.755713,0.686392
3,float,uniform,CPU,"P | P | P | P | N | D",64,3,0.601472,0.00372,0.056789,0.022528,0.754554,0.684509
3,float,uniform,CPU,"P | P | P | P | N | D",64,4,0.600832,0.003838,0.055656,0.023552,0.752723,0.683878
3,float,uniform,CPU,"P | P | P | P | N | D",64,5,0.602816,0.003753,0.055362,0.024576,0.753096,0.686507
3,float,uniform,CPU,"P | P | P | P | N | D",64,6,0.60176,0.003699,0.054757,0.023552,0.753883,0.683768
3,float,uniform,CPU,"P | P | P | P | N | D",64,7,0.59376,0.003659,0.054637,0.023552,0.743693,0.675608
3,float,uniform,CPU,"P | P | P | P | N | D",64,8,0.5936,0.003686,0.054801,0.023552,0.74472,0.675639
3,float,uniform,CPU,"P | P | P | P | N | D",64,9,0.594144,0.003751,0.054762,0.022528,0.745337,0.675185
3,float,uniform,CPU,"P | P | P | P | N | D",64,10,0.59648,0.00379,0.059116,0.023552,0.75204,0.682938
3,float,uniform,CPU,"P | P | P | P | N | D",64,11,0.597088,0.00374,0.055351,0.023552,0.748099,0.679731
3,float,uniform,CPU,"P | P | P | P | N | D",64,12,0.59616,0.003795,0.055505,0.023552,0.747081,0.679012
3,float,uniform,CPU,"P | P | P | P | N | D",64,13,0.601088,0.003748,0.055515,0.023552,0.75391,0.683903
3,float,uniform,CPU,"P | P | P | P | N | D",64,14,0.687168,0.003718,0.055129,0.024576,0.838436,0.770591
3,float,uniform,CPU,"P | P | P | P | N | D",64,15,0.654912,0.003748,0.054586,0.023552,0.8056,0.736798
3,float,uniform,CPU,"P | P | P | P | N | D",64,16,0.596032,0.003597,0.054167,0.023552,0.744252,0.677348
3,float,uniform,CPU,"P | P | P | P | N | D",64,17,0.602112,0.003669,0.05398,0.022528,0.750601,0.682289
3,float,uniform,CPU,"P | P | P | P | N | D",64,18,0.594944,0.003688,0.054722,0.0256,0.746779,0.678954
3,float,uniform,CPU,"P | P | P | P | N | D",64,19,0.591648,0.003781,0.055901,0.026624,0.746713,0.677954
3,float,uniform,CPU,"P | P | P | P | N | D",128,0,3.30627,0.004202,0.328238,0.150528,3.88802,3.78924
3,float,uniform,CPU,"P | P | P | P | N | D",128,1,3.31526,0.004047,0.284982,0.134144,3.81186,3.73844
3,float,uniform,CPU,"P | P | P | P | N | D",128,2,3.39453,0.004044,0.285592,0.131072,3.89018,3.81524
3,float,uniform,CPU,"P | P | P | P | N | D",128,3,3.46426,0.004005,0.278669,0.130048,3.9514,3.87698
3,float,uniform,CPU,"P | P | P | P | N | D",128,4,3.39389,0.003913,0.281083,0.135168,3.89194,3.81405
3,float,uniform,CPU,"P | P | P | P | N | D",128,5,3.41555,0.004126,0.284764,0.134144,3.91225,3.83859
3,float,uniform,CPU,"P | P | P | P | N | D",128,6,3.51539,0.003888,0.280453,0.132096,4.00678,3.93183
3,float,uniform,CPU,"P | P | P | P | N | D",128,7,3.34758,0.003952,0.28008,0.131072,3.83828,3.76269
3,float,uniform,CPU,"P | P | P | P | N | D",128,8,3.44448,0.003907,0.286624,0.132096,3.94138,3.86711
3,float,uniform,CPU,"P | P | P | P | N | D",128,9,3.3359,0.004036,0.383473,0.131072,3.92774,3.85449
3,float,uniform,CPU,"P | P | P | P | N | D",128,10,3.45872,0.003889,0.27972,0.132096,3.94707,3.87443
3,float,uniform,CPU,"P | P | P | P | N | D",128,11,3.33859,0.003879,0.280083,0.131072,3.82621,3.75363
3,float,uniform,CPU,"P | P | P | P | N | D",128,12,3.43936,0.003767,0.282003,0.132096,3.93191,3.85723
3,float,uniform,CPU,"P | P | P | P | N | D",128,13,3.43472,0.003902,0.281917,0.134144,3.92964,3.85468
3,float,uniform,CPU,"P | P | P | P | N | D",128,14,3.42269,0.003797,0.280111,0.134144,3.91239,3.84074
3,float,uniform,CPU,"P | P | P | P | N | D",128,15,3.31302,0.003844,0.283058,0.132096,3.80504,3.73202
3,float,uniform,CPU,"P | P | P | P | N | D",128,16,3.37101,0.00372,0.280826,0.13312,3.86104,3.78867
3,float,uniform,CPU,"P | P | P | P | N | D",128,17,3.41376,0.003811,0.280328,0.13312,3.90474,3.83102
3,float,uniform,CPU,"P | P | P | P | N | D",128,18,3.41411,0.003879,0.280127,0.132096,3.90761,3.83021
3,float,uniform,CPU,"P | P | P | P | N | D",128,19,3.42493,0.003785,0.280115,0.134144,3.91457,3.84297
3,float,uniform,CPU,"P | P | P | P | N | D",192,0,12.0684,0.00416,0.858905,0.439296,13.4709,13.3707
3,float,uniform,CPU,"P | P | P | P | N | D",192,1,11.9517,0.004216,0.833324,0.4352,13.3178,13.2245
3,float,uniform,CPU,"P | P | P | P | N | D",192,2,12.0856,0.004179,0.832881,0.4352,13.451,13.3579
3,float,uniform,CPU,"P | P | P | P | N | D",192,3,11.8549,0.004296,0.833125,0.44032,13.2244,13.1326
3,float,uniform,CPU,"P | P | P | P | N | D",192,4,11.7703,0.004385,0.831176,0.436224,13.1372,13.0421
3,float,uniform,CPU,"P | P | P | P | N | D",192,5,11.8652,0.004187,0.830491,0.437248,13.2306,13.1371
3,float,uniform,CPU,"P | P | P | P | N | D",192,6,12.0217,0.004228,0.832669,0.436224,13.3852,13.2948
3,float,uniform,CPU,"P | P | P | P | N | D",192,7,11.9747,0.004166,0.832501,0.434176,13.3356,13.2455
3,float,uniform,CPU,"P | P | P | P | N | D",192,8,12.0451,0.004135,0.835131,0.436224,13.4129,13.3206
3,float,uniform,CPU,"P | P | P | P | N | D",192,9,11.8591,0.004189,0.828671,0.434176,13.2174,13.1261
3,float,uniform,CPU,"P | P | P | P | N | D",192,10,11.9751,0.004313,0.826689,0.437248,13.3357,13.2434
3,float,uniform,CPU,"P | P | P | P | N | D",192,11,11.9515,0.004208,0.834645,0.431104,13.3128,13.2214
3,float,uniform,CPU,"P | P | P | P | N | D",192,12,11.8781,0.004245,0.834093,0.4352,13.2431,13.1516
3,float,uniform,CPU,"P | P | P | P | N | D",192,13,12.0164,0.004167,0.833011,0.436224,13.3807,13.2898
3,float,uniform,CPU,"P | P | P | P | N | D",192,14,11.9454,0.00429,0.827985,0.433152,13.3001,13.2109
3,float,uniform,CPU,"P | P | P | P | N | D",192,15,12.0162,0.004433,0.833359,0.4352,13.3782,13.2892
3,float,uniform,CPU,"P | P | P | P | N | D",192,16,12.0815,0.004201,0.829373,0.433152,13.4398,13.3482
3,float,uniform,CPU,"P | P | P | P | N | D",192,17,11.9027,0.004249,0.831556,0.434176,13.266,13.1727
3,float,uniform,CPU,"P | P | P | P | N | D",192,18,11.9557,0.004245,0.83516,0.434176,13.3189,13.2293
3,float,uniform,CPU,"P | P | P | P | N | D",192,19,12.0601,0.004235,0.834231,0.437248,13.4278,13.3358
3,float,uniform,CPU,"P | P | P | P | N | D",256,0,28.3951,0.003907,2.02114,0.976896,31.4899,31.3971
3,float,uniform,CPU,"P | P | P | P | N | D",256,1,28.2617,0.003875,1.97446,0.971776,31.3077,31.2118
3,float,uniform,CPU,"P | P | P | P | N | D",256,2,28.5254,0.00383,1.97443,0.968704,31.5662,31.4723
3,float,uniform,CPU,"P | P | P | P | N | D",256,3,36.4809,0.003385,1.97506,0.971776,39.5273,39.4311
3,float,uniform,CPU,"P | P | P | P | N | D",256,4,29.8302,0.00398,1.97548,0.968704,32.8728,32.7783
3,float,uniform,CPU,"P | P | P | P | N | D",256,5,28.0204,0.003424,1.97286,0.973824,31.0569,30.9705
