dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,0,0.037408,0.004194,0.091669,0.381952,0.655344,0.515223
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,1,0.029152,0.003791,0.063537,0.017408,0.247356,0.113888
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,2,0.02736,0.003701,0.06521,0.01536,0.246978,0.111631
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,3,0.027424,0.003676,0.055915,0.01536,0.236159,0.102375
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,4,0.023968,0.003746,0.05541,0.01536,0.23501,0.098484
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,5,0.025536,0.00368,0.055205,0.01536,0.234278,0.099781
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,6,0.027616,0.003571,0.055092,0.016384,0.236177,0.102663
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,7,0.025856,0.003596,0.054775,0.016384,0.233973,0.100611
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,8,0.026112,0.003736,0.055618,0.01536,0.234147,0.100826
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,9,0.026464,0.003725,0.064578,0.017408,0.247287,0.112175
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,10,0.027808,0.003648,0.056036,0.01536,0.237238,0.102852
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,11,0.026848,0.003676,0.054417,0.01536,0.235133,0.100301
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,12,0.025504,0.003686,0.054427,0.016384,0.233544,0.100001
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,13,0.025536,0.003677,0.055834,0.014336,0.234372,0.099383
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,14,0.025824,0.003658,0.054121,0.01536,0.232306,0.098963
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,15,0.02544,0.003624,0.054934,0.016384,0.23457,0.100382
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,16,0.026528,0.003635,0.055405,0.016384,0.237579,0.101952
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,17,0.02576,0.003649,0.054122,0.01536,0.233307,0.098891
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,18,0.026784,0.003707,0.146936,0.01536,0.328205,0.192787
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,19,0.025696,0.00359,0.055727,0.01536,0.234384,0.100373
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,0,0.069312,0.004227,0.22835,0.073728,0.52244,0.375617
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,1,0.071712,0.003909,0.276621,0.064512,0.554462,0.416754
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,2,0.069952,0.003778,0.190293,0.064512,0.463931,0.328535
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,3,0.067232,0.003764,0.189948,0.06656,0.463358,0.327504
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,4,0.069728,0.003855,0.192863,0.063488,0.466588,0.329934
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,5,0.06752,0.004156,0.185844,0.063488,0.456472,0.321008
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,6,0.066848,0.003796,0.185985,0.063488,0.457097,0.320117
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,7,0.066976,0.003763,0.183437,0.063488,0.449498,0.317664
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,8,0.065984,0.003707,0.185601,0.063488,0.452658,0.31878
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,9,0.06752,0.003724,0.185532,0.063488,0.453375,0.320264
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,10,0.068256,0.003724,0.192654,0.065536,0.466165,0.33017
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,11,0.067776,0.003677,0.184883,0.063488,0.453311,0.319824
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,12,0.066496,0.003716,0.185913,0.063488,0.455211,0.319613
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,13,0.067584,0.003688,0.18332,0.063488,0.458574,0.31808
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,14,0.066112,0.00362,0.185087,0.064512,0.458555,0.319331
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,15,0.067552,0.003752,0.186324,0.064512,0.455535,0.32214
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,16,0.067552,0.003623,0.185744,0.06656,0.456608,0.323479
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,17,0.067648,0.003678,0.184729,0.063488,0.453001,0.319543
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,18,0.06784,0.003668,0.184122,0.063488,0.456839,0.319118
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,19,0.067104,0.00376,0.185659,0.063488,0.455051,0.320011
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,0,0.167136,0.003823,0.649822,0.22528,1.17972,1.04606
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,1,0.16736,0.003808,0.594433,0.217088,1.11605,0.982689
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,2,0.164,0.003754,0.595288,0.219136,1.11494,0.982178
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,3,0.16416,0.003735,0.602605,0.229376,1.13397,0.999876
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,4,0.165888,0.004084,0.606866,0.214016,1.1267,0.990854
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,5,0.169376,0.003783,0.602705,0.217088,1.12763,0.992952
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,6,0.162624,0.003744,0.608099,0.217088,1.12473,0.991555
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,7,0.1688,0.003813,0.607765,0.21504,1.12937,0.995418
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,8,0.167936,0.003697,0.604847,0.217088,1.13044,0.993568
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,9,0.16912,0.003729,0.605164,0.22016,1.13099,0.998173
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,10,0.168864,0.004364,0.613091,0.21504,1.13549,1.00136
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,11,0.163456,0.003792,0.605037,0.216064,1.12055,0.988349
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,12,0.162304,0.003807,0.609481,0.21504,1.12305,0.990632
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,13,0.162112,0.00429,0.603749,0.216064,1.12148,0.986215
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,14,0.168096,0.003667,0.601646,0.217088,1.12367,0.990497
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,15,0.169152,0.003845,0.608861,0.219136,1.13664,1.00099
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,16,0.17072,0.00383,0.608344,0.216064,1.13314,0.998958
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,17,0.170496,0.003709,0.604229,0.217088,1.12797,0.995522
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,18,0.162912,0.003752,0.604202,0.218112,1.1236,0.988978
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,19,0.169984,0.003647,0.599669,0.218112,1.12477,0.991412
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,0,0.369824,0.003876,1.57222,0.519168,2.60452,2.46509
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,1,0.362048,0.003606,1.52295,0.505856,2.53245,2.39446
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,2,0.365536,0.002975,1.52387,0.507904,2.53545,2.40028
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,3,0.3648,0.003219,1.51972,0.512,2.53343,2.39974
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,4,0.363008,0.003599,1.52552,0.508928,2.54073,2.40105
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,5,0.362656,0.003556,1.51363,0.513024,2.52757,2.39286
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,6,0.36496,0.003765,1.52426,0.507904,2.53944,2.40089
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,7,0.36,0.00327,1.52258,0.516096,2.54031,2.40194
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,8,0.364128,0.003805,1.51623,0.510976,2.53371,2.39514
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,9,0.36096,0.003204,1.51973,0.512,2.53177,2.3959
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,10,0.359936,0.003342,1.53154,0.512,2.5414,2.40682
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,11,0.361952,0.003713,1.5291,0.510976,2.54385,2.40574
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,12,0.366432,0.003662,1.52655,0.51712,2.55088,2.41377
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,13,0.360512,0.003074,1.52222,0.509952,2.53992,2.39576
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,14,0.362176,0.003759,1.52694,0.512,2.54209,2.40487
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,15,0.361568,0.003725,1.52298,0.510976,2.56576,2.39925
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,16,0.361152,0.003094,1.51735,0.518144,2.53204,2.39974
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,17,0.363232,0.003806,1.52364,0.515072,2.54392,2.40575
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,18,0.36416,0.003334,1.51945,0.505856,2.52954,2.3928
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",256,19,0.364832,0.003766,1.52502,0.509952,2.54339,2.40357
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,0,0.695744,0.003086,4.63243,0.93696,6.39642,6.26822
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,1,0.693216,0.002845,4.6072,0.943104,6.37852,6.24637
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,2,0.691424,0.002914,4.59487,0.94208,6.3638,6.23128
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,3,0.691424,0.002905,4.60408,0.93184,6.36304,6.23025
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,4,0.69168,0.002792,4.61123,0.93696,6.3776,6.24266
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,5,0.69248,0.002798,4.60489,0.935936,6.3694,6.2361
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,6,0.689824,0.002773,4.60335,0.93696,6.36511,6.23291
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,7,0.689024,0.002944,4.60872,0.930816,6.36418,6.23151
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,8,0.691648,0.003179,4.60392,0.932864,6.36276,6.23162
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,9,0.69072,0.002819,4.59745,0.929792,6.35161,6.22078
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,10,0.691168,0.002869,4.61209,0.93184,6.36924,6.23796
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,11,1.40794,0.004573,4.88358,0.93184,7.87483,7.22793
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,12,0.697472,0.002634,4.60196,0.932864,6.36677,6.23493
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,13,0.689376,0.002649,4.60337,0.940032,6.36882,6.23543
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,14,0.690976,0.002918,4.59674,0.935936,6.35915,6.22657
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,15,0.690464,0.002692,4.5992,0.935936,6.36049,6.22829
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,16,0.690752,0.002705,4.6159,0.934912,6.37648,6.24427
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,17,0.68816,0.002731,4.6003,0.934912,6.35903,6.2261
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",320,18,0.690912,0.002722,4.60248,0.94208,6.3716,6.2382
