dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,0,1.10656,0.003882,0.130906,0.45568,1.81244,1.69703
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,1,0.999584,0.003713,0.088378,0.032768,1.19555,1.12444
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,2,1.05456,0.003578,0.075983,0.027648,1.23243,1.16177
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,3,0.992608,0.003329,0.074368,0.028672,1.16723,1.09898
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,4,0.984416,0.00335,0.073686,0.026624,1.15769,1.08808
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,5,0.991424,0.003483,0.074403,0.027648,1.16791,1.09696
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,6,0.988288,0.003395,0.073933,0.034816,1.16838,1.10043
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,7,1.04909,0.003499,0.073046,0.027648,1.22253,1.15328
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,8,1,0.0035,0.073907,0.028672,1.17341,1.10608
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,9,1.00051,0.003497,0.073627,0.027648,1.17357,1.10528
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,10,0.994688,0.003428,0.072701,0.027648,1.16762,1.09846
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,11,0.994848,0.003386,0.072756,0.027648,1.16681,1.09864
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,12,0.987936,0.003479,0.075054,0.026624,1.20954,1.09309
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,13,0.988096,0.003376,0.073363,0.026624,1.16688,1.09146
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,14,0.992032,0.003403,0.073846,0.028672,1.16515,1.09795
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,15,0.988928,0.003444,0.074007,0.0256,1.16106,1.09198
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,16,1.05731,0.003434,0.073678,0.027648,1.22956,1.16207
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,17,1.06883,0.003332,0.077666,0.0256,1.24497,1.17543
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,18,0.988192,0.003337,0.07368,0.026624,1.16081,1.09183
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,19,0.9808,0.003476,0.073634,0.028672,1.15198,1.08658
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,0,6.91334,0.003779,0.507135,0.251904,7.76751,7.67616
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,1,6.96333,0.00363,0.453888,0.241664,7.74319,7.66251
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,2,7.01827,0.00371,0.453075,0.241664,7.79482,7.71672
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,3,7.01821,0.003705,0.459437,0.242688,7.80384,7.72404
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,4,7.0712,0.003801,0.455007,0.241664,7.84982,7.77167
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,5,6.97715,0.003798,0.451094,0.241664,7.75236,7.67371
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,6,7.08995,0.003621,0.455325,0.242688,7.87683,7.79159
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,7,7.00813,0.003804,0.451736,0.238592,7.78271,7.70226
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,8,7.10819,0.00354,0.468346,0.238592,7.90232,7.81867
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,9,6.94317,0.003669,0.464569,0.242688,7.73498,7.65409
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,10,7.06173,0.003697,0.470015,0.241664,7.85992,7.7771
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,11,6.96733,0.00398,0.472948,0.242688,7.7716,7.68694
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,12,6.90992,0.003945,0.471092,0.242688,7.71157,7.62764
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,13,6.8959,0.004052,0.473597,0.244736,7.69974,7.61829
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,14,6.9905,0.003834,0.471857,0.239616,7.78737,7.7058
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,15,7.09149,0.003842,0.475153,0.241664,7.89185,7.81215
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,16,6.95622,0.003768,0.465356,0.239584,7.74473,7.66493
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,17,6.91578,0.003773,0.472453,0.241664,7.71309,7.63367
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,18,6.90262,0.004019,0.470108,0.241664,7.70009,7.61841
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,19,6.92682,0.004027,0.470337,0.239616,7.72316,7.6408
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,0,24.0736,0.004233,1.40963,0.751616,26.3389,26.239
