dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,0,1.06224,0,0.113529,0.381952,1.65576,1.55772
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,1,0.97104,0,0.068258,0.017408,1.11571,1.05671
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,2,1.02826,0,0.062729,0.018432,1.16361,1.10942
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,3,1.02618,0,0.064314,0.016384,1.16276,1.10687
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,4,0.963872,0,0.0635,0.01536,1.09684,1.04273
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,5,0.955552,0,0.180253,0.016384,1.20625,1.15219
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,6,0.960032,0,0.062544,0.016384,1.09352,1.03896
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,7,1.01779,0,0.062518,0.017408,1.15084,1.09772
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,8,1.01686,0,0.063591,0.016384,1.15028,1.09684
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,9,0.966816,0,0.062468,0.016384,1.09813,1.04567
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,10,0.954528,0,0.062125,0.01536,1.08568,1.03201
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,11,0.95712,0,0.062825,0.016384,1.0892,1.03633
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,12,1.02518,0,0.062965,0.01536,1.15712,1.10351
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,13,1.05978,0,0.062411,0.016384,1.19174,1.13857
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,14,0.964512,0,0.061996,0.016384,1.09577,1.04289
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,15,0.96576,0,0.062251,0.016384,1.09817,1.04439
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,16,0.958368,0,0.062627,0.016384,1.09015,1.03738
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,17,1.00371,0,0.0623,0.016384,1.13474,1.0824
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,18,1.0552,0,0.062844,0.01536,1.18781,1.1334
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,19,0.96592,0,0.062767,0.017408,1.09887,1.0461
