dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,0.046752,0.005799,0.069811,0.136192,0.624597,0.258554
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,0.026816,0.003802,0.052735,0.026624,0.345607,0.109977
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,0.026816,0.003648,0.042947,0.026624,0.264927,0.100035
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,0.029536,0.003688,0.042019,0.026624,0.26556,0.101867
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,0.026656,0.003659,0.042855,0.026624,0.26477,0.099794
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,0.031168,0.003657,0.041887,0.0256,0.266179,0.102312
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,0.026496,0.003729,0.044815,0.0256,0.265245,0.10064
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,0.030464,0.003752,0.041929,0.0256,0.267202,0.101745
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,0.025824,0.003793,0.042623,0.027648,0.263722,0.099888
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,0.029504,0.003768,0.041568,0.026624,0.265627,0.101464
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,0.026848,0.003796,0.041368,0.027648,0.263897,0.09966
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,0.02912,0.003779,0.042077,0.0256,0.266593,0.100576
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,0.026336,0.00374,0.042037,0.026624,0.26263,0.098737
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,0.028864,0.003745,0.042179,0.026624,0.266098,0.101412
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,0.025696,0.003671,0.042027,0.026624,0.262028,0.098018
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,15,0.028896,0.003731,0.042095,0.026624,0.26601,0.101346
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,16,0.026912,0.003738,0.043747,0.024576,0.270314,0.098973
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,17,0.029856,0.003725,0.041854,0.027648,0.266521,0.103083
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,18,0.027552,0.003791,0.041393,0.026624,0.263505,0.09936
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,19,0.029056,0.003721,0.04271,0.026624,0.26658,0.102111
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,0,0.106336,0.003761,0.244196,0.11264,0.817862,0.466933
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,1,0.104032,0.003787,0.219646,0.110592,0.778155,0.438057
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,2,0.107264,0.003898,0.218568,0.110592,0.778631,0.440322
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,3,0.10848,0.00368,0.220067,0.113664,0.784358,0.445891
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,4,0.106752,0.003749,0.218227,0.110592,0.77938,0.43932
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,5,0.109312,0.00398,0.220669,0.111616,0.787105,0.445577
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,6,0.106688,0.003658,0.220607,0.110592,0.787466,0.441545
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,7,0.104704,0.003783,0.221936,0.113664,0.782177,0.444087
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,8,0.106144,0.003702,0.219719,0.110592,0.783856,0.440157
