dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"N | D | N | N | N | N",64,0,1.06925,0.004256,0.143289,0.37888,1.70123,1.59567
3,double,uniform,CPU,"N | D | N | N | N | N",64,1,0.984256,0.003793,0.095357,0.018432,1.16431,1.10184
3,double,uniform,CPU,"N | D | N | N | N | N",64,2,1.02909,0.003638,0.090238,0.016384,1.19924,1.13935
3,double,uniform,CPU,"N | D | N | N | N | N",64,3,1.06765,0.003681,0.089128,0.017408,1.23612,1.17787
3,double,uniform,CPU,"N | D | N | N | N | N",64,4,0.985312,0.003576,0.090032,0.017408,1.15473,1.09633
3,double,uniform,CPU,"N | D | N | N | N | N",64,5,0.987328,0.003505,0.089978,0.016384,1.15507,1.0972
3,double,uniform,CPU,"N | D | N | N | N | N",64,6,0.979872,0.003729,0.156235,0.016384,1.21641,1.15622
3,double,uniform,CPU,"N | D | N | N | N | N",64,7,0.986848,0.003537,0.089132,0.017408,1.15548,1.09693
3,double,uniform,CPU,"N | D | N | N | N | N",64,8,0.992224,0.003629,0.088476,0.01536,1.16051,1.09969
3,double,uniform,CPU,"N | D | N | N | N | N",64,9,0.987328,0.003623,0.092078,0.017408,1.16048,1.10044
3,double,uniform,CPU,"N | D | N | N | N | N",64,10,0.972448,0.003782,0.089204,0.017408,1.19299,1.08284
3,double,uniform,CPU,"N | D | N | N | N | N",64,11,0.97216,0.003566,0.088831,0.016384,1.1397,1.08094
3,double,uniform,CPU,"N | D | N | N | N | N",64,12,1.08227,0.003568,0.088002,0.016384,1.24975,1.19023
3,double,uniform,CPU,"N | D | N | N | N | N",64,13,0.995904,0.003587,0.089133,0.014336,1.16266,1.10296
3,double,uniform,CPU,"N | D | N | N | N | N",64,14,0.98368,0.003587,0.089109,0.016384,1.14986,1.09276
3,double,uniform,CPU,"N | D | N | N | N | N",64,15,0.97568,0.003553,0.088746,0.016384,1.14251,1.08436
3,double,uniform,CPU,"N | D | N | N | N | N",64,16,0.979264,0.003604,0.088839,0.01536,1.14632,1.08707
3,double,uniform,CPU,"N | D | N | N | N | N",64,17,1.04589,0.003568,0.089029,0.016384,1.21354,1.15487
3,double,uniform,CPU,"N | D | N | N | N | N",64,18,1.00013,0.003692,0.088305,0.016384,1.16918,1.10851
3,double,uniform,CPU,"N | D | N | N | N | N",64,19,0.995008,0.003596,0.089355,0.017408,1.16355,1.10537
3,double,uniform,CPU,"N | D | N | N | N | N",128,0,6.84982,0.004034,1.25428,0.120832,8.31483,8.22897
3,double,uniform,CPU,"N | D | N | N | N | N",128,1,6.90003,0.004326,1.21844,0.113664,8.30993,8.23646
3,double,uniform,CPU,"N | D | N | N | N | N",128,2,7.07933,0.003887,1.23966,0.11264,8.50747,8.43551
3,double,uniform,CPU,"N | D | N | N | N | N",128,3,6.8777,0.003882,1.2425,0.11264,8.30894,8.23672
3,double,uniform,CPU,"N | D | N | N | N | N",128,4,7.01392,0.00406,1.2346,0.11776,8.44383,8.37033
3,double,uniform,CPU,"N | D | N | N | N | N",128,5,6.9641,0.003868,1.23504,0.113664,8.38668,8.31667
3,double,uniform,CPU,"N | D | N | N | N | N",128,6,7.01469,0.003942,1.23222,0.111616,8.43263,8.36247
3,double,uniform,CPU,"N | D | N | N | N | N",128,7,6.95933,0.003851,1.23104,0.113664,8.37861,8.30788
3,double,uniform,CPU,"N | D | N | N | N | N",128,8,6.91302,0.004048,1.23377,0.114688,8.33828,8.26553
