dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"D | N",64,0,0.057248,0,0.075428,0.365568,0.591099,0.498244
1,double,uniform,CPU,"D | N",64,1,0.05872,0,0.03084,0.016384,0.161841,0.105944
1,double,uniform,CPU,"D | N",64,2,0.028832,0,0.025716,0.014336,0.120489,0.068884
1,double,uniform,CPU,"D | N",64,3,0.026464,0,0.025614,0.014336,0.117504,0.066414
1,double,uniform,CPU,"D | N",64,4,0.024768,0,0.025338,0.013312,0.116823,0.063418
1,double,uniform,CPU,"D | N",64,5,0.02672,0,0.025996,0.014336,0.117291,0.067052
1,double,uniform,CPU,"D | N",64,6,0.025888,0,0.026225,0.013312,0.116791,0.065425
1,double,uniform,CPU,"D | N",64,7,0.025472,0,0.025661,0.011264,0.115285,0.062397
1,double,uniform,CPU,"D | N",64,8,0.026336,0,0.025785,0.013312,0.12227,0.065433
1,double,uniform,CPU,"D | N",64,9,0.02544,0,0.025784,0.011264,0.115133,0.062488
1,double,uniform,CPU,"D | N",64,10,0.026976,0,0.025594,0.013312,0.115745,0.065882
1,double,uniform,CPU,"D | N",64,11,0.032704,0,0.025469,0.012288,0.122588,0.070461
1,double,uniform,CPU,"D | N",64,12,0.025376,0,0.025611,0.012288,0.116014,0.063275
1,double,uniform,CPU,"D | N",64,13,0.026368,0,0.025187,0.012288,0.116115,0.063843
1,double,uniform,CPU,"D | N",64,14,0.109568,0,0.025356,0.012288,0.19845,0.147212
1,double,uniform,CPU,"D | N",64,15,0.025504,0,0.025122,0.013312,0.115386,0.063938
1,double,uniform,CPU,"D | N",64,16,0.027488,0,0.025219,0.012288,0.116208,0.064995
1,double,uniform,CPU,"D | N",64,17,0.025568,0,0.025488,0.012288,0.12136,0.063344
1,double,uniform,CPU,"D | N",64,18,0.02656,0,0.02512,0.013312,0.115181,0.064992
1,double,uniform,CPU,"D | N",64,19,0.02624,0,0.025074,0.013312,0.115135,0.064626
1,double,uniform,CPU,"D | N",128,0,0.03584,0,0.043662,0.019456,0.16096,0.098958
1,double,uniform,CPU,"D | N",128,1,0.030144,0,0.029187,0.01536,0.128486,0.074691
1,double,uniform,CPU,"D | N",128,2,0.02944,0,0.028188,0.014336,0.124862,0.071964
1,double,uniform,CPU,"D | N",128,3,0.026688,0,0.026495,0.013312,0.118587,0.066495
1,double,uniform,CPU,"D | N",128,4,0.027264,0,0.026899,0.013312,0.120341,0.067475
1,double,uniform,CPU,"D | N",128,5,0.02768,0,0.026666,0.013312,0.117898,0.067658
1,double,uniform,CPU,"D | N",128,6,0.026048,0,0.026201,0.014336,0.117301,0.066585
1,double,uniform,CPU,"D | N",128,7,0.025696,0,0.027063,0.013312,0.119287,0.066071
1,double,uniform,CPU,"D | N",128,8,0.027712,0,0.026813,0.012288,0.119068,0.066813
1,double,uniform,CPU,"D | N",128,9,0.027328,0,0.026213,0.012288,0.116294,0.065829
1,double,uniform,CPU,"D | N",128,10,0.028992,0,0.026253,0.013312,0.127321,0.068557
1,double,uniform,CPU,"D | N",128,11,0.027008,0,0.026668,0.013312,0.118101,0.066988
1,double,uniform,CPU,"D | N",128,12,0.0272,0,0.025601,0.011264,0.116256,0.064065
1,double,uniform,CPU,"D | N",128,13,0.02624,0,0.025832,0.018432,0.123904,0.070504
1,double,uniform,CPU,"D | N",128,14,0.026336,0,0.026701,0.012288,0.116409,0.065325
1,double,uniform,CPU,"D | N",128,15,0.02688,0,0.026025,0.012288,0.11703,0.065193
1,double,uniform,CPU,"D | N",128,16,0.025952,0,0.031685,0.01536,0.126464,0.072997
1,double,uniform,CPU,"D | N",128,17,0.026336,0,0.026581,0.014336,0.117272,0.067253
1,double,uniform,CPU,"D | N",128,18,0.025792,0,0.026942,0.013312,0.116683,0.066046
1,double,uniform,CPU,"D | N",128,19,0.026048,0,0.026036,0.012288,0.115937,0.064372
