dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"N | N",64,0,0.075776,0,0.047736,0.365568,0.575596,0.48908
1,double,uniform,GPU,"N | N",64,1,0.022528,0,0.025578,0.014336,0.11231,0.062442
1,double,uniform,GPU,"N | N",64,2,0.02048,0,0.022989,0.013312,0.103829,0.056781
1,double,uniform,GPU,"N | N",64,3,0.019456,0,0.023284,0.012288,0.102392,0.055028
1,double,uniform,GPU,"N | N",64,4,0.019456,0,0.022353,0.013312,0.102123,0.055121
1,double,uniform,GPU,"N | N",64,5,0.018432,0,0.022717,0.011264,0.10182,0.052413
1,double,uniform,GPU,"N | N",64,6,0.018432,0,0.022352,0.011264,0.101802,0.052048
1,double,uniform,GPU,"N | N",64,7,0.019456,0,0.02215,0.018432,0.107982,0.060038
1,double,uniform,GPU,"N | N",64,8,0.019456,0,0.022051,0.013312,0.101548,0.054819
1,double,uniform,GPU,"N | N",64,9,0.018432,0,0.021892,0.012288,0.101211,0.052612
1,double,uniform,GPU,"N | N",64,10,0.019456,0,0.02244,0.019456,0.108329,0.061352
1,double,uniform,GPU,"N | N",64,11,0.019456,0,0.022579,0.014336,0.101758,0.056371
1,double,uniform,GPU,"N | N",64,12,0.02048,0,0.021851,0.013312,0.1022,0.055643
1,double,uniform,GPU,"N | N",64,13,0.019456,0,0.022024,0.013344,0.100999,0.054824
1,double,uniform,GPU,"N | N",64,14,0.018432,0,0.022538,0.013312,0.100951,0.054282
1,double,uniform,GPU,"N | N",64,15,0.018432,0,0.022051,0.013312,0.100503,0.053795
1,double,uniform,GPU,"N | N",64,16,0.021504,0,0.022063,0.012288,0.101717,0.055855
1,double,uniform,GPU,"N | N",64,17,0.018432,0,0.022501,0.011264,0.100969,0.052197
1,double,uniform,GPU,"N | N",64,18,0.019456,0,0.025189,0.013312,0.106883,0.057957
1,double,uniform,GPU,"N | N",64,19,0.018432,0,0.022358,0.012288,0.100764,0.053078
1,double,uniform,GPU,"N | N",128,0,0.032768,0,0.046343,0.017408,0.157925,0.096519
1,double,uniform,GPU,"N | N",128,1,0.022528,0,0.035382,0.016384,0.12313,0.074294
1,double,uniform,GPU,"N | N",128,2,0.02048,0,0.034194,0.013312,0.116235,0.067986
1,double,uniform,GPU,"N | N",128,3,0.021504,0,0.034395,0.011264,0.115332,0.067163
1,double,uniform,GPU,"N | N",128,4,0.02048,0,0.034073,0.012288,0.117866,0.066841
1,double,uniform,GPU,"N | N",128,5,0.02048,0,0.03379,0.014336,0.115348,0.068606
1,double,uniform,GPU,"N | N",128,6,0.018432,0,0.03336,0.014336,0.114045,0.066128
1,double,uniform,GPU,"N | N",128,7,0.019456,0,0.033886,0.012288,0.114729,0.06563
1,double,uniform,GPU,"N | N",128,8,0.02048,0,0.033925,0.012288,0.11421,0.066693
1,double,uniform,GPU,"N | N",128,9,0.019456,0,0.033758,0.014336,0.116713,0.06755
1,double,uniform,GPU,"N | N",128,10,0.0256,0,0.033131,0.012288,0.118217,0.071019
1,double,uniform,GPU,"N | N",128,11,0.018432,0,0.033567,0.012288,0.117041,0.064287
1,double,uniform,GPU,"N | N",128,12,0.019456,0,0.033218,0.011264,0.112828,0.063938
1,double,uniform,GPU,"N | N",128,13,0.02048,0,0.033542,0.095232,0.19648,0.149254
1,double,uniform,GPU,"N | N",128,14,0.019456,0,0.033743,0.011264,0.116016,0.064463
1,double,uniform,GPU,"N | N",128,15,0.019456,0,0.033179,0.011264,0.111855,0.063899
1,double,uniform,GPU,"N | N",128,16,0.019456,0,0.033401,0.013312,0.112379,0.066169
1,double,uniform,GPU,"N | N",128,17,0.018432,0,0.033794,0.011264,0.112375,0.06349
1,double,uniform,GPU,"N | N",128,18,0.019456,0,0.034058,0.011264,0.113626,0.064778
1,double,uniform,GPU,"N | N",128,19,0.018432,0,0.036071,0.012288,0.115776,0.066791
1,double,uniform,GPU,"N | N",192,0,0.034816,0,0.053171,0.027648,0.184518,0.115635
1,double,uniform,GPU,"N | N",192,1,0.02048,0,0.035615,0.01536,0.120788,0.071455
1,double,uniform,GPU,"N | N",192,2,0.02048,0,0.035519,0.01536,0.120072,0.071359
1,double,uniform,GPU,"N | N",192,3,0.019456,0,0.035023,0.013312,0.116384,0.067791
1,double,uniform,GPU,"N | N",192,4,0.02048,0,0.035682,0.011264,0.116614,0.067426
1,double,uniform,GPU,"N | N",192,5,0.019456,0,0.034569,0.019456,0.121972,0.073481
1,double,uniform,GPU,"N | N",192,6,0.019456,0,0.035078,0.011264,0.114794,0.065798
1,double,uniform,GPU,"N | N",192,7,0.019456,0,0.037833,0.013312,0.11963,0.070601
1,double,uniform,GPU,"N | N",192,8,0.019456,0,0.036447,0.012288,0.11842,0.068191
1,double,uniform,GPU,"N | N",192,9,0.019456,0,0.035897,0.012288,0.201543,0.067641
1,double,uniform,GPU,"N | N",192,10,0.019456,0,0.034268,0.013312,0.114915,0.067036
1,double,uniform,GPU,"N | N",192,11,0.021504,0,0.034859,0.013312,0.11547,0.069675
1,double,uniform,GPU,"N | N",192,12,0.019456,0,0.035142,0.012288,0.115086,0.066886
