dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,0,0.03696,0.004139,0.088722,0.449536,0.726587,0.579357
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,1,0.024192,0.003752,0.065369,0.024576,0.261491,0.117889
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,2,0.02576,0.00353,0.053762,0.021504,0.249583,0.104556
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,3,0.024992,0.003589,0.052234,0.023552,0.247886,0.104367
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,4,0.024448,0.003498,0.052269,0.024576,0.248454,0.104791
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,5,0.025344,0.003569,0.052059,0.023552,0.24775,0.104524
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,6,0.02448,0.003568,0.059492,0.023552,0.255238,0.111092
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,7,0.02528,0.003589,0.053338,0.022528,0.250221,0.104735
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,8,0.045952,0.003659,0.052991,0.021504,0.267902,0.124106
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,9,0.025088,0.003653,0.052373,0.021504,0.247678,0.102618
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,10,0.022784,0.00361,0.052565,0.023552,0.24707,0.102511
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,11,0.025728,0.003545,0.052047,0.023552,0.248212,0.104872
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,12,0.024864,0.003609,0.052545,0.023552,0.247128,0.10457
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,13,0.025184,0.003571,0.052229,0.023552,0.252337,0.104536
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,14,0.024704,0.003544,0.053213,0.023552,0.247528,0.105013
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,15,0.024,0.003724,0.052533,0.021504,0.247001,0.101761
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,16,0.024544,0.003589,0.052749,0.022528,0.246537,0.10341
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,17,0.023648,0.003698,0.051633,0.026624,0.253126,0.105603
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,18,0.0248,0.00357,0.052331,0.022528,0.247067,0.103229
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,19,0.024,0.003568,0.052166,0.023552,0.246539,0.103286
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,0,0.06416,0.004142,0.305031,0.139264,0.663619,0.512597
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,1,0.064352,0.003841,0.252657,0.130048,0.595901,0.450898
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,2,0.067776,0.003615,0.256817,0.130048,0.704477,0.458256
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,3,0.06784,0.003709,0.257774,0.130048,0.610412,0.459371
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,4,0.066976,0.00373,0.256122,0.131072,0.601159,0.4579
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,5,0.066336,0.00386,0.253093,0.131072,0.59704,0.454361
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,6,0.066304,0.003735,0.253574,0.129024,0.601311,0.452637
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,7,0.067232,0.004199,0.257798,0.131072,0.617085,0.460301
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,8,0.06752,0.00353,0.252996,0.130048,0.596956,0.454094
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,9,0.067776,0.003635,0.253947,0.126976,0.648647,0.452334
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,10,0.066528,0.003634,0.254038,0.130048,0.598213,0.454248
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,11,0.06624,0.003775,0.254308,0.129024,0.597256,0.453347
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,12,0.067456,0.003643,0.25154,0.129024,0.596974,0.451663
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,13,0.067872,0.003658,0.255262,0.134144,0.606394,0.460936
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,14,0.066304,0.00376,0.250237,0.129024,0.594091,0.449325
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,15,0.067584,0.003767,0.253626,0.128,0.596958,0.452977
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,16,0.06336,0.003756,0.26194,0.130048,0.603829,0.459104
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,17,0.06512,0.003766,0.252979,0.134144,0.600151,0.456009
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,18,0.074976,0.003669,0.255242,0.126976,0.605418,0.460863
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",128,19,0.067584,0.011001,0.255921,0.129024,0.60913,0.46353
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,0,0.164768,0.004108,0.742073,0.441344,1.50544,1.35229
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,1,0.165056,0.004191,0.710258,0.434176,1.46161,1.31368
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,2,0.163264,0.00407,0.716667,0.434176,1.46327,1.31818
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,3,0.163328,0.004127,0.712079,0.429056,1.45488,1.30859
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,4,0.168288,0.004186,0.713095,0.433152,1.46548,1.31872
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,5,0.164416,0.004156,0.711403,0.428032,1.45419,1.30801
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,6,0.169056,0.004141,0.712486,0.432128,1.46433,1.31781
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,7,0.17008,0.004148,0.713015,0.432128,1.46325,1.31937
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,8,0.168416,0.00411,0.713784,0.434176,1.46516,1.32049
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,9,0.169344,0.004284,0.712658,0.432128,1.46237,1.31841
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,10,0.16944,0.004141,0.715861,0.433152,1.46716,1.32259
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,11,0.167392,0.00415,0.711004,0.438272,1.46621,1.32082
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,12,0.169856,0.004114,0.709088,0.432128,1.46089,1.31519
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",192,13,0.164512,0.004066,0.708657,0.434176,1.45741,1.31141
