dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,0,0.03712,0.004313,0.109012,0.461824,0.758709,0.612269
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,1,0.027936,0.003982,0.081335,0.03072,0.287999,0.143973
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,2,0.02496,0.003833,0.074178,0.029696,0.277401,0.132667
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,3,0.023648,0.00372,0.073515,0.027648,0.274156,0.128531
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,4,0.02912,0.003711,0.071954,0.028672,0.277785,0.133457
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,5,0.027648,0.003796,0.072188,0.028672,0.284561,0.132304
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,6,0.027424,0.003645,0.071051,0.027648,0.275324,0.129768
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,7,0.029024,0.003701,0.071038,0.029696,0.278183,0.133459
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,8,0.02864,0.003691,0.072677,0.028672,0.347751,0.13368
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,9,0.028576,0.00372,0.071512,0.028672,0.276536,0.13248
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,10,0.029472,0.003707,0.073502,0.027648,0.279337,0.134329
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,11,0.029184,0.003723,0.076597,0.028672,0.284075,0.138176
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,12,0.027648,0.003762,0.071182,0.026624,0.275616,0.129216
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,13,0.029376,0.003761,0.071434,0.029696,0.277567,0.134267
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,14,0.027648,0.003703,0.070968,0.029696,0.275364,0.132015
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,15,0.027616,0.003749,0.072043,0.027648,0.284151,0.131056
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,16,0.02896,0.003714,0.072942,0.029696,0.279249,0.135312
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,17,0.027648,0.003725,0.072749,0.027648,0.276577,0.13177
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,18,0.028928,0.003625,0.072645,0.028672,0.278811,0.13387
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,19,0.02832,0.003685,0.07223,0.027648,0.275905,0.131883
