dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | D | D",64,0,1.05779,0,0.147768,0.37888,1.68421,1.58444
3,double,uniform,CPU,"D | D | D | D | D | D",64,1,0.96048,0,0.097609,0.018432,1.13297,1.07652
3,double,uniform,CPU,"D | D | D | D | D | D",64,2,1.00835,0,0.096802,0.017408,1.17748,1.12256
3,double,uniform,CPU,"D | D | D | D | D | D",64,3,0.974592,0,0.095137,0.016384,1.14353,1.08611
3,double,uniform,CPU,"D | D | D | D | D | D",64,4,0.959552,0,0.094282,0.017408,1.12372,1.07124
3,double,uniform,CPU,"D | D | D | D | D | D",64,5,0.956352,0,0.094324,0.016384,1.1205,1.06706
3,double,uniform,CPU,"D | D | D | D | D | D",64,6,0.955232,0,0.095837,0.016384,1.12585,1.06745
3,double,uniform,CPU,"D | D | D | D | D | D",64,7,0.960352,0,0.094952,0.016384,1.12437,1.07169
3,double,uniform,CPU,"D | D | D | D | D | D",64,8,0.958912,0,0.094644,0.016384,1.13084,1.06994
3,double,uniform,CPU,"D | D | D | D | D | D",64,9,0.961728,0,0.093682,0.017408,1.12701,1.07282
3,double,uniform,CPU,"D | D | D | D | D | D",64,10,0.953984,0,0.156649,0.016384,1.18083,1.12702
3,double,uniform,CPU,"D | D | D | D | D | D",64,11,0.961856,0,0.093692,0.016384,1.12559,1.07193
3,double,uniform,CPU,"D | D | D | D | D | D",64,12,0.957248,0,0.093161,0.016384,1.12128,1.06679
3,double,uniform,CPU,"D | D | D | D | D | D",64,13,1.0232,0,0.094945,0.016384,1.18793,1.13453
3,double,uniform,CPU,"D | D | D | D | D | D",64,14,0.955136,0,0.095081,0.017408,1.11983,1.06763
3,double,uniform,CPU,"D | D | D | D | D | D",64,15,0.952096,0,0.101044,0.016384,1.12255,1.06952
3,double,uniform,CPU,"D | D | D | D | D | D",64,16,1.00067,0,0.092739,0.016384,1.16448,1.10979
3,double,uniform,CPU,"D | D | D | D | D | D",64,17,1.04851,0,0.0938,0.016384,1.21152,1.1587
3,double,uniform,CPU,"D | D | D | D | D | D",64,18,1.04563,0,0.095073,0.016384,1.21351,1.15709
3,double,uniform,CPU,"D | D | D | D | D | D",64,19,0.960096,0,0.09364,0.017408,1.12327,1.07114
3,double,uniform,CPU,"D | D | D | D | D | D",128,0,6.80742,0,0.774903,0.108544,7.76294,7.69087
3,double,uniform,CPU,"D | D | D | D | D | D",128,1,6.91203,0,0.766759,0.105472,7.85026,7.78426
3,double,uniform,CPU,"D | D | D | D | D | D",128,2,7.00202,0,0.769427,0.10752,7.94328,7.87896
3,double,uniform,CPU,"D | D | D | D | D | D",128,3,6.96042,0,0.766666,0.106496,7.89718,7.83358
3,double,uniform,CPU,"D | D | D | D | D | D",128,4,6.96166,0,0.769571,0.106496,7.90201,7.83773
3,double,uniform,CPU,"D | D | D | D | D | D",128,5,6.89558,0,0.767264,0.105472,7.83373,7.76832
3,double,uniform,CPU,"D | D | D | D | D | D",128,6,7.07824,0,0.770673,0.10752,8.02469,7.95643
3,double,uniform,CPU,"D | D | D | D | D | D",128,7,7.10224,0,0.76644,0.105472,8.03947,7.97415
3,double,uniform,CPU,"D | D | D | D | D | D",128,8,7.23002,0,0.80635,0.121856,8.28352,8.15822
3,double,uniform,CPU,"D | D | D | D | D | D",128,9,7.07747,0,0.766525,0.106496,8.01398,7.95049
3,double,uniform,CPU,"D | D | D | D | D | D",128,10,7.02336,0,0.766807,0.105472,7.95975,7.89564
3,double,uniform,CPU,"D | D | D | D | D | D",128,11,6.96,0,0.768288,0.105472,7.89897,7.83376
