dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"N | D",64,0,0.0536,0,0.074402,0.359424,0.582319,0.487426
1,double,uniform,CPU,"N | D",64,1,0.0312,0,0.031554,0.01536,0.136312,0.078114
1,double,uniform,CPU,"N | D",64,2,0.028352,0,0.02511,0.013312,0.120476,0.066774
1,double,uniform,CPU,"N | D",64,3,0.027456,0,0.024539,0.012288,0.117044,0.064283
1,double,uniform,CPU,"N | D",64,4,0.025664,0,0.024945,0.012288,0.116091,0.062897
1,double,uniform,CPU,"N | D",64,5,0.027136,0,0.025343,0.013312,0.221055,0.065791
1,double,uniform,CPU,"N | D",64,6,0.027168,0,0.024549,0.012288,0.116489,0.064005
1,double,uniform,CPU,"N | D",64,7,0.026208,0,0.024673,0.013312,0.115402,0.064193
1,double,uniform,CPU,"N | D",64,8,0.02608,0,0.024561,0.013312,0.11936,0.063953
1,double,uniform,CPU,"N | D",64,9,0.025664,0,0.0243,0.013312,0.114881,0.063276
1,double,uniform,CPU,"N | D",64,10,0.025344,0,0.024858,0.012288,0.11467,0.06249
1,double,uniform,CPU,"N | D",64,11,0.025472,0,0.024783,0.011264,0.115042,0.061519
1,double,uniform,CPU,"N | D",64,12,0.026976,0,0.024664,0.013312,0.115169,0.064952
1,double,uniform,CPU,"N | D",64,13,0.02608,0,0.025105,0.013312,0.115345,0.064497
1,double,uniform,CPU,"N | D",64,14,0.025984,0,0.02465,0.01328,0.114058,0.063914
1,double,uniform,CPU,"N | D",64,15,0.025824,0,0.025163,0.012288,0.115269,0.063275
1,double,uniform,CPU,"N | D",64,16,0.025536,0,0.024217,0.012288,0.114703,0.062041
1,double,uniform,CPU,"N | D",64,17,0.025504,0,0.025429,0.013312,0.115376,0.064245
1,double,uniform,CPU,"N | D",64,18,0.026144,0,0.024278,0.012288,0.119299,0.06271
1,double,uniform,CPU,"N | D",64,19,0.025792,0,0.024709,0.013312,0.115137,0.063813
1,double,uniform,CPU,"N | D",128,0,0.036576,0,0.039114,0.024576,0.163284,0.100266
1,double,uniform,CPU,"N | D",128,1,0.02944,0,0.028565,0.01536,0.126861,0.073365
1,double,uniform,CPU,"N | D",128,2,0.02736,0,0.026256,0.014336,0.119883,0.067952
1,double,uniform,CPU,"N | D",128,3,0.027424,0,0.02646,0.011264,0.117889,0.065148
1,double,uniform,CPU,"N | D",128,4,0.027392,0,0.025682,0.011264,0.118533,0.064338
1,double,uniform,CPU,"N | D",128,5,0.026272,0,0.02557,0.011296,0.117244,0.063138
1,double,uniform,CPU,"N | D",128,6,0.02608,0,0.025835,0.012288,0.117024,0.064203
