dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,0,0.623968,0.004172,0.110515,0.438272,1.29068,1.17693
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,1,0.74576,0.003865,0.062536,0.0256,0.908497,0.837761
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,2,0.661536,0.00378,0.058192,0.0256,0.817607,0.749108
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,3,0.604352,0.003724,0.056447,0.023552,0.756164,0.688075
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,4,0.595104,0.0037,0.055368,0.0256,0.795412,0.679772
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,5,0.591232,0.003675,0.055081,0.024576,0.742006,0.674564
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,6,0.591424,0.003831,0.060748,0.023552,0.74843,0.679555
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,7,0.597248,0.003706,0.054266,0.023552,0.747775,0.678772
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,8,0.601728,0.003661,0.055063,0.023552,0.751286,0.684004
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,9,0.592064,0.003749,0.054975,0.023552,0.743062,0.67434
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,10,0.589664,0.003623,0.055407,0.023552,0.739179,0.672246
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,11,0.591072,0.00368,0.055161,0.022528,0.741299,0.672441
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,12,0.604384,0.003619,0.055152,0.022528,0.75494,0.685683
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,13,0.59264,0.003775,0.055339,0.024576,0.745466,0.67633
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,14,0.591008,0.003833,0.055626,0.023552,0.842595,0.674019
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,15,0.588736,0.003674,0.054651,0.024576,0.738535,0.671637
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,16,0.594304,0.003685,0.062175,0.023552,0.750988,0.683716
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,17,0.591872,0.003738,0.054468,0.024576,0.742084,0.674654
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,18,0.598208,0.003822,0.054523,0.026624,0.749727,0.683177
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",64,19,0.602304,0.003751,0.054839,0.023552,0.754,0.684446
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",128,0,3.26301,0.004362,0.330917,0.14848,3.84547,3.74677
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",128,1,3.26118,0.004052,0.32547,0.136192,3.80303,3.7269
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",128,2,3.35626,0.003919,0.279488,0.135168,3.84979,3.77483
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",128,3,3.42752,0.003963,0.280552,0.135168,3.92074,3.8472
