dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"P | P",128,10,0.018432,0,0.017709,0.017408,0.110618,0.053549
1,float,uniform,GPU,"P | P",128,11,0.018432,0,0.017551,0.018432,0.109677,0.054415
1,float,uniform,GPU,"P | P",128,12,0.018432,0,0.017977,0.018432,0.111185,0.054841
1,float,uniform,GPU,"P | P",128,13,0.019456,0,0.018372,0.021504,0.114657,0.059332
1,float,uniform,GPU,"P | P",128,14,0.018432,0,0.018226,0.02048,0.111581,0.057138
1,float,uniform,GPU,"P | P",128,15,0.018432,0,0.018283,0.017408,0.109398,0.054123
1,float,uniform,GPU,"P | P",128,16,0.019456,0,0.017714,0.019456,0.111302,0.056626
1,float,uniform,GPU,"P | P",128,17,0.019456,0,0.021061,0.017408,0.113555,0.057925
1,float,uniform,GPU,"P | P",128,18,0.017408,0,0.017598,0.019456,0.110607,0.054462
1,float,uniform,GPU,"P | P",128,19,0.018432,0,0.018084,0.019456,0.110436,0.055972
1,float,uniform,GPU,"P | P",192,0,0.029696,0,0.024216,0.0256,0.144697,0.079512
1,float,uniform,GPU,"P | P",192,1,0.021504,0,0.025237,0.021504,0.130592,0.068245
1,float,uniform,GPU,"P | P",192,2,0.02048,0,0.018818,0.018432,0.115326,0.05773
1,float,uniform,GPU,"P | P",192,3,0.019456,0,0.018804,0.02048,0.113249,0.05874
1,float,uniform,GPU,"P | P",192,4,0.018432,0,0.019053,0.018432,0.112722,0.055917
1,float,uniform,GPU,"P | P",192,5,0.019456,0,0.019109,0.019456,0.211019,0.058021
1,float,uniform,GPU,"P | P",192,6,0.018432,0,0.019103,0.018432,0.112157,0.055967
1,float,uniform,GPU,"P | P",192,7,0.02048,0,0.018595,0.019456,0.11303,0.058531
1,float,uniform,GPU,"P | P",192,8,0.019456,0,0.019053,0.022528,0.117194,0.061037
