dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"N | D | N | N | N | N",64,0,0.036896,0.003794,0.095288,0.369664,0.648357,0.505642
3,float,uniform,GPU,"N | D | N | N | N | N",64,1,0.029632,0.003763,0.069915,0.016384,0.263356,0.119694
3,float,uniform,GPU,"N | D | N | N | N | N",64,2,0.026688,0.003562,0.064118,0.016384,0.245461,0.110752
3,float,uniform,GPU,"N | D | N | N | N | N",64,3,0.025056,0.003585,0.063528,0.01536,0.241782,0.107529
3,float,uniform,GPU,"N | D | N | N | N | N",64,4,0.024064,0.003507,0.064418,0.01536,0.241783,0.107349
3,float,uniform,GPU,"N | D | N | N | N | N",64,5,0.0248,0.003595,0.063267,0.01536,0.241336,0.107022
3,float,uniform,GPU,"N | D | N | N | N | N",64,6,0.023136,0.003574,0.06413,0.01536,0.241118,0.1062
3,float,uniform,GPU,"N | D | N | N | N | N",64,7,0.02496,0.003508,0.063692,0.01536,0.241825,0.10752
3,float,uniform,GPU,"N | D | N | N | N | N",64,8,0.025696,0.003513,0.062509,0.01536,0.240794,0.107078
3,float,uniform,GPU,"N | D | N | N | N | N",64,9,0.025024,0.003589,0.064261,0.01536,0.242093,0.108234
3,float,uniform,GPU,"N | D | N | N | N | N",64,10,0.02544,0.003539,0.069772,0.016384,0.248975,0.115135
3,float,uniform,GPU,"N | D | N | N | N | N",64,11,0.025088,0.003488,0.069299,0.014336,0.247934,0.112211
3,float,uniform,GPU,"N | D | N | N | N | N",64,12,0.024544,0.00365,0.065333,0.01536,0.372438,0.108887
3,float,uniform,GPU,"N | D | N | N | N | N",64,13,0.02576,0.003606,0.062723,0.01536,0.240896,0.107449
3,float,uniform,GPU,"N | D | N | N | N | N",64,14,0.025184,0.003603,0.063407,0.01536,0.241854,0.107554
3,float,uniform,GPU,"N | D | N | N | N | N",64,15,0.025408,0.003582,0.063536,0.01536,0.24177,0.107886
3,float,uniform,GPU,"N | D | N | N | N | N",64,16,0.02496,0.003548,0.06366,0.016384,0.246243,0.108552
3,float,uniform,GPU,"N | D | N | N | N | N",64,17,0.024704,0.003531,0.063765,0.01536,0.239988,0.10736
3,float,uniform,GPU,"N | D | N | N | N | N",64,18,0.027328,0.003648,0.062721,0.016384,0.243487,0.110081
3,float,uniform,GPU,"N | D | N | N | N | N",64,19,0.025024,0.003594,0.062591,0.026624,0.252797,0.117833
3,float,uniform,GPU,"N | D | N | N | N | N",128,0,0.068704,0.003736,0.448516,0.070656,0.725982,0.591612
3,float,uniform,GPU,"N | D | N | N | N | N",128,1,0.066912,0.003442,0.42055,0.06656,0.805303,0.557464
3,float,uniform,GPU,"N | D | N | N | N | N",128,2,0.067168,0.003347,0.424222,0.063488,0.690936,0.558225
3,float,uniform,GPU,"N | D | N | N | N | N",128,3,0.072864,0.003222,0.42852,0.062464,0.700332,0.56707
3,float,uniform,GPU,"N | D | N | N | N | N",128,4,0.065312,0.003346,0.438368,0.065536,0.706229,0.572562
3,float,uniform,GPU,"N | D | N | N | N | N",128,5,0.064768,0.003344,0.426492,0.062464,0.689059,0.557068
3,float,uniform,GPU,"N | D | N | N | N | N",128,6,0.067328,0.00334,0.426856,0.063488,0.695107,0.561012
3,float,uniform,GPU,"N | D | N | N | N | N",128,7,0.065312,0.003384,0.425137,0.064512,0.691161,0.558345
3,float,uniform,GPU,"N | D | N | N | N | N",128,8,0.068448,0.00348,0.425316,0.063488,0.69416,0.560732
3,float,uniform,GPU,"N | D | N | N | N | N",128,9,0.06448,0.003326,0.429823,0.063488,0.694416,0.561117
3,float,uniform,GPU,"N | D | N | N | N | N",128,10,0.065056,0.003309,0.426393,0.063488,0.690327,0.558246
3,float,uniform,GPU,"N | D | N | N | N | N",128,11,0.063552,0.003353,0.424467,0.064512,0.689581,0.555884
3,float,uniform,GPU,"N | D | N | N | N | N",128,12,0.064384,0.003449,0.432358,0.063488,0.695556,0.563679
3,float,uniform,GPU,"N | D | N | N | N | N",128,13,0.065984,0.00338,0.428141,0.065536,0.694735,0.563041
3,float,uniform,GPU,"N | D | N | N | N | N",128,14,0.0632,0.00322,0.426887,0.06144,0.689455,0.554747
