dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,0,0.642976,0.004085,0.119238,0.374784,1.2527,1.14108
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,1,0.675296,0.003741,0.068144,0.017408,0.828619,0.764589
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,2,0.60336,0.003917,0.059637,0.016384,0.803381,0.683298
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,3,0.596128,0.003656,0.060159,0.014336,0.737081,0.674279
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,4,0.600544,0.003586,0.065469,0.016384,0.745459,0.685983
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,5,0.596448,0.003627,0.05861,0.016384,0.734401,0.675069
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,6,0.652192,0.003605,0.057683,0.01536,0.790541,0.72884
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,7,0.621824,0.003673,0.05936,0.016384,0.761919,0.701241
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,8,0.61136,0.003637,0.058086,0.01536,0.749162,0.688443
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,9,0.605952,0.00356,0.057953,0.01536,0.743007,0.682825
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,10,0.60928,0.003584,0.058422,0.01536,0.747515,0.686646
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,11,0.597536,0.003573,0.066423,0.016384,0.743644,0.683916
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,12,0.60032,0.003626,0.060639,0.01536,0.742351,0.679945
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,13,0.59872,0.003681,0.064994,0.016384,0.74497,0.683779
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,14,0.605696,0.003522,0.057915,0.01536,0.743259,0.682493
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,15,0.700512,0.003529,0.057435,0.01536,0.838275,0.776836
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,16,0.677216,0.003633,0.057925,0.01536,0.814344,0.754134
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,17,0.604864,0.003644,0.058116,0.017408,0.742621,0.684032
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,18,0.606944,0.00359,0.057753,0.01536,0.744931,0.683647
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,19,0.596256,0.003671,0.057974,0.014336,0.733079,0.672237
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,0,3.35606,0.004102,0.263822,0.075776,3.79475,3.69976
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,1,3.35552,0.004275,0.218327,0.067584,3.71404,3.64571
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,2,3.30864,0.00391,0.219173,0.069632,3.67269,3.60136
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,3,3.35926,0.003779,0.215618,0.067584,3.71501,3.64624
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,4,3.43536,0.003858,0.214015,0.067584,3.78779,3.72082
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,5,3.40096,0.003989,0.215824,0.06656,3.75304,3.68733
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,6,3.41981,0.003795,0.212015,0.068608,3.7697,3.70423
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,7,3.43286,0.003687,0.212248,0.067584,3.78173,3.71638
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,8,3.3416,0.003793,0.214585,0.068608,3.69503,3.62859
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,9,3.41379,0.003688,0.212914,0.067584,3.76347,3.69798
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,10,3.33584,0.003951,0.21467,0.068608,3.68955,3.62307
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,11,3.4471,0.003858,0.214534,0.068608,3.79927,3.7341
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,12,3.43117,0.003873,0.215537,0.068608,3.78829,3.71919
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,13,3.3216,0.003726,0.214447,0.070656,3.67555,3.61043
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,14,3.36138,0.003934,0.213044,0.068608,3.71362,3.64696
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,15,3.36426,0.003857,0.217292,0.06656,3.71853,3.65196
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,16,3.33754,0.003888,0.212999,0.067584,3.68549,3.62201
