dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",256,8,0.302368,0,0.046046,0.013312,0.416247,0.361726
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",256,9,0.301696,0,0.046077,0.013312,0.414669,0.361085
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",256,10,0.302528,0,0.047615,0.014336,0.419878,0.364479
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",256,11,0.301824,0,0.046192,0.013312,0.414563,0.361328
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",256,12,0.302304,0,0.046081,0.029696,0.432386,0.378081
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",256,13,0.301824,0,0.046797,0.013312,0.416792,0.361933
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",256,14,0.393664,0,0.046195,0.013312,0.507599,0.453171
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",256,15,0.309728,0,0.045354,0.013312,0.422305,0.368394
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",256,16,0.302144,0,0.046353,0.014336,0.424353,0.362833
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",256,17,0.30336,0,0.051036,0.014336,0.422061,0.368732
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",256,18,0.3016,0,0.046126,0.012288,0.415407,0.360014
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",256,19,0.301728,0,0.095372,0.014336,0.465045,0.411436
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,0,0.468448,0,0.064165,0.02048,0.617663,0.553093
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,1,0.492768,0,0.052681,0.014336,0.620771,0.559785
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,2,0.464416,0,0.067752,0.01536,0.603319,0.547528
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,3,0.554752,0,0.049347,0.014336,0.672132,0.618435
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,4,0.559392,0,0.048216,0.014336,0.676923,0.621944
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,5,0.460128,0,0.049067,0.01536,0.578117,0.524555
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,6,0.462144,0,0.04992,0.01536,0.581094,0.527424
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,7,0.544768,0,0.049207,0.014336,0.663855,0.608311
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,8,0.458624,0,0.048795,0.014336,0.583014,0.521755
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,9,0.469216,0,0.049418,0.014336,0.587561,0.53297
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,10,0.46112,0,0.048433,0.01536,0.579204,0.524913
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,11,0.464288,0,0.048579,0.014336,0.581296,0.527203
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,12,0.559136,0,0.048428,0.014336,0.675256,0.6219
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,13,0.461216,0,0.093634,0.014336,0.624268,0.569186
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,14,0.55424,0,0.048307,0.01536,0.671376,0.617907
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,15,0.547936,0,0.048312,0.013312,0.666039,0.60956
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,16,0.462464,0,0.048137,0.01536,0.579116,0.525961
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,17,0.461568,0,0.048275,0.014336,0.578475,0.524179
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,18,0.475776,0,0.048231,0.01536,0.591276,0.539367
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",320,19,0.464288,0,0.048135,0.014336,0.579811,0.526759
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,0,0.631168,0,0.073502,0.02048,0.788289,0.72515
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,1,0.627552,0,0.058555,0.017408,0.793111,0.703515
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,2,0.626976,0,0.05557,0.01536,0.757574,0.697906
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,3,0.623232,0,0.063749,0.016384,0.756382,0.703365
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,4,0.6192,0,0.054297,0.016384,0.743581,0.689881
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,5,0.66448,0,0.055256,0.01536,0.791729,0.735096
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,6,0.630528,0,0.055343,0.01536,0.755994,0.701231
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,7,0.6336,0,0.054709,0.016384,0.758954,0.704693
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,8,0.628736,0,0.054893,0.01536,0.753572,0.698989
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,9,0.619648,0,0.054884,0.014336,0.744284,0.688868
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,10,0.620512,0,0.054568,0.016384,0.744292,0.691464
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,11,0.62448,0,0.054313,0.01536,0.74801,0.694153
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,12,0.631296,0,0.055016,0.01536,0.754639,0.701672
2,double,uniform,CPU,"Ns | Ns | Ns | Ns",384,13,0.619872,0,0.054323,0.01536,0.74316,0.689555
