dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,GPU,"P | P | P | P",64,0,0.073728,0,0.050035,0.439296,0.665802,0.563059
2,double,uniform,GPU,"P | P | P | P",64,1,0.021504,0,0.030335,0.022528,0.134326,0.074367
2,double,uniform,GPU,"P | P | P | P",64,2,0.019456,0,0.029016,0.019456,0.12283,0.067928
2,double,uniform,GPU,"P | P | P | P",64,3,0.02048,0,0.027784,0.018432,0.1239,0.066696
2,double,uniform,GPU,"P | P | P | P",64,4,0.019456,0,0.027707,0.018432,0.120278,0.065595
2,double,uniform,GPU,"P | P | P | P",64,5,0.018432,0,0.027209,0.019456,0.120425,0.065097
2,double,uniform,GPU,"P | P | P | P",64,6,0.019456,0,0.027744,0.02048,0.121364,0.06768
2,double,uniform,GPU,"P | P | P | P",64,7,0.023552,0,0.027729,0.019456,0.127029,0.070737
2,double,uniform,GPU,"P | P | P | P",64,8,0.019456,0,0.027376,0.019456,0.120528,0.066288
2,double,uniform,GPU,"P | P | P | P",64,9,0.017408,0,0.027077,0.017408,0.119375,0.061893
2,double,uniform,GPU,"P | P | P | P",64,10,0.018432,0,0.027979,0.018432,0.120514,0.064843
2,double,uniform,GPU,"P | P | P | P",64,11,0.018432,0,0.027434,0.017408,0.119407,0.063274
2,double,uniform,GPU,"P | P | P | P",64,12,0.02048,0,0.028075,0.019456,0.120874,0.068011
2,double,uniform,GPU,"P | P | P | P",64,13,0.019456,0,0.026849,0.018432,0.119836,0.064737
2,double,uniform,GPU,"P | P | P | P",64,14,0.02048,0,0.027113,0.018432,0.120253,0.066025
2,double,uniform,GPU,"P | P | P | P",64,15,0.019456,0,0.030381,0.018432,0.125023,0.068269
2,double,uniform,GPU,"P | P | P | P",64,16,0.019456,0,0.026804,0.018432,0.118671,0.064692
2,double,uniform,GPU,"P | P | P | P",64,17,0.019456,0,0.026717,0.018432,0.118255,0.064605
2,double,uniform,GPU,"P | P | P | P",64,18,0.018432,0,0.026945,0.018432,0.118985,0.063809
2,double,uniform,GPU,"P | P | P | P",64,19,0.018432,0,0.026814,0.01536,0.117856,0.060606
2,double,uniform,GPU,"P | P | P | P",128,0,0.025056,0,0.034194,0.027648,0.155871,0.086898
2,double,uniform,GPU,"P | P | P | P",128,1,0.016544,0,0.029817,0.021504,0.135142,0.067865
2,double,uniform,GPU,"P | P | P | P",128,2,0.012512,0,0.029741,0.019456,0.125365,0.061709
2,double,uniform,GPU,"P | P | P | P",128,3,0.013184,0,0.029075,0.02048,0.124347,0.062739
2,double,uniform,GPU,"P | P | P | P",128,4,0.01264,0,0.090453,0.019456,0.185929,0.122549
2,double,uniform,GPU,"P | P | P | P",128,5,0.013184,0,0.028943,0.02048,0.125378,0.062607
2,double,uniform,GPU,"P | P | P | P",128,6,0.013728,0,0.030202,0.016384,0.122843,0.060314
2,double,uniform,GPU,"P | P | P | P",128,7,0.012448,0,0.029128,0.019456,0.123491,0.061032
2,double,uniform,GPU,"P | P | P | P",128,8,0.01232,0,0.028889,0.02048,0.12273,0.061689
2,double,uniform,GPU,"P | P | P | P",128,9,0.013472,0,0.028584,0.022528,0.126019,0.064584
2,double,uniform,GPU,"P | P | P | P",128,10,0.012096,0,0.028551,0.018432,0.122044,0.059079
2,double,uniform,GPU,"P | P | P | P",128,11,0.013536,0,0.028642,0.018432,0.12259,0.06061
2,double,uniform,GPU,"P | P | P | P",128,12,0.014016,0,0.028495,0.019456,0.122305,0.061967
2,double,uniform,GPU,"P | P | P | P",128,13,0.012736,0,0.028184,0.017408,0.125068,0.058328
2,double,uniform,GPU,"P | P | P | P",128,14,0.012384,0,0.028706,0.018432,0.123471,0.059522
2,double,uniform,GPU,"P | P | P | P",128,15,0.012992,0,0.029099,0.019456,0.123045,0.061547
2,double,uniform,GPU,"P | P | P | P",128,16,0.014432,0,0.028793,0.018432,0.127274,0.061657
2,double,uniform,GPU,"P | P | P | P",128,17,0.015616,0,0.028575,0.019456,0.126146,0.063647
2,double,uniform,GPU,"P | P | P | P",128,18,0.012512,0,0.028974,0.018432,0.122073,0.059918
2,double,uniform,GPU,"P | P | P | P",128,19,0.012768,0,0.028619,0.019456,0.122157,0.060843
2,double,uniform,GPU,"P | P | P | P",192,0,0.01616,0,0.040696,0.028672,0.163305,0.085528
2,double,uniform,GPU,"P | P | P | P",192,1,0.0136,0,0.034902,0.022528,0.145887,0.07103
2,double,uniform,GPU,"P | P | P | P",192,2,0.018848,0,0.03389,0.021504,0.14881,0.074242
2,double,uniform,GPU,"P | P | P | P",192,3,0.019136,0,0.034063,0.02048,0.149026,0.073679
2,double,uniform,GPU,"P | P | P | P",192,4,0.02016,0,0.033738,0.0256,0.152887,0.079498
2,double,uniform,GPU,"P | P | P | P",192,5,0.01856,0,0.033656,0.02048,0.147002,0.072696
2,double,uniform,GPU,"P | P | P | P",192,6,0.019872,0,0.033649,0.019456,0.146395,0.072977
2,double,uniform,GPU,"P | P | P | P",192,7,0.01872,0,0.033821,0.02048,0.146491,0.073021
2,double,uniform,GPU,"P | P | P | P",192,8,0.019072,0,0.03334,0.018432,0.145924,0.070844
2,double,uniform,GPU,"P | P | P | P",192,9,0.017728,0,0.033939,0.018432,0.146062,0.070099
2,double,uniform,GPU,"P | P | P | P",192,10,0.019136,0,0.033746,0.017408,0.145938,0.07029
2,double,uniform,GPU,"P | P | P | P",192,11,0.01872,0,0.03297,0.019456,0.146593,0.071146
2,double,uniform,GPU,"P | P | P | P",192,12,0.018304,0,0.033018,0.019456,0.146628,0.070778
2,double,uniform,GPU,"P | P | P | P",192,13,0.018336,0,0.03388,0.02048,0.147838,0.072696
2,double,uniform,GPU,"P | P | P | P",192,14,0.019552,0,0.033774,0.019456,0.147811,0.072782
2,double,uniform,GPU,"P | P | P | P",192,15,0.018912,0,0.033045,0.018432,0.146185,0.070389
2,double,uniform,GPU,"P | P | P | P",192,16,0.017888,0,0.036056,0.019456,0.149831,0.0734
2,double,uniform,GPU,"P | P | P | P",192,17,0.020032,0,0.033285,0.019456,0.14694,0.072773
2,double,uniform,GPU,"P | P | P | P",192,18,0.01824,0,0.033574,0.019456,0.14658,0.07127
2,double,uniform,GPU,"P | P | P | P",192,19,0.021024,0,0.033914,0.019456,0.1512,0.074394
2,double,uniform,GPU,"P | P | P | P",256,0,0.021184,0,0.040692,0.027648,0.186257,0.089524
2,double,uniform,GPU,"P | P | P | P",256,1,0.022144,0,0.03546,0.022528,0.174342,0.080132
2,double,uniform,GPU,"P | P | P | P",256,2,0.01904,0,0.03513,0.02048,0.168168,0.07465
2,double,uniform,GPU,"P | P | P | P",256,3,0.019456,0,0.034249,0.02048,0.167643,0.074185
2,double,uniform,GPU,"P | P | P | P",256,4,0.018816,0,0.034677,0.02048,0.167333,0.073973
2,double,uniform,GPU,"P | P | P | P",256,5,0.01856,0,0.033958,0.021504,0.167275,0.074022
2,double,uniform,GPU,"P | P | P | P",256,6,0.017696,0,0.034267,0.019456,0.166147,0.071419
2,double,uniform,GPU,"P | P | P | P",256,7,0.0192,0,0.034706,0.02048,0.167116,0.074386
2,double,uniform,GPU,"P | P | P | P",256,8,0.017824,0,0.034562,0.019456,0.166362,0.071842
2,double,uniform,GPU,"P | P | P | P",256,9,0.019072,0,0.03451,0.02048,0.166048,0.074062
2,double,uniform,GPU,"P | P | P | P",256,10,0.017472,0,0.033843,0.019456,0.165314,0.070771
2,double,uniform,GPU,"P | P | P | P",256,11,0.01824,0,0.033973,0.019456,0.16525,0.071669
2,double,uniform,GPU,"P | P | P | P",256,12,0.017728,0,0.034206,0.02048,0.166623,0.072414
2,double,uniform,GPU,"P | P | P | P",256,13,0.0152,0,0.033445,0.019456,0.162803,0.068101
2,double,uniform,GPU,"P | P | P | P",256,14,0.01824,0,0.034135,0.02048,0.166851,0.072855
2,double,uniform,GPU,"P | P | P | P",256,15,0.01888,0,0.033792,0.019456,0.166045,0.072128
2,double,uniform,GPU,"P | P | P | P",256,16,0.017984,0,0.033755,0.019456,0.166188,0.071195
2,double,uniform,GPU,"P | P | P | P",256,17,0.019168,0,0.034164,0.02048,0.167051,0.073812
2,double,uniform,GPU,"P | P | P | P",256,18,0.01792,0,0.034441,0.021504,0.166559,0.073865
2,double,uniform,GPU,"P | P | P | P",256,19,0.019168,0,0.034267,0.02048,0.174467,0.073915
2,double,uniform,GPU,"P | P | P | P",320,0,0.020896,0,0.052793,0.03584,0.231737,0.109529
2,double,uniform,GPU,"P | P | P | P",320,1,0.021376,0,0.039571,0.023552,0.201992,0.084499
2,double,uniform,GPU,"P | P | P | P",320,2,0.019168,0,0.039718,0.02048,0.201265,0.079366
2,double,uniform,GPU,"P | P | P | P",320,3,0.021856,0,0.038395,0.021504,0.198161,0.081755
2,double,uniform,GPU,"P | P | P | P",320,4,0.021632,0,0.038661,0.018432,0.198935,0.078725
2,double,uniform,GPU,"P | P | P | P",320,5,0.020928,0,0.039013,0.019456,0.20109,0.079397
2,double,uniform,GPU,"P | P | P | P",320,6,0.025312,0,0.039139,0.02048,0.202591,0.084931
2,double,uniform,GPU,"P | P | P | P",320,7,0.023328,0,0.038254,0.02048,0.198233,0.082062
2,double,uniform,GPU,"P | P | P | P",320,8,0.021632,0,0.03838,0.02048,0.197529,0.080492
2,double,uniform,GPU,"P | P | P | P",320,9,0.021792,0,0.038174,0.019456,0.198261,0.079422
2,double,uniform,GPU,"P | P | P | P",320,10,0.022016,0,0.0381,0.021504,0.199392,0.08162
2,double,uniform,GPU,"P | P | P | P",320,11,0.017088,0,0.03843,0.021504,0.194593,0.077022
2,double,uniform,GPU,"P | P | P | P",320,12,0.021888,0,0.038202,0.02048,0.19813,0.08057
2,double,uniform,GPU,"P | P | P | P",320,13,0.021824,0,0.038006,0.019456,0.198186,0.079286
2,double,uniform,GPU,"P | P | P | P",320,14,0.021536,0,0.038439,0.021504,0.199341,0.081479
2,double,uniform,GPU,"P | P | P | P",320,15,0.023648,0,0.037759,0.022528,0.199736,0.083935
2,double,uniform,GPU,"P | P | P | P",320,16,0.020352,0,0.037915,0.02048,0.196906,0.078747
2,double,uniform,GPU,"P | P | P | P",320,17,0.02144,0,0.038212,0.021504,0.198011,0.081156
2,double,uniform,GPU,"P | P | P | P",320,18,0.022368,0,0.051616,0.021504,0.212238,0.095488
2,double,uniform,GPU,"P | P | P | P",320,19,0.021568,0,0.037845,0.02048,0.198437,0.079893
2,double,uniform,GPU,"P | P | P | P",384,0,0.026912,0,0.048602,0.03072,0.228081,0.106234
2,double,uniform,GPU,"P | P | P | P",384,1,0.024384,0,0.042896,0.026624,0.212019,0.093904
2,double,uniform,GPU,"P | P | P | P",384,2,0.024832,0,0.042888,0.173056,0.361526,0.240776
2,double,uniform,GPU,"P | P | P | P",384,3,0.023264,0,0.041965,0.023552,0.2068,0.088781
2,double,uniform,GPU,"P | P | P | P",384,4,0.022176,0,0.042256,0.022528,0.207022,0.08696
2,double,uniform,GPU,"P | P | P | P",384,5,0.021248,0,0.04243,0.022528,0.205948,0.086206
2,double,uniform,GPU,"P | P | P | P",384,6,0.018592,0,0.042771,0.022528,0.204459,0.083891
2,double,uniform,GPU,"P | P | P | P",384,7,0.022144,0,0.043519,0.022528,0.207245,0.088191
2,double,uniform,GPU,"P | P | P | P",384,8,0.021312,0,0.042317,0.022528,0.204727,0.086157
2,double,uniform,GPU,"P | P | P | P",384,9,0.021536,0,0.042572,0.022528,0.206072,0.086636
2,double,uniform,GPU,"P | P | P | P",384,10,0.023392,0,0.042807,0.024576,0.208505,0.090775
2,double,uniform,GPU,"P | P | P | P",384,11,0.02256,0,0.042639,0.021504,0.205898,0.086703
2,double,uniform,GPU,"P | P | P | P",384,12,0.023456,0,0.043021,0.022528,0.207588,0.089005
2,double,uniform,GPU,"P | P | P | P",384,13,0.021696,0,0.042405,0.023552,0.206248,0.087653
2,double,uniform,GPU,"P | P | P | P",384,14,0.024032,0,0.042454,0.022528,0.206579,0.089014
2,double,uniform,GPU,"P | P | P | P",384,15,0.022272,0,0.042743,0.022528,0.20754,0.087543
