dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,0,0.035168,0,0.072836,0.36352,0.612666,0.471524
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,1,0.027616,0,0.050224,0.016384,0.225193,0.094224
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,2,0.02672,0,0.044039,0.016384,0.215899,0.087143
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,3,0.027968,0,0.047858,0.017408,0.223589,0.093234
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,4,0.025984,0,0.043356,0.01536,0.221883,0.0847
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,5,0.025696,0,0.042775,0.014336,0.21338,0.082807
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,6,0.024448,0,0.043463,0.01536,0.212216,0.083271
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,7,0.025504,0,0.042091,0.014336,0.212107,0.081931
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,8,0.02576,0,0.041935,0.01536,0.213828,0.083055
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,9,0.025664,0,0.04256,0.01536,0.211627,0.083584
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,10,0.02512,0,0.042481,0.014336,0.210806,0.081937
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,11,0.02464,0,0.043116,0.01536,0.213268,0.083116
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,12,0.025472,0,0.042247,0.01536,0.212485,0.083079
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,13,0.024576,0,0.042621,0.016384,0.211542,0.083581
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,14,0.024352,0,0.042448,0.01536,0.210489,0.08216
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,15,0.024064,0,0.042286,0.01536,0.211186,0.08171
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,16,0.024704,0,0.043206,0.014336,0.212823,0.082246
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,17,0.029248,0,0.042464,0.014336,0.21668,0.086048
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,18,0.02624,0,0.042146,0.01536,0.212668,0.083746
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,19,0.023872,0,0.041872,0.01536,0.209871,0.081104
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,0,0.074112,0,0.214462,0.065536,0.484987,0.35411
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,1,0.063968,0,0.191811,0.063488,0.449807,0.319267
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,2,0.069152,0,0.189289,0.060416,0.446808,0.318857
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,3,0.066848,0,0.189499,0.060416,0.44371,0.316763
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,4,0.067168,0,0.188599,0.059392,0.4442,0.315159
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,5,0.071168,0,0.189795,0.060416,0.457429,0.321379
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,6,0.067872,0,0.187192,0.06144,0.445548,0.316504
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,7,0.066528,0,0.191466,0.06144,0.452482,0.319434
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,8,0.0672,0,0.190602,0.059392,0.443811,0.317194
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,9,0.064576,0,0.189411,0.058368,0.445326,0.312355
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,10,0.064896,0,0.191281,0.06144,0.445895,0.317617
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,11,0.064736,0,0.187046,0.060416,0.441841,0.312198
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,12,0.06688,0,0.188543,0.062464,0.44636,0.317887
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,13,0.066432,0,0.190658,0.059392,0.44531,0.316482
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,14,0.066816,0,0.186082,0.060416,0.43997,0.313314
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,15,0.066688,0,0.189698,0.059392,0.444953,0.315778
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,16,0.0664,0,0.187969,0.06144,0.444971,0.315809
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,17,0.067104,0,0.189499,0.058368,0.449621,0.314971
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,18,0.064928,0,0.187879,0.060416,0.444319,0.313223
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,19,0.068096,0,0.1893,0.060416,0.446994,0.317812
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,0,0.163648,0,0.61565,0.217088,1.13383,0.996386
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,1,0.16624,0,0.574461,0.216064,1.08488,0.956765
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,2,0.162368,0,0.574608,0.214016,1.07985,0.950992
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,3,0.164352,0,0.573107,0.214016,1.08285,0.951475
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,4,0.164992,0,0.572394,0.216064,1.08203,0.95345
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,5,0.160256,0,0.572996,0.216064,1.08057,0.949316
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,6,0.162304,0,0.568519,0.221184,1.08165,0.952007
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,7,0.16832,0,0.575908,0.212992,1.0882,0.95722
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,8,0.168224,0,0.571402,0.214016,1.10279,0.953642
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,9,0.169088,0,0.569158,0.212992,1.0804,0.951238
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,10,0.166016,0,0.573678,0.21504,1.08737,0.954734
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,11,0.165216,0,0.573016,0.216064,1.08336,0.954296
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,12,0.16544,0,0.570202,0.21504,1.08118,0.950682
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,13,0.162496,0,0.584736,0.217088,1.09383,0.96432
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,14,0.162432,0,0.574732,0.212992,1.08311,0.950156
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,15,0.166784,0,0.573502,0.214016,1.08415,0.954302
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,16,0.164608,0,0.577958,0.21504,1.08714,0.957606
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,17,0.163744,0,0.566204,0.21504,1.07622,0.944988
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,18,0.1664,0,0.573069,0.214016,1.08531,0.953485
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,19,0.16816,0,0.572627,0.212992,1.08328,0.953779
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,0,0.363904,0,1.44917,0.49664,2.44517,2.30972
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,1,0.362624,0,1.40565,0.493568,2.39395,2.26184
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,2,0.35984,0,1.40689,0.492544,2.39064,2.25927
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,3,0.362304,0,1.41593,0.490496,2.39845,2.26873
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,4,0.36448,0,1.4156,0.492544,2.4001,2.27262
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,5,0.366048,0,1.41573,0.49152,2.39756,2.2733
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,6,0.361184,0,1.42053,0.4864,2.40088,2.26811
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,7,0.365632,0,1.41001,0.489472,2.39007,2.26512
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,8,0.36464,0,1.41336,0.490496,2.39322,2.2685
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,9,0.363456,0,1.41969,0.4864,2.39951,2.26954
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,10,0.36368,0,1.40905,0.488448,2.38903,2.26118
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,11,0.360192,0,1.41868,0.490496,2.40048,2.26937
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,12,0.36064,0,1.41938,0.49152,2.39576,2.27154
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,13,0.370304,0,1.41547,0.497664,2.40605,2.28344
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,14,0.358336,0,1.41628,0.49152,2.39694,2.26614
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,15,0.362112,0,1.41663,0.494592,2.40204,2.27333
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,16,0.358272,0,1.41363,0.489472,2.39092,2.26137
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,17,0.361856,0,1.40926,0.492544,2.39882,2.26366
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,18,0.362304,0,1.40805,0.489472,2.38517,2.25983
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",256,19,0.362592,0,1.4134,0.493568,2.39804,2.26956
