dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,0,0.039808,0.003996,0.106209,0.44544,0.743295,0.595453
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,1,0.02672,0.003735,0.081106,0.029696,0.285514,0.141257
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,2,0.028416,0.003646,0.06954,0.026624,0.273724,0.128226
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,3,0.027616,0.003593,0.068953,0.028672,0.27343,0.128834
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,4,0.027072,0.00361,0.069371,0.026624,0.271749,0.126677
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,5,0.028448,0.003632,0.067916,0.028672,0.271188,0.128668
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,6,0.027808,0.003589,0.068551,0.028672,0.279913,0.12862
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,7,0.027776,0.003558,0.069064,0.026624,0.272318,0.127022
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,8,0.027584,0.003619,0.068492,0.028672,0.271258,0.128367
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,9,0.030592,0.003717,0.069372,0.028672,0.285923,0.132353
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,10,0.028704,0.003575,0.069139,0.028672,0.274281,0.13009
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,11,0.027744,0.003608,0.068257,0.027648,0.277973,0.127257
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,12,0.032448,0.003612,0.068137,0.026624,0.274795,0.130821
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,13,0.029792,0.003542,0.068209,0.027648,0.273146,0.129191
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,14,0.026816,0.003568,0.068161,0.03072,0.273579,0.129265
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,15,0.028096,0.003554,0.068155,0.028672,0.271409,0.128477
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,16,0.028352,0.003608,0.072226,0.027648,0.275604,0.131834
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,17,0.028192,0.003679,0.069227,0.028672,0.272183,0.12977
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,18,0.027712,0.00367,0.06735,0.027648,0.270966,0.12638
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,19,0.028736,0.003788,0.069073,0.027648,0.309708,0.129245
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,0,0.107616,0.004033,0.52951,0.249856,1.04371,0.891015
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,1,0.103072,0.003866,0.492526,0.242688,0.989259,0.842152
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,2,0.10704,0.003916,0.491262,0.239616,0.989347,0.841834
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,3,0.102272,0.003841,0.490562,0.243712,0.985112,0.840387
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,4,0.10352,0.003952,0.488936,0.243712,0.986686,0.84012
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,5,0.102848,0.003719,0.516563,0.242688,1.01236,0.865818
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,6,0.106624,0.004733,0.492542,0.244736,0.997699,0.848635
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,7,0.106208,0.003962,0.494918,0.247808,1.00044,0.852896
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,8,0.10352,0.003877,0.492885,0.241664,0.989437,0.841946
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,9,0.104256,0.003771,0.488143,0.243712,0.985849,0.839882
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,10,0.112544,0.004372,0.493822,0.242688,1.00149,0.853426
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,11,0.110432,0.003888,0.489329,0.243712,0.996533,0.847361
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,12,0.108608,0.003847,0.490719,0.244736,0.991704,0.84791
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,13,0.108928,0.003931,0.488743,0.242688,0.990182,0.84429
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,14,0.101856,0.003827,0.489263,0.242688,0.984034,0.837634
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,15,0.102912,0.003776,0.490317,0.242688,0.987343,0.839693
