dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,0,0.041024,0.004175,0.089893,0.366592,0.640773,0.501684
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,1,0.023072,0.003883,0.063782,0.016384,0.241738,0.107121
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,2,0.027968,0.003623,0.054212,0.016384,0.233939,0.102187
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,3,0.027776,0.003652,0.056594,0.016384,0.237739,0.104406
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,4,0.028224,0.003728,0.054554,0.01536,0.23394,0.101866
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,5,0.026176,0.003706,0.053691,0.014336,0.232048,0.097909
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,6,0.026176,0.003685,0.05431,0.01536,0.231957,0.099531
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,7,0.028064,0.003565,0.05425,0.014336,0.329066,0.100215
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,8,0.04912,0.003731,0.057155,0.01536,0.2577,0.125366
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,9,0.028544,0.003631,0.054262,0.01536,0.233287,0.101797
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,10,0.027616,0.003625,0.05379,0.01536,0.233587,0.100391
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,11,0.025824,0.003553,0.054002,0.014336,0.232206,0.097715
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,12,0.026368,0.003603,0.054673,0.014336,0.232602,0.09898
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,13,0.027232,0.003686,0.053863,0.01536,0.232794,0.100141
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,14,0.026048,0.003665,0.054328,0.01536,0.232187,0.099401
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,15,0.027328,0.00368,0.054242,0.01536,0.233952,0.10061
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,16,0.027616,0.003639,0.064545,0.014336,0.243708,0.110136
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,17,0.026432,0.00373,0.054641,0.01536,0.23935,0.100163
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,18,0.026528,0.003693,0.05408,0.016384,0.233218,0.100685
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,19,0.027264,0.003712,0.053945,0.016384,0.232978,0.101305
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,0,0.067168,0.004219,0.23241,0.064512,0.510588,0.368309
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,1,0.071296,0.003974,0.271938,0.057344,0.546238,0.404552
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,2,0.070048,0.003814,0.190596,0.055296,0.461955,0.319754
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,3,0.06544,0.003686,0.189245,0.05632,0.44869,0.314691
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,4,0.065248,0.00377,0.186521,0.055296,0.445228,0.310835
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,5,0.063488,0.00375,0.184792,0.054272,0.445557,0.306302
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,6,0.064064,0.003809,0.185568,0.055296,0.442536,0.308737
