dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,9,3.49894,0.003921,0.12746,0.088064,3.93033,3.71839
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,10,3.3744,0.00398,0.125655,0.088064,3.80656,3.5921
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,11,3.38106,0.003892,0.128342,0.088064,3.81292,3.60135
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,12,3.4433,0.003877,0.125736,0.090112,3.87403,3.66302
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,13,3.43914,0.004105,0.128471,0.088064,3.88,3.65978
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,14,3.35027,0.004462,0.129074,0.091136,3.79362,3.57494
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,15,3.35568,0.004043,0.12488,0.090112,3.79047,3.57472
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,16,3.43171,0.003956,0.126974,0.089088,3.86753,3.65173
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,17,3.472,0.003933,0.12784,0.090112,3.90799,3.69389
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,18,3.47974,0.003823,0.127084,0.089088,3.91294,3.69974
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,19,3.36627,0.003963,0.126923,0.088064,3.7997,3.58522
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,0,11.9009,0.004232,0.415949,0.212992,13.0518,12.5341
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,1,11.8761,0.004326,0.394307,0.210944,13.005,12.4857
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,2,11.9247,0.004506,0.380453,0.212992,13.0359,12.5227
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,3,11.9085,0.004501,0.380307,0.21504,13.0311,12.5084
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,4,11.8014,0.004249,0.383117,0.214016,12.9183,12.4028
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,5,11.859,0.004321,0.381107,0.208896,12.9654,12.4533
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,6,11.8352,0.004424,0.378812,0.207872,12.9399,12.4263
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,7,12.0187,0.004504,0.380333,0.210944,13.1314,12.6145
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,8,12.0147,0.004306,0.376731,0.20992,13.1258,12.6057
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,9,11.9822,0.004248,0.385218,0.214016,13.0969,12.5857
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,10,12.1104,0.004344,0.378401,0.210944,13.2194,12.7041
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,11,12.1868,0.004298,0.385067,0.211968,13.3022,12.7881
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,12,11.9725,0.004259,0.385982,0.20992,13.0893,12.5727
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,13,11.8077,0.004164,0.378827,0.20992,12.9137,12.4006
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,14,11.8526,0.004686,0.383925,0.20992,13.0165,12.4512
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,15,11.8968,0.004477,0.380892,0.20992,13.0099,12.4921
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,16,11.878,0.004215,0.37629,0.212992,12.9852,12.4715
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,17,11.9087,0.004318,0.376304,0.212992,13.0202,12.5023
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,18,11.8365,0.004541,0.379595,0.214016,12.9462,12.4347
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,19,11.9346,0.004363,0.37934,0.21504,13.0407,12.5333
