dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"N | D",64,0,0.0768,0,0.048401,0.362496,0.571802,0.487697
1,double,uniform,GPU,"N | D",64,1,0.02048,0,0.025463,0.014336,0.11304,0.060279
1,double,uniform,GPU,"N | D",64,2,0.018432,0,0.022708,0.013312,0.104388,0.054452
1,double,uniform,GPU,"N | D",64,3,0.019456,0,0.022022,0.012288,0.100563,0.053766
1,double,uniform,GPU,"N | D",64,4,0.019456,0,0.021454,0.012288,0.101067,0.053198
1,double,uniform,GPU,"N | D",64,5,0.02048,0,0.022461,0.012288,0.105443,0.055229
1,double,uniform,GPU,"N | D",64,6,0.019456,0,0.02178,0.011264,0.101283,0.0525
1,double,uniform,GPU,"N | D",64,7,0.018432,0,0.021782,0.012288,0.09999,0.052502
1,double,uniform,GPU,"N | D",64,8,0.02048,0,0.021298,0.017408,0.106257,0.059186
1,double,uniform,GPU,"N | D",64,9,0.019456,0,0.022211,0.012288,0.100789,0.053955
1,double,uniform,GPU,"N | D",64,10,0.019456,0,0.021528,0.012288,0.100685,0.053272
1,double,uniform,GPU,"N | D",64,11,0.018432,0,0.021866,0.011264,0.098921,0.051562
1,double,uniform,GPU,"N | D",64,12,0.019456,0,0.021473,0.011264,0.099207,0.052193
1,double,uniform,GPU,"N | D",64,13,0.019456,0,0.022105,0.011264,0.100395,0.052825
1,double,uniform,GPU,"N | D",64,14,0.019456,0,0.022504,0.011264,0.1003,0.053224
1,double,uniform,GPU,"N | D",64,15,0.019456,0,0.021956,0.011264,0.1,0.052676
1,double,uniform,GPU,"N | D",64,16,0.019456,0,0.023499,0.012288,0.103202,0.055243
1,double,uniform,GPU,"N | D",64,17,0.019456,0,0.022109,0.012288,0.100898,0.053853
1,double,uniform,GPU,"N | D",64,18,0.018432,0,0.022015,0.011264,0.09923,0.051711
1,double,uniform,GPU,"N | D",64,19,0.018432,0,0.021422,0.011264,0.100036,0.051118
1,double,uniform,GPU,"N | D",128,0,0.032768,0,0.031693,0.022528,0.140103,0.086989
1,double,uniform,GPU,"N | D",128,1,0.022528,0,0.023799,0.013312,0.108076,0.059639
1,double,uniform,GPU,"N | D",128,2,0.019456,0,0.022703,0.013312,0.104149,0.055471
1,double,uniform,GPU,"N | D",128,3,0.018432,0,0.022416,0.012288,0.101835,0.053136
1,double,uniform,GPU,"N | D",128,4,0.019456,0,0.02288,0.012288,0.105051,0.054624
1,double,uniform,GPU,"N | D",128,5,0.019456,0,0.023035,0.012288,0.103672,0.054779
1,double,uniform,GPU,"N | D",128,6,0.02048,0,0.022091,0.013312,0.101663,0.055883
1,double,uniform,GPU,"N | D",128,7,0.018432,0,0.02228,0.011264,0.099312,0.051976
1,double,uniform,GPU,"N | D",128,8,0.019456,0,0.022379,0.012288,0.100764,0.054123
1,double,uniform,GPU,"N | D",128,9,0.019456,0,0.02294,0.011264,0.100543,0.05366
1,double,uniform,GPU,"N | D",128,10,0.018432,0,0.022957,0.014336,0.104186,0.055725
1,double,uniform,GPU,"N | D",128,11,0.018432,0,0.022729,0.011264,0.101208,0.052425
1,double,uniform,GPU,"N | D",128,12,0.018432,0,0.02209,0.011264,0.099822,0.051786
1,double,uniform,GPU,"N | D",128,13,0.019456,0,0.021965,0.012288,0.099267,0.053709
1,double,uniform,GPU,"N | D",128,14,0.019456,0,0.022551,0.012288,0.100346,0.054295
1,double,uniform,GPU,"N | D",128,15,0.017408,0,0.023087,0.011264,0.103383,0.051759
1,double,uniform,GPU,"N | D",128,16,0.018432,0,0.02236,0.012288,0.100275,0.05308
1,double,uniform,GPU,"N | D",128,17,0.019456,0,0.022529,0.012288,0.100181,0.054273
1,double,uniform,GPU,"N | D",128,18,0.017408,0,0.021795,0.012288,0.09912,0.051491
1,double,uniform,GPU,"N | D",128,19,0.019456,0,0.022838,0.013312,0.100664,0.055606
1,double,uniform,GPU,"N | D",192,0,0.043008,0,0.037259,0.023552,0.169222,0.103819
1,double,uniform,GPU,"N | D",192,1,0.022528,0,0.024706,0.01536,0.111634,0.062594
1,double,uniform,GPU,"N | D",192,2,0.021504,0,0.023683,0.013312,0.10661,0.058499
1,double,uniform,GPU,"N | D",192,3,0.019456,0,0.024018,0.012288,0.105308,0.055762
1,double,uniform,GPU,"N | D",192,4,0.018432,0,0.026471,0.011264,0.105797,0.056167
1,double,uniform,GPU,"N | D",192,5,0.019456,0,0.023559,0.012288,0.101742,0.055303
